dir,dataset,backbone,norm_mode,augmentation,aug_param,window_ms,seed,n_subjects,n_rows,subject_id_set_hash,source_of_config,confidence,mtime_earliest,mtime_latest
results_adabn_causal,SIAT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,160,6363bc2d2c83,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-20T07:58:36+00:00,2026-07-20T07:58:36+00:00
results_adabn_causal_chandrop,SIAT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,160,6363bc2d2c83,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-22T06:25:45+00:00,2026-07-22T06:25:46+00:00
results_adabn_chandrop,SIAT,see source,UNKNOWN,see source,see source,see source,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:documented(EXPERIMENT_PLAN_CHANNEL_DROPOUT.md:157); norm_mode:unknown; augmentation:documented(CD_MECHANISM_PROGRAMME_REPORT.md:27); window_ms:documented(EXPERIMENT_PLAN_CHANNEL_DROPOUT.md:157); seed:unknown,unknown,2026-07-22T05:21:18+00:00,2026-07-22T05:21:18+00:00
results_adabn_cnn_resnet_se,SIAT,see source,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:documented(REPRODUCE.md:72); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-19T11:55:37+00:00,2026-07-19T11:55:37+00:00
results_alignment_ladder_loso,SIAT,classical:SVM,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(subjectwise filename); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-08-29T21:53:32+00:00,2026-09-01T09:10:24+00:00
results_buffer_composition,SIAT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,960,6363bc2d2c83,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-08-29T19:24:44+00:00,2026-08-30T03:59:52+00:00
results_causal_ensemble,SIAT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-07-25T11:49:44+00:00,2026-07-26T11:37:56+00:00
results_cd_rate_p0.1,SIAT,resnet_se,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-09-02T14:39:57+00:00,2026-09-02T14:39:57+00:00
results_cd_rate_p0.2,SIAT,resnet_se,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-09-02T13:46:39+00:00,2026-09-02T13:46:40+00:00
results_cd_rate_p0.3,SIAT,resnet_se,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:unknown; augmentation:unknown; window_ms:unknown; seed:unknown,unknown,2026-09-02T15:42:55+00:00,2026-09-02T15:42:55+00:00
results_cd_rate_p0.5,SIAT,resnet_se,UNKNOWN,see source,see source,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:unknown; augmentation:documented(EXPERIMENT_PLAN_P7_DIVERGENCE.md:90); window_ms:unknown; seed:unknown,unknown,2026-09-02T16:47:07+00:00,2026-09-02T16:47:07+00:00
results_cd_resnet_noaug_repro,SIAT,resnet,UNKNOWN,see source,see source,UNKNOWN,UNKNOWN,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:unknown; augmentation:documented(EXPERIMENT_PLAN_CHANNEL_DROPOUT.md:5); window_ms:unknown; seed:unknown,unknown,2026-09-02T00:23:03+00:00,2026-09-02T00:23:03+00:00
results_cd_resnet_nose_chandrop,SIAT,resnet,see source,see source,see source,UNKNOWN,see source,40,40,6363bc2d2c83,dataset:verified(subject-id range); backbone:verified(cnn_arch_summary.csv); norm_mode:documented(EXPERIMENT_PLAN_CHANNEL_DROPOUT.md:123); augmentation:documented(EXPERIMENT_PLAN_CHANNEL_DROPOUT.md:5); window_ms:unknown; seed:documented(EXPERIMENT_PLAN_CD_PARITY.md:152),unknown,2026-09-02T01:15:31+00:00,2026-09-02T01:15:31+00:00
results_classical,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,150,UNKNOWN,0,0,,dataset:unknown; backbone:unknown; norm_mode:unknown; augmentation:unknown; window_ms:verified(filename token: windows_WAK_UPS_DNS_STDUP_v1_w150_ov50_conf60_AorR_features_base_label_map.json); seed:unknown; feature_set:verified(base),unknown,2026-01-27T01:09:01+00:00,2026-03-09T17:02:54+00:00
