subject,block,block_width,feature_channel,gate_mean,gate_sd
1,0,32,0,0.5458301305770874,0.09509866684675217
1,0,32,1,0.45915937423706055,0.0850873589515686
1,0,32,2,0.40362420678138733,0.08567273616790771
1,0,32,3,0.36978796124458313,0.09015996009111404
1,0,32,4,0.5162389874458313,0.05005880445241928
1,0,32,5,0.4604995548725128,0.09193006902933121
1,0,32,6,0.5630994439125061,0.058891382068395615
1,0,32,7,0.3928862512111664,0.08058450371026993
1,0,32,8,0.4850577116012573,0.05512708052992821
1,0,32,9,0.46315932273864746,0.10750160366296768
1,0,32,10,0.5406939387321472,0.09255538880825043
1,0,32,11,0.42815497517585754,0.03834153339266777
1,0,32,12,0.4975478947162628,0.038721147924661636
1,0,32,13,0.32508623600006104,0.05021219700574875
1,0,32,14,0.48089462518692017,0.09202542155981064
1,0,32,15,0.4691201150417328,0.052193533629179
1,0,32,16,0.4276255667209625,0.04907481372356415
1,0,32,17,0.48949575424194336,0.09287197887897491
1,0,32,18,0.5085884928703308,0.08840296417474747
1,0,32,19,0.423552542924881,0.050138089805841446
1,0,32,20,0.44219493865966797,0.06008397415280342
1,0,32,21,0.4774201214313507,0.09357369691133499
1,0,32,22,0.47777268290519714,0.05971146374940872
1,0,32,23,0.3826046288013458,0.06187496334314346
1,0,32,24,0.6260398030281067,0.025526132434606552
1,0,32,25,0.38026919960975647,0.0637664720416069
1,0,32,26,0.5665357708930969,0.0612323060631752
1,0,32,27,0.4874211847782135,0.019180867820978165
1,0,32,28,0.4161057770252228,0.02178981713950634
1,0,32,29,0.3892832398414612,0.08360131829977036
1,0,32,30,0.5512019395828247,0.05015113204717636
1,0,32,31,0.5015300512313843,0.07117608934640884
1,1,32,0,0.5682204365730286,0.03868081420660019
1,1,32,1,0.4789471924304962,0.0382748581469059
1,1,32,2,0.6229884624481201,0.04622448980808258
1,1,32,3,0.4390213191509247,0.04597311094403267
1,1,32,4,0.5128908753395081,0.0518081933259964
1,1,32,5,0.5409397482872009,0.027386320754885674
1,1,32,6,0.52420973777771,0.0361175499856472
1,1,32,7,0.5820948481559753,0.01975962147116661
1,1,32,8,0.4369758367538452,0.043789077550172806
1,1,32,9,0.5241415500640869,0.051337648183107376
1,1,32,10,0.5150162577629089,0.0630175769329071
1,1,32,11,0.3993111848831177,0.03400074318051338
1,1,32,12,0.35932958126068115,0.0386868491768837
1,1,32,13,0.5515140891075134,0.048524606972932816
1,1,32,14,0.41755393147468567,0.049613162875175476
1,1,32,15,0.60211181640625,0.0331127792596817
1,1,32,16,0.4418041408061981,0.035765115171670914
1,1,32,17,0.5676343441009521,0.04542137682437897
1,1,32,18,0.40972900390625,0.031021427363157272
1,1,32,19,0.35685330629348755,0.04401089996099472
1,1,32,20,0.6166979670524597,0.03464668244123459
1,1,32,21,0.6177586913108826,0.020565999671816826
1,1,32,22,0.40984493494033813,0.045800454914569855
1,1,32,23,0.5546332001686096,0.04924438148736954
1,1,32,24,0.5010592937469482,0.044772665947675705
1,1,32,25,0.5000275373458862,0.05522776022553444
1,1,32,26,0.6065869331359863,0.058809056878089905
1,1,32,27,0.5281462669372559,0.051548250019550323
1,1,32,28,0.38312816619873047,0.06087041646242142
1,1,32,29,0.5037049055099487,0.055606815963983536
1,1,32,30,0.6102413535118103,0.028595570474863052
1,1,32,31,0.5742608904838562,0.03757870942354202
1,2,64,0,0.5325796604156494,0.04642486199736595
1,2,64,1,0.4660986363887787,0.04105532169342041
1,2,64,2,0.5290587544441223,0.03744970262050629
1,2,64,3,0.43435704708099365,0.05987910181283951
1,2,64,4,0.46672388911247253,0.04537190869450569
1,2,64,5,0.4720059037208557,0.03502967581152916
1,2,64,6,0.3582387864589691,0.05149850621819496
1,2,64,7,0.4896863102912903,0.038117654621601105
1,2,64,8,0.5544071197509766,0.05264513939619064
1,2,64,9,0.5126523971557617,0.056303173303604126
1,2,64,10,0.5251356363296509,0.052622515708208084
1,2,64,11,0.5302008390426636,0.05946933105587959
1,2,64,12,0.5150109529495239,0.030704930424690247
1,2,64,13,0.4765133261680603,0.04867618903517723
1,2,64,14,0.5084397792816162,0.01356838084757328
1,2,64,15,0.4856155216693878,0.043559104204177856
1,2,64,16,0.5539353489875793,0.033705443143844604
1,2,64,17,0.5264203548431396,0.029171574860811234
1,2,64,18,0.4275692403316498,0.02305733412504196
1,2,64,19,0.4208633601665497,0.04671890288591385
1,2,64,20,0.4767228662967682,0.08677360415458679
1,2,64,21,0.42376142740249634,0.03910252824425697
1,2,64,22,0.5088184475898743,0.03793537989258766
1,2,64,23,0.43880346417427063,0.048090241849422455
1,2,64,24,0.4578059911727905,0.08256182074546814
1,2,64,25,0.4633500576019287,0.0702706128358841
1,2,64,26,0.5182154774665833,0.05813790485262871
1,2,64,27,0.38905462622642517,0.022493770346045494
1,2,64,28,0.5581682920455933,0.05340046063065529
1,2,64,29,0.4369190037250519,0.07015732675790787
1,2,64,30,0.4636894762516022,0.06136823818087578
