subject,A,B,diff_pp
1,0.6236,0.6189,0.4711
2,0.7902,0.7779,1.2338
3,0.8921,0.8537,3.8417
4,0.685,0.7888,-10.3876
5,0.6576,0.67,-1.2373
6,0.7796,0.7427,3.6905
7,0.6879,0.7555,-6.7637
8,0.695,0.6971,-0.2029
9,0.8224,0.8134,0.8991
10,0.549,0.5318,1.7252
11,0.7964,0.8696,-7.3223
12,0.628,0.8914,-26.3373
13,0.8797,0.8807,-0.0974
14,0.7588,0.7637,-0.4879
15,0.8415,0.7906,5.0918
16,0.8976,0.8345,6.304
17,0.8524,0.8419,1.054
18,0.838,0.8707,-3.2674
19,0.8461,0.8704,-2.4301
20,0.8258,0.8196,0.6223
21,0.8125,0.7867,2.5758
22,0.7391,0.7403,-0.1225
23,0.827,0.7954,3.1592
24,0.7295,0.7958,-6.6295
25,0.845,0.8434,0.1633
26,0.6709,0.6677,0.3183
27,0.8427,0.8863,-4.3538
28,0.7439,0.7379,0.5987
29,0.8297,0.8237,0.5988
30,0.6822,0.7254,-4.3175
31,0.739,0.716,2.2995
32,0.7934,0.7633,3.0071
33,0.8272,0.7479,7.9254
34,0.8158,0.7962,1.9598
35,0.4487,0.634,-18.538
36,0.7166,0.6248,9.1896
37,0.8433,0.8844,-4.1147
38,0.7873,0.7784,0.8903
39,0.7966,0.7875,0.905
40,0.8297,0.8209,0.8824
