subject,movement,t_start,fs,win_samples,n_channels
156,STDUP,3250,1000.0,250,7
156,STDUP,3375,1000.0,250,7
156,STDUP,3500,1000.0,250,7
156,STDUP,3625,1000.0,250,7
156,STDUP,3750,1000.0,250,7
156,STDUP,3875,1000.0,250,7
156,STDUP,4000,1000.0,250,7
156,STDUP,4125,1000.0,250,7
156,STDUP,4250,1000.0,250,7
156,STDUP,4375,1000.0,250,7
156,STDUP,4500,1000.0,250,7
156,STDUP,4625,1000.0,250,7
156,STDUP,4750,1000.0,250,7
156,STDUP,4875,1000.0,250,7
156,STDUP,5000,1000.0,250,7
156,STDUP,5125,1000.0,250,7
156,WAK,7000,1000.0,250,7
156,WAK,7125,1000.0,250,7
156,WAK,7250,1000.0,250,7
156,WAK,7375,1000.0,250,7
156,WAK,7500,1000.0,250,7
156,WAK,7625,1000.0,250,7
156,WAK,7750,1000.0,250,7
156,WAK,7875,1000.0,250,7
156,WAK,8000,1000.0,250,7
156,WAK,8125,1000.0,250,7
156,WAK,8250,1000.0,250,7
156,WAK,8375,1000.0,250,7
156,WAK,8500,1000.0,250,7
156,WAK,8625,1000.0,250,7
156,WAK,8750,1000.0,250,7
156,WAK,8875,1000.0,250,7
156,WAK,9000,1000.0,250,7
156,WAK,9125,1000.0,250,7
156,WAK,9250,1000.0,250,7
156,WAK,9375,1000.0,250,7
156,WAK,9500,1000.0,250,7
156,WAK,9625,1000.0,250,7
156,WAK,9750,1000.0,250,7
156,WAK,9875,1000.0,250,7
156,WAK,10000,1000.0,250,7
156,WAK,10125,1000.0,250,7
156,WAK,10250,1000.0,250,7
156,WAK,10375,1000.0,250,7
156,WAK,10500,1000.0,250,7
156,WAK,10625,1000.0,250,7
156,WAK,10750,1000.0,250,7
156,WAK,10875,1000.0,250,7
156,WAK,11000,1000.0,250,7
156,WAK,11125,1000.0,250,7
156,WAK,11250,1000.0,250,7
156,WAK,11375,1000.0,250,7
156,WAK,11500,1000.0,250,7
156,WAK,11625,1000.0,250,7
156,WAK,11750,1000.0,250,7
156,WAK,11875,1000.0,250,7
156,WAK,12000,1000.0,250,7
156,WAK,12125,1000.0,250,7
156,WAK,12250,1000.0,250,7
156,WAK,12375,1000.0,250,7
156,WAK,12500,1000.0,250,7
156,WAK,12625,1000.0,250,7
156,WAK,12750,1000.0,250,7
156,WAK,12875,1000.0,250,7
156,WAK,13000,1000.0,250,7
156,WAK,13125,1000.0,250,7
156,WAK,13250,1000.0,250,7
156,WAK,13375,1000.0,250,7
156,WAK,13500,1000.0,250,7
156,WAK,13625,1000.0,250,7
156,UPS,13750,1000.0,250,7
156,UPS,13875,1000.0,250,7
156,UPS,14000,1000.0,250,7
156,UPS,14125,1000.0,250,7
156,UPS,14250,1000.0,250,7
156,UPS,14375,1000.0,250,7
156,UPS,14500,1000.0,250,7
156,UPS,14625,1000.0,250,7
156,UPS,14750,1000.0,250,7
156,UPS,14875,1000.0,250,7
156,UPS,15000,1000.0,250,7
156,UPS,15125,1000.0,250,7
156,UPS,15250,1000.0,250,7
156,UPS,15375,1000.0,250,7
156,UPS,15500,1000.0,250,7
156,UPS,15625,1000.0,250,7
156,UPS,15750,1000.0,250,7
156,UPS,15875,1000.0,250,7
156,UPS,16000,1000.0,250,7
156,UPS,16125,1000.0,250,7
156,UPS,16250,1000.0,250,7
156,UPS,16375,1000.0,250,7
156,WAK,16500,1000.0,250,7
156,WAK,16625,1000.0,250,7
156,WAK,16750,1000.0,250,7
156,WAK,16875,1000.0,250,7
156,WAK,17000,1000.0,250,7
156,WAK,17125,1000.0,250,7
156,WAK,17250,1000.0,250,7
