subject,p0.1,p0.2,p0.3,p0.5
1,0.6579,0.6344,0.6678,0.6547
2,0.8751,0.8963,0.8945,0.8942
3,0.8949,0.9196,0.9035,0.8965
4,0.8378,0.8989,0.8964,0.8877
5,0.6579,0.6469,0.6629,0.6563
6,0.7716,0.8123,0.7548,0.786
7,0.6724,0.7472,0.7456,0.8055
8,0.8268,0.8435,0.8465,0.8287
9,0.7977,0.814,0.8115,0.8018
10,0.7516,0.7585,0.7978,0.7147
11,0.8903,0.9213,0.9199,0.8826
12,0.9204,0.9083,0.9003,0.8841
13,0.9311,0.9266,0.9126,0.9072
14,0.8191,0.826,0.8296,0.8004
15,0.9069,0.9223,0.9,0.9077
16,0.8899,0.8487,0.8594,0.8477
17,0.8483,0.8453,0.8403,0.818
18,0.8966,0.9087,0.8989,0.8773
19,0.867,0.8534,0.8366,0.7705
20,0.8086,0.8309,0.8593,0.8385
21,0.8464,0.8515,0.8719,0.8203
22,0.7704,0.7995,0.8275,0.804
23,0.8178,0.8306,0.8064,0.8097
24,0.7733,0.7723,0.8055,0.7229
25,0.911,0.8678,0.9,0.8935
26,0.8323,0.7938,0.7734,0.7739
27,0.9073,0.8801,0.8788,0.8957
28,0.7572,0.7979,0.8389,0.814
29,0.8627,0.8628,0.8334,0.821
30,0.8532,0.8435,0.8462,0.8281
31,0.7915,0.7981,0.8085,0.7746
32,0.8495,0.8693,0.8436,0.7981
33,0.9282,0.9176,0.9019,0.866
34,0.91,0.8848,0.8922,0.869
35,0.7293,0.7368,0.7258,0.7043
36,0.7893,0.7885,0.7991,0.8475
37,0.8808,0.8847,0.8533,0.8427
38,0.8855,0.8814,0.8689,0.8439
39,0.7996,0.8438,0.8479,0.8319
40,0.8261,0.8343,0.8299,0.799
