subject,conc_cd,conc_base,cons_cd,cons_base
1,0.13572,0.09352,0.21792,0.42906
2,0.14344,0.09696,0.13572,0.12692
3,0.22042,0.09219,0.19018,0.29316
4,0.21556,0.0366,0.10259,-0.26838
5,0.11626,0.08218,-0.19483,0.3359
6,0.14114,0.10967,0.22824,0.45385
7,0.07337,0.03774,0.21941,0.24957
8,0.062,0.08987,0.1277,0.36581
9,0.11638,0.04606,-0.06716,0.35043
10,0.17848,0.06607,-0.01219,0.07308
11,0.12078,0.07399,-0.07671,0.17436
12,0.10963,0.05326,0.06428,0.41496
13,0.09707,0.08795,0.05701,0.37778
14,0.10525,0.06708,0.18946,0.39701
15,0.07239,0.07992,0.02058,0.3
16,0.12568,0.07475,0.20042,0.33846
17,0.04829,0.06029,0.23556,0.25342
18,0.15071,0.06065,0.30569,0.31923
19,0.05833,0.09573,0.31507,0.40385
20,0.12265,0.08797,0.21023,-0.18974
21,0.0821,0.11412,0.26155,0.23419
22,0.13552,0.06103,0.12578,0.34274
23,0.10694,0.04045,0.17458,0.4453
24,0.10659,0.13866,0.10481,0.24915
25,0.06949,0.06778,0.21283,0.38333
26,0.06264,0.11483,0.23047,0.39444
27,0.08632,0.09142,0.1812,0.46752
28,0.19584,0.07449,-0.22562,0.42179
29,0.10727,0.05434,0.15817,0.22906
30,0.11182,0.09628,0.16952,0.40897
31,0.06121,0.09456,0.29547,0.45214
32,0.14047,0.15562,0.17864,0.26068
33,0.08824,0.08539,0.20032,0.35085
34,0.11744,0.06185,0.27433,0.36068
35,0.10422,0.04351,-0.00026,0.29274
36,0.07062,0.11919,0.19603,0.3906
37,0.05708,0.04375,0.03246,0.21709
38,0.19306,0.09141,0.19239,0.26966
39,0.11542,0.11367,0.10334,0.46111
40,0.1809,0.11003,0.16212,0.3812
