subject,0,1,2,3,4,5,6,7,8
1,0.06851,0.01184,0.0,0.10894,0.0,0.28418,0.0,0.36907,0.15746
2,0.0,0.18066,0.30181,0.0,0.16371,0.0,0.0,0.35381,0.0
3,0.03681,0.12269,0.04308,0.68814,0.02273,0.0,0.0,0.08656,0.0
4,0.24788,0.64092,0.00857,0.0,0.0,0.0,0.0,0.10264,0.0
5,0.10975,0.0,0.0,0.0,0.22713,0.31953,0.17179,0.01792,0.15387
6,0.06606,0.04795,0.0,0.0,0.15621,0.04081,0.0,0.35888,0.33009
7,0.15728,0.15889,0.18703,0.05099,0.12489,0.0,0.03243,0.20887,0.07963
8,0.09409,0.08325,0.0,0.11173,0.09307,0.12806,0.09688,0.16515,0.22777
9,0.083,0.29733,0.02482,0.0,0.0,0.00172,0.2412,0.2175,0.13443
10,0.46389,0.0,0.32737,0.0,0.20873,0.0,0.0,0.0,0.0
11,0.0,0.08979,0.29885,0.23724,0.23277,0.14136,0.0,0.0,0.0
12,0.0,0.24359,0.13393,0.2879,0.16612,0.0,0.00699,0.02404,0.13744
13,0.0,0.0,0.13167,0.16373,0.28629,0.14905,0.0,0.10365,0.16562
14,0.0,0.09148,0.0,0.31864,0.09041,0.05754,0.06223,0.22438,0.15532
15,0.1828,0.06472,0.25171,0.10213,0.0,0.0645,0.11926,0.11687,0.09801
16,0.0421,0.0,0.01407,0.07717,0.12311,0.19974,0.01382,0.39512,0.13487
17,0.16741,0.13131,0.13187,0.15406,0.01761,0.08922,0.06608,0.14721,0.09523
18,0.1738,0.03108,0.01267,0.4629,0.10121,0.0,0.0,0.19019,0.02814
19,0.13037,0.10614,0.06338,0.21108,0.12843,0.09433,0.0,0.1512,0.11506
20,0.12031,0.131,0.15836,0.0,0.03659,0.0,0.0,0.17667,0.37708
21,0.24835,0.07785,0.07583,0.19412,0.05755,0.0,0.03602,0.13147,0.17882
22,0.0,0.0,0.0,0.25696,0.06828,0.02636,0.13318,0.39212,0.12309
23,0.27504,0.0372,0.0,0.20087,0.02264,0.15921,0.0,0.0724,0.23263
24,0.03412,0.0,0.08657,0.0,0.26202,0.16534,0.01534,0.24834,0.18826
25,0.16795,0.05359,0.14053,0.17533,0.07429,0.12305,0.05412,0.21114,0.0
26,0.13276,0.0,0.14667,0.08983,0.13732,0.04253,0.0843,0.17036,0.19622
27,0.06252,0.0,0.24869,0.109,0.14672,0.10664,0.0,0.22198,0.10445
28,0.0,0.16674,0.0,0.0,0.0,0.58874,0.2048,0.03972,0.0
29,0.02116,0.0,0.12777,0.1473,0.23991,0.06449,0.0,0.09188,0.30748
30,0.00645,0.25132,0.0,0.13078,0.12817,0.18778,0.0,0.28095,0.01454
31,0.06226,0.10479,0.12296,0.13789,0.07458,0.05108,0.04432,0.17748,0.22464
32,0.31227,0.0,0.1208,0.11967,0.0,0.05461,0.01958,0.37307,0.0
33,0.20808,0.12091,0.06516,0.09752,0.0,0.0,0.08933,0.15486,0.26414
34,0.11754,0.0,0.0,0.28562,0.08629,0.02564,0.0,0.22871,0.25621
35,0.34061,0.11233,0.08474,0.12509,0.0,0.19626,0.02437,0.04046,0.07615
36,0.08041,0.11021,0.20819,0.1291,0.03704,0.00964,0.05923,0.16955,0.19663
37,0.03654,0.13469,0.07895,0.1338,0.04156,0.07776,0.17705,0.20078,0.11887
38,0.53504,0.0,0.0,0.0,0.14606,0.0,0.0,0.3189,0.0
39,0.15122,0.09291,0.11244,0.36333,0.18592,0.01148,0.0,0.08269,0.0
40,0.54188,0.0373,0.0,0.0,0.20728,0.0,0.0,0.1846,0.02894
