subject,0,1,2,3,4,5,6,7,8
1,0.05728,0.01353,0.06199,0.14399,0.18132,0.29441,0.0,0.08594,0.16155
2,0.05388,0.10437,0.22115,0.03651,0.0,0.09102,0.0895,0.31259,0.09099
3,0.06107,0.01798,0.03767,0.24769,0.10147,0.19078,0.00599,0.10292,0.23442
4,0.08494,0.0999,0.19624,0.13818,0.08011,0.08775,0.11235,0.10982,0.09072
5,0.21351,0.02647,0.12315,0.0,0.14643,0.23163,0.06395,0.14994,0.04492
6,0.08239,0.01968,0.17881,0.06969,0.09104,0.35577,0.0,0.16428,0.03834
7,0.13145,0.10845,0.07396,0.10494,0.05461,0.15482,0.07413,0.13781,0.15983
8,0.05229,0.0,0.02788,0.18096,0.16809,0.25489,0.02133,0.11258,0.18197
9,0.10715,0.12204,0.06408,0.14054,0.14593,0.17453,0.03026,0.07636,0.13911
10,0.20224,0.12344,0.15735,0.12297,0.02904,0.05628,0.02132,0.18982,0.09754
11,0.01418,0.08641,0.05321,0.05126,0.21197,0.16554,0.12021,0.2222,0.07503
12,0.07371,0.15816,0.10427,0.07208,0.15633,0.17663,0.00759,0.12965,0.12158
13,0.0566,0.07606,0.12781,0.08611,0.1609,0.31455,0.03985,0.11543,0.02269
14,0.05306,0.04008,0.13641,0.12245,0.21143,0.16931,0.0,0.1325,0.13476
15,0.12102,0.06234,0.08918,0.09761,0.12512,0.29875,0.09684,0.10914,0.0
16,0.07197,0.09111,0.08153,0.1709,0.14866,0.26805,0.0102,0.08074,0.07684
17,0.19256,0.11618,0.07328,0.15513,0.07816,0.16833,0.0,0.07409,0.14227
18,0.10561,0.09373,0.14676,0.16769,0.05298,0.20431,0.0,0.10466,0.12426
19,0.04885,0.07268,0.03288,0.15283,0.15013,0.33307,0.01772,0.10403,0.0878
20,0.25115,0.17404,0.22501,0.01937,0.0386,0.01275,0.06821,0.11291,0.09795
21,0.3805,0.12316,0.03918,0.10995,0.0,0.14752,0.00323,0.11624,0.08022
22,0.07084,0.10548,0.08943,0.08785,0.087,0.1184,0.05017,0.26089,0.12995
23,0.14795,0.07177,0.10226,0.10587,0.1156,0.18331,0.05752,0.13909,0.07663
24,0.06626,0.0396,0.02576,0.0,0.17417,0.45315,0.08398,0.11867,0.0384
25,0.10969,0.06872,0.13285,0.11049,0.14196,0.26418,0.0316,0.08511,0.0554
26,0.06976,0.03778,0.17219,0.00783,0.20816,0.34347,0.0,0.02397,0.13683
27,0.0471,0.05724,0.12013,0.06566,0.0711,0.3004,0.03352,0.22608,0.07876
28,0.03554,0.10607,0.09438,0.08042,0.13103,0.28871,0.03715,0.11545,0.11125
29,0.21923,0.1362,0.09882,0.04318,0.12484,0.13313,0.03587,0.09695,0.11178
30,0.06069,0.1315,0.06576,0.08349,0.15111,0.34091,0.0,0.08959,0.07696
31,0.09224,0.06168,0.13514,0.03821,0.05367,0.33672,0.0249,0.14586,0.11157
32,0.06402,0.06117,0.04289,0.01483,0.08901,0.52153,0.06556,0.09054,0.05045
33,0.13931,0.13492,0.05892,0.05946,0.00544,0.26114,0.02139,0.21033,0.10908
34,0.09664,0.02525,0.07651,0.12035,0.15262,0.14555,0.05552,0.23517,0.0924
35,0.1379,0.05479,0.02093,0.12358,0.12558,0.13932,0.11785,0.12904,0.15103
36,0.05175,0.13898,0.05966,0.02987,0.03851,0.40052,0.02028,0.09784,0.16259
37,0.12695,0.11608,0.18738,0.10262,0.03573,0.1511,0.06864,0.10473,0.10677
38,0.04308,0.08739,0.21513,0.08421,0.25402,0.21454,0.01125,0.05797,0.03241
39,0.10267,0.07034,0.07355,0.0659,0.13169,0.39949,0.0,0.08417,0.07218
40,0.03215,0.05358,0.07761,0.09051,0.0682,0.38966,0.03504,0.12104,0.13221
