subject,cnn_f1,best_classical_model,best_classical_f1
1,0.9492,RF,0.9310538339244776
2,0.8882,SVM,0.9327253453504843
3,0.9435,SVM,0.9014945145486588
4,0.9787,SVM,0.8446147453500394
5,0.8616,SVM,0.8237307734884567
6,0.8182,SVM,0.8323734609034563
7,0.9488,RF,0.9245526978524528
8,0.9009,SVM,0.8781662617568752
9,0.9155,SVM,0.8688329281856811
10,0.9531,SVM,0.850950593524666
11,0.944,RF,0.9275576978689326
12,0.938,SVM,0.8660978944490019
13,0.8999,SVM,0.8927956792917379
14,0.9135,SVM,0.8755291545538058
15,0.9389,SVM,0.864724039503387
16,0.9142,SVM,0.8736532680205273
17,0.9141,SVM,0.8510740474438381
18,0.9086,SVM,0.8744552616424704
19,0.9165,SVM,0.8703108073696308
20,0.7831,SVM,0.8323780539585216
21,0.9592,SVM,0.8907517435352093
22,0.896,SVM,0.8669564728989239
23,0.7614,SVM,0.8930720213426667
24,0.9581,SVM,0.9112443663424872
25,0.9092,SVM,0.8400981789654243
26,0.8032,SVM,0.8564735488815135
27,0.9772,SVM,0.9121252954444188
28,0.9362,SVM,0.8727891695448073
29,0.8951,SVM,0.8784803772260356
30,0.9672,SVM,0.8870169882906251
31,0.7771,SVM,0.7922618450948943
32,0.8056,SVM,0.873456008294301
33,0.9777,SVM,0.912036928105054
34,0.9639,SVM,0.8839375422029842
35,0.7586,SVM,0.8258239895605346
36,0.8625,SVM,0.8869234253065775
37,0.8648,RF,0.8822707865432247
38,0.9602,SVM,0.9028473836429493
39,0.9559,SVM,0.8552390267811721
40,0.9546,RF,0.8855921531063882
