subject,model,acc,bal_acc,f1,train_time_s,latency_ms
1,CNN (env+zscore),0.9783,0.9722,0.9706,1.85,0.011
2,CNN (env+zscore),0.9808,0.9818,0.9734,1.21,0.0149
3,CNN (env+zscore),0.9916,0.9821,0.9815,1.19,0.0151
4,CNN (env+zscore),0.9643,0.9354,0.94,1.05,0.0107
5,CNN (env+zscore),0.8521,0.8957,0.8735,1.11,0.0091
6,CNN (env+zscore),0.9573,0.936,0.9446,1.01,0.0136
7,CNN (env+zscore),0.9917,0.9881,0.9886,1.06,0.0105
8,CNN (env+zscore),0.9826,0.9706,0.9754,1.01,0.0144
9,CNN (env+zscore),0.9664,0.9562,0.9595,1.01,0.0094
10,CNN (env+zscore),0.9608,0.9333,0.9275,0.99,0.0107
11,CNN (env+zscore),0.9904,0.9853,0.9857,0.96,0.0126
12,CNN (env+zscore),0.9412,0.9398,0.9219,0.99,0.0181
13,CNN (env+zscore),0.9868,0.9858,0.9805,1.14,0.0101
14,CNN (env+zscore),0.9742,0.9615,0.9605,1.15,0.0093
15,CNN (env+zscore),0.9754,0.9529,0.9485,1.01,0.0113
16,CNN (env+zscore),0.9854,0.9722,0.9721,1.14,0.0132
17,CNN (env+zscore),0.9787,0.9623,0.9629,1.14,0.0096
18,CNN (env+zscore),0.9922,0.9853,0.9848,1.07,0.0116
19,CNN (env+zscore),0.9722,0.9562,0.9575,1.1,0.009
20,CNN (env+zscore),0.95,0.9133,0.9106,1.0,0.009
21,CNN (env+zscore),0.959,0.9173,0.9252,0.97,0.0131
22,CNN (env+zscore),0.9862,0.988,0.9822,1.19,0.0088
23,CNN (env+zscore),0.9433,0.9221,0.9304,1.19,0.0089
24,CNN (env+zscore),0.9542,0.9332,0.9314,1.2,0.0164
25,CNN (env+zscore),0.9677,0.944,0.9413,1.03,0.0098
26,CNN (env+zscore),0.981,0.9732,0.9676,1.34,0.0103
27,CNN (env+zscore),1.0,1.0,1.0,1.21,0.0127
28,CNN (env+zscore),0.9857,0.9854,0.9802,1.22,0.0125
29,CNN (env+zscore),0.973,0.9573,0.9543,1.1,0.0134
30,CNN (env+zscore),0.9771,0.9544,0.9589,1.12,0.0114
31,CNN (env+zscore),0.9408,0.8898,0.8948,1.18,0.0102
32,CNN (env+zscore),0.8841,0.7997,0.798,1.11,0.0098
33,CNN (env+zscore),0.9856,0.9783,0.9791,1.18,0.0106
34,CNN (env+zscore),0.9843,0.9615,0.9708,1.0,0.0092
35,CNN (env+zscore),0.9649,0.9678,0.9597,1.31,0.0113
36,CNN (env+zscore),0.966,0.9478,0.9548,1.22,0.0136
37,CNN (env+zscore),0.9706,0.9418,0.9485,1.15,0.01
38,CNN (env+zscore),0.963,0.9502,0.9424,1.09,0.0098
39,CNN (env+zscore),1.0,1.0,1.0,1.22,0.0104
40,CNN (env+zscore),0.9615,0.9294,0.9236,1.39,0.0169
1,LDA,0.6304347826086957,0.4816461869592133,0.5149823999590142,,
2,LDA,0.7923076923076923,0.6702408239533224,0.6843880622835262,,
3,LDA,0.7037037037037037,0.4777416007652403,0.4850088802298642,,
4,LDA,0.7841726618705036,0.6397214494517406,0.6508529939743486,,
5,LDA,0.596045197740113,0.4892105647088053,0.4936918855260811,,
6,LDA,0.6037735849056604,0.4723194246726431,0.4880716530402555,,
7,LDA,0.645,0.4575731457726787,0.4629299682357392,,
8,LDA,0.7613240418118467,0.6290477932919794,0.6223068980099228,,
9,LDA,0.6785109983079526,0.5764547415282613,0.5921054113110956,,
10,LDA,0.8172888015717092,0.663500972711499,0.6481536165312438,,
11,LDA,0.6891891891891891,0.6277395329939943,0.6184774500808542,,
12,LDA,0.6883629191321499,0.5438623876123876,0.5687772968972321,,
13,LDA,0.7539893617021277,0.5422441417725816,0.549321200255039,,
14,LDA,0.7238709677419355,0.5780069874797491,0.546108346752638,,
15,LDA,0.7475409836065574,0.5273757441357634,0.5323482237303989,,
16,LDA,0.750367107195301,0.5896263458763459,0.6136374313357995,,
17,LDA,0.6913229018492176,0.4842510470559251,0.4990079311567481,,
18,LDA,0.7265625,0.561488656692145,0.5910608012911245,,
19,LDA,0.6885474860335196,0.5031561038922632,0.5028444342386704,,
20,LDA,0.7579298831385642,0.5815553758828218,0.5421506100840985,,
21,LDA,0.7759472817133443,0.6448248855629203,0.6351635852124246,,
22,LDA,0.682825484764543,0.5839185212752355,0.5702151021595607,,
23,LDA,0.5610795454545454,0.4229673387613002,0.4164716460248715,,
24,LDA,0.7258805513016845,0.5765558847556475,0.560316480761023,,
25,LDA,0.7564935064935064,0.5702729355465326,0.5802123770299072,,
26,LDA,0.7870722433460076,0.6884829869238551,0.6775072658630106,,
27,LDA,0.7031700288184438,0.4569555280806264,0.4996380418126157,,
28,LDA,0.7185714285714285,0.5557793399666768,0.5750182445959742,,
29,LDA,0.7717391304347826,0.6117539423164764,0.6114252543585295,,
30,LDA,0.8195718654434251,0.685185741576719,0.692138176635507,,
31,LDA,0.712401055408971,0.5293427350107189,0.5452259899234309,,
32,LDA,0.717201166180758,0.4786978080584479,0.4756527548546161,,
33,LDA,0.7904624277456648,0.6124786103189006,0.6479465834364765,,
34,LDA,0.7943037974683544,0.6598998936112908,0.690828196705176,,
35,LDA,0.6584507042253521,0.5404169318185212,0.5220744328775755,,
36,LDA,0.720708446866485,0.5445840830218124,0.5688815120571138,,
37,LDA,0.7279411764705882,0.4881724910491876,0.5172608736764726,,
38,LDA,0.819672131147541,0.6456497042176585,0.6519345773302947,,
39,LDA,0.7619047619047619,0.517979797979798,0.5469439756079837,,
40,LDA,0.7345679012345679,0.4595738688723139,0.4771254024813834,,
1,RF,0.9318840579710144,0.9055464848252016,0.9156496131869464,,
2,RF,0.9365384615384617,0.9001293151936034,0.9024414646552074,,
3,RF,0.8787878787878788,0.7863892872550049,0.8108461677209935,,
4,RF,0.8830935251798561,0.8229495678165417,0.8312001548370394,,
5,RF,0.807909604519774,0.7659577866268092,0.7594439508312556,,
6,RF,0.8319039451114922,0.7725158245660535,0.7798181548680785,,
7,RF,0.935,0.9138634420070528,0.9148679046809888,,
8,RF,0.8658536585365854,0.7725630958189098,0.7772572015857421,,
9,RF,0.8629441624365483,0.823076327272814,0.835294319532571,,
10,RF,0.8722986247544204,0.7833827356853673,0.78213592100104,,
