model,subject,n_test,acc,bal_acc,f1_macro,f1_DNS,f1_STDUP,f1_UPS,f1_WAK
SVM+RF+CNN_ensemble,1,690,0.730435,0.636049,0.640846,0.593607,0.888889,0.525862,0.555024
SVM+RF+CNN_ensemble,2,520,0.930769,0.892071,0.890314,0.77027,0.996564,0.81768,0.976744
SVM+RF+CNN_ensemble,3,594,0.902357,0.858985,0.841933,0.734043,0.978602,0.860759,0.794326
SVM+RF+CNN_ensemble,4,556,0.874101,0.803521,0.810219,0.655367,0.957516,0.913706,0.714286
SVM+RF+CNN_ensemble,5,708,0.735876,0.687548,0.666339,0.441767,0.894502,0.693141,0.635945
SVM+RF+CNN_ensemble,6,583,0.801029,0.74392,0.735642,0.610169,0.946984,0.71875,0.666667
SVM+RF+CNN_ensemble,7,600,0.825,0.769171,0.75938,0.723214,0.942568,0.759494,0.612245
SVM+RF+CNN_ensemble,8,574,0.855401,0.777916,0.777968,0.679012,0.985965,0.794118,0.652778
SVM+RF+CNN_ensemble,9,591,0.835871,0.81156,0.805391,0.685714,0.907473,0.859903,0.768473
SVM+RF+CNN_ensemble,10,509,0.854617,0.74502,0.747818,0.685393,0.978947,0.765957,0.560976
SVM+RF+CNN_ensemble,11,518,0.92278,0.89902,0.892658,0.874251,0.981061,0.833333,0.881988
SVM+RF+CNN_ensemble,12,507,0.891519,0.850244,0.848771,0.704225,0.95288,0.843243,0.894737
SVM+RF+CNN_ensemble,13,752,0.942819,0.91125,0.906782,0.857143,0.987486,0.912442,0.870056
SVM+RF+CNN_ensemble,14,775,0.873548,0.799927,0.798911,0.693878,0.966592,0.80315,0.732026
SVM+RF+CNN_ensemble,15,610,0.9,0.84278,0.830584,0.764045,0.976808,0.814815,0.766667
SVM+RF+CNN_ensemble,16,681,0.881057,0.863539,0.836529,0.762887,0.945982,0.764151,0.873096
SVM+RF+CNN_ensemble,17,703,0.88478,0.808216,0.812606,0.744395,0.989691,0.778243,0.738095
SVM+RF+CNN_ensemble,18,640,0.884375,0.823061,0.812125,0.717391,0.984701,0.829016,0.717391
SVM+RF+CNN_ensemble,19,716,0.870112,0.824906,0.813856,0.772093,0.946048,0.818182,0.719101
SVM+RF+CNN_ensemble,20,599,0.824708,0.731717,0.709277,0.646766,0.946588,0.811321,0.432432
SVM+RF+CNN_ensemble,21,607,0.869852,0.797231,0.787391,0.76555,0.976608,0.740741,0.666667
SVM+RF+CNN_ensemble,22,722,0.84072,0.79129,0.781647,0.704545,0.963889,0.709434,0.748718
SVM+RF+CNN_ensemble,23,704,0.816761,0.763148,0.761662,0.725275,0.940299,0.726531,0.654545
SVM+RF+CNN_ensemble,24,653,0.816233,0.745084,0.721798,0.601942,0.934555,0.697917,0.652778
SVM+RF+CNN_ensemble,25,616,0.823052,0.794317,0.762832,0.577778,0.920174,0.836957,0.716418
SVM+RF+CNN_ensemble,26,789,0.818758,0.754416,0.727362,0.528455,0.959538,0.728814,0.692641
SVM+RF+CNN_ensemble,27,694,0.916427,0.847124,0.848437,0.722513,0.997561,0.846512,0.82716
SVM+RF+CNN_ensemble,28,700,0.87,0.800328,0.804393,0.693333,0.964981,0.825532,0.733728
SVM+RF+CNN_ensemble,29,736,0.862772,0.778431,0.786188,0.652542,0.962606,0.842105,0.6875
SVM+RF+CNN_ensemble,30,654,0.899083,0.824435,0.817979,0.784091,0.978508,0.857143,0.652174
SVM+RF+CNN_ensemble,31,758,0.840369,0.744791,0.731984,0.571429,0.987165,0.662162,0.707182
SVM+RF+CNN_ensemble,32,686,0.880466,0.805704,0.797313,0.702439,0.989848,0.752137,0.744828
SVM+RF+CNN_ensemble,33,692,0.929191,0.873525,0.872692,0.909091,0.993865,0.81448,0.773333
SVM+RF+CNN_ensemble,34,632,0.901899,0.864254,0.849554,0.832487,0.963165,0.833333,0.769231
SVM+RF+CNN_ensemble,35,852,0.795775,0.739809,0.715205,0.528428,0.947727,0.70068,0.683983
SVM+RF+CNN_ensemble,36,734,0.818801,0.740998,0.716505,0.592,0.97417,0.578199,0.721649
SVM+RF+CNN_ensemble,37,680,0.929412,0.865029,0.869823,0.75817,0.987013,0.862944,0.871166
SVM+RF+CNN_ensemble,38,671,0.90462,0.839567,0.833337,0.76555,0.97561,0.745342,0.846847
SVM+RF+CNN_ensemble,39,693,0.886003,0.777278,0.765387,0.74,0.976217,0.81592,0.529412
SVM+RF+CNN_ensemble,40,648,0.881173,0.784564,0.777921,0.71875,0.986233,0.729282,0.677419
