model,subject,n_test,acc,bal_acc,f1_macro,f1_DNS,f1_STDUP,f1_UPS,f1_WAK
CNN+RF_ensemble,1,690,0.705797,0.5859,0.602675,0.409091,0.842784,0.579592,0.579235
CNN+RF_ensemble,2,520,0.905769,0.848206,0.850228,0.685315,0.989726,0.797872,0.928
CNN+RF_ensemble,3,594,0.868687,0.794421,0.784417,0.659574,0.96756,0.812121,0.698413
CNN+RF_ensemble,4,556,0.861511,0.778485,0.792275,0.625,0.94686,0.908163,0.689076
CNN+RF_ensemble,5,708,0.731638,0.66786,0.658211,0.471074,0.884393,0.664311,0.613065
CNN+RF_ensemble,6,583,0.785592,0.718497,0.714501,0.571429,0.937163,0.690196,0.659218
CNN+RF_ensemble,7,600,0.821667,0.745777,0.748176,0.701923,0.941558,0.74359,0.605634
CNN+RF_ensemble,8,574,0.832753,0.750604,0.75137,0.639053,0.979094,0.734848,0.652482
CNN+RF_ensemble,9,591,0.813875,0.774494,0.775258,0.618357,0.8981,0.817734,0.766839
CNN+RF_ensemble,10,509,0.844794,0.725007,0.738312,0.628931,0.970639,0.751269,0.60241
CNN+RF_ensemble,11,518,0.897683,0.854647,0.85684,0.843373,0.97037,0.793103,0.820513
CNN+RF_ensemble,12,507,0.873767,0.797858,0.814928,0.710145,0.947368,0.802198,0.8
CNN+RF_ensemble,13,752,0.9375,0.891533,0.893984,0.840708,0.988739,0.907407,0.83908
CNN+RF_ensemble,14,775,0.846452,0.769502,0.771102,0.645914,0.942889,0.792157,0.703448
CNN+RF_ensemble,15,610,0.867213,0.783903,0.780019,0.67052,0.970027,0.722772,0.756757
CNN+RF_ensemble,16,681,0.883994,0.856528,0.835558,0.77551,0.953003,0.76555,0.848168
CNN+RF_ensemble,17,703,0.864865,0.773703,0.782902,0.697248,0.984655,0.721311,0.728395
CNN+RF_ensemble,18,640,0.8625,0.776674,0.770354,0.697436,0.986188,0.766839,0.630952
CNN+RF_ensemble,19,716,0.850559,0.785835,0.77982,0.720379,0.944099,0.788136,0.666667
CNN+RF_ensemble,20,599,0.808013,0.707398,0.682769,0.601942,0.941878,0.78341,0.403846
CNN+RF_ensemble,21,607,0.879736,0.794678,0.794252,0.747664,0.991329,0.727273,0.710744
CNN+RF_ensemble,22,722,0.806094,0.740146,0.736607,0.59919,0.94086,0.661479,0.744898
CNN+RF_ensemble,23,704,0.792614,0.732814,0.730565,0.658915,0.929619,0.664,0.669725
CNN+RF_ensemble,24,653,0.839204,0.747515,0.744966,0.620321,0.943253,0.730159,0.686131
CNN+RF_ensemble,25,616,0.853896,0.784818,0.779663,0.601036,0.944904,0.839378,0.733333
CNN+RF_ensemble,26,789,0.816223,0.736195,0.715249,0.483333,0.966705,0.719368,0.691589
CNN+RF_ensemble,27,694,0.900576,0.82073,0.827541,0.693069,0.987893,0.834171,0.795031
CNN+RF_ensemble,28,700,0.852857,0.7732,0.779837,0.64486,0.953728,0.809917,0.710843
CNN+RF_ensemble,29,736,0.838315,0.732982,0.741808,0.62069,0.958084,0.793522,0.594937
CNN+RF_ensemble,30,654,0.894495,0.816094,0.81542,0.775281,0.972431,0.832487,0.681481
CNN+RF_ensemble,31,758,0.824538,0.710391,0.706385,0.54023,0.97589,0.635135,0.674286
CNN+RF_ensemble,32,686,0.861516,0.772097,0.767559,0.633663,0.986094,0.716667,0.733813
CNN+RF_ensemble,33,692,0.91474,0.843816,0.848399,0.864322,0.990244,0.783784,0.755245
CNN+RF_ensemble,34,632,0.889241,0.854313,0.845058,0.782609,0.943396,0.833333,0.820896
CNN+RF_ensemble,35,852,0.785211,0.720358,0.701161,0.486301,0.938547,0.682119,0.697674
CNN+RF_ensemble,36,734,0.843324,0.755915,0.74559,0.640693,0.984204,0.658009,0.699454
CNN+RF_ensemble,37,680,0.927941,0.862678,0.869471,0.804734,0.988208,0.814815,0.87013
CNN+RF_ensemble,38,671,0.912072,0.83095,0.838085,0.764398,0.983945,0.744186,0.859813
CNN+RF_ensemble,39,693,0.894661,0.751926,0.752362,0.756757,0.991111,0.788462,0.473118
CNN+RF_ensemble,40,648,0.896605,0.801907,0.806008,0.740741,0.98263,0.804233,0.696429
