model,subject,n_test,acc,bal_acc,f1_macro,f1_DNS,f1_STDUP,f1_UPS,f1_WAK
SVM+RF_ensemble,1,690,0.731884,0.680257,0.670843,0.565891,0.86217,0.585586,0.669725
SVM+RF_ensemble,2,520,0.917308,0.881282,0.872917,0.743243,0.987868,0.813187,0.947368
SVM+RF_ensemble,3,594,0.883838,0.840681,0.812348,0.719577,0.976744,0.814815,0.738255
SVM+RF_ensemble,4,556,0.859712,0.777281,0.78092,0.619883,0.962233,0.869565,0.672
SVM+RF_ensemble,5,708,0.757062,0.722638,0.698487,0.5,0.90881,0.712329,0.672811
SVM+RF_ensemble,6,583,0.811321,0.754484,0.746008,0.605405,0.959108,0.752852,0.666667
SVM+RF_ensemble,7,600,0.828333,0.786696,0.773235,0.730435,0.935154,0.760684,0.666667
SVM+RF_ensemble,8,574,0.839721,0.749181,0.748078,0.647727,0.982332,0.805861,0.556391
SVM+RF_ensemble,9,591,0.827411,0.796327,0.790982,0.681416,0.92029,0.834951,0.727273
SVM+RF_ensemble,10,509,0.831041,0.715323,0.710231,0.677419,0.978723,0.684783,0.5
SVM+RF_ensemble,11,518,0.907336,0.876589,0.868262,0.860465,0.982922,0.779661,0.85
SVM+RF_ensemble,12,507,0.87574,0.838911,0.827067,0.680556,0.94849,0.814815,0.864407
SVM+RF_ensemble,13,752,0.932181,0.904924,0.89357,0.852321,0.981609,0.884793,0.855556
SVM+RF_ensemble,14,775,0.870968,0.817857,0.805889,0.712121,0.96,0.807843,0.74359
SVM+RF_ensemble,15,610,0.896721,0.856373,0.834115,0.764045,0.96978,0.808743,0.793893
SVM+RF_ensemble,16,681,0.86931,0.844959,0.817126,0.743719,0.94709,0.726415,0.851282
SVM+RF_ensemble,17,703,0.881935,0.810382,0.809954,0.729064,0.988327,0.780488,0.741935
SVM+RF_ensemble,18,640,0.882812,0.825882,0.811929,0.710383,0.98324,0.831579,0.722513
SVM+RF_ensemble,19,716,0.815642,0.767397,0.749332,0.658009,0.913043,0.781116,0.645161
SVM+RF_ensemble,20,599,0.826377,0.745757,0.721121,0.660194,0.944528,0.801887,0.477876
SVM+RF_ensemble,21,607,0.846787,0.779032,0.762735,0.735294,0.962963,0.700508,0.652174
SVM+RF_ensemble,22,722,0.810249,0.752043,0.740995,0.603922,0.952247,0.734545,0.673267
SVM+RF_ensemble,23,704,0.772727,0.691236,0.696362,0.652778,0.932534,0.694981,0.505155
SVM+RF_ensemble,24,653,0.799387,0.727889,0.70115,0.584475,0.927345,0.659686,0.633094
SVM+RF_ensemble,25,616,0.811688,0.78479,0.752058,0.548673,0.910688,0.842105,0.706767
SVM+RF_ensemble,26,789,0.81749,0.75508,0.727603,0.604478,0.967895,0.694561,0.643478
SVM+RF_ensemble,27,694,0.914986,0.846652,0.847133,0.752577,0.996337,0.829493,0.810127
SVM+RF_ensemble,28,700,0.867143,0.805627,0.802752,0.723404,0.963158,0.835556,0.688889
SVM+RF_ensemble,29,736,0.873641,0.800869,0.80378,0.697479,0.965937,0.848,0.703704
SVM+RF_ensemble,30,654,0.889908,0.812389,0.804006,0.745763,0.975919,0.851485,0.642857
SVM+RF_ensemble,31,758,0.83905,0.754683,0.734092,0.591398,0.985849,0.664384,0.694737
SVM+RF_ensemble,32,686,0.845481,0.747826,0.735771,0.623762,0.985987,0.709957,0.623377
SVM+RF_ensemble,33,692,0.907514,0.841077,0.838207,0.867347,0.987715,0.779817,0.717949
SVM+RF_ensemble,34,632,0.89557,0.865031,0.842318,0.812183,0.961538,0.824121,0.771429
SVM+RF_ensemble,35,852,0.807512,0.761265,0.730944,0.56,0.958333,0.710526,0.694915
SVM+RF_ensemble,36,734,0.809264,0.733996,0.704088,0.560976,0.971429,0.582524,0.701422
SVM+RF_ensemble,37,680,0.892647,0.803462,0.796189,0.588235,0.979786,0.819048,0.797688
SVM+RF_ensemble,38,671,0.891207,0.820306,0.810865,0.734884,0.970828,0.734177,0.803571
SVM+RF_ensemble,39,693,0.864358,0.768476,0.747861,0.726368,0.962286,0.760417,0.542373
SVM+RF_ensemble,40,648,0.859568,0.760974,0.746685,0.704663,0.977273,0.674033,0.630769
