condition,model,f1_mean,f1_sd,delta_f1,n_features,method
Full-72,SVM,0.776700141407124,0.0547264767402714,0.0,72,none
Full-72,RF,0.7732421386023015,0.059893130882271294,0.0,72,none
RFE-36,SVM,0.7804468224238896,0.06135802538735783,0.003746681016765674,36,rfe
RFE-36,RF,0.7597272667369201,0.06937406127481015,-0.013514871865381362,36,rfe
RFE-27,SVM,0.7746017063198221,0.06301889055670656,-0.0020984350873018975,27,rfe
RFE-27,RF,0.7550036703311369,0.06873686649678099,-0.0182384682711646,27,rfe
MI-36,SVM,0.7570932928721057,0.056195131955408824,-0.019606848535018262,36,mi
MI-36,RF,0.7471968852375264,0.06477816429329337,-0.026045253364775145,36,mi
MI-27,SVM,0.6851222521831819,0.05001842051505419,-0.09157788922394205,27,mi
MI-27,RF,0.6699731009537797,0.06294504574902517,-0.1032690376485218,27,mi
