label,support,precision,recall,f1,model
DNS,4069,0.6547208821502413,0.7004177930695502,0.6767988601282356,SVM
STDUP,14686,0.9732392397987703,0.9484543102274274,0.9606869439271672,SVM
UPS,4550,0.792189349112426,0.7356043956043956,0.7628490028490029,SVM
WAK,3042,0.6601099218975991,0.7501643655489809,0.7022618864440683,SVM
DNS,4069,0.6726719106825679,0.6515114278692553,0.6619225967540575,RF
STDUP,14686,0.9461803256983979,0.9732398202369603,0.9595193340494093,RF
UPS,4550,0.7782456140350877,0.7312087912087912,0.7539943342776203,RF
WAK,3042,0.7114049586776859,0.7074293228139382,0.7094115707928136,RF
DNS,4069,0.6097506178386879,0.6669943475055297,0.6370892018779343,CNN
STDUP,14686,0.9624611910810048,0.9287757047528258,0.9453184558874489,CNN
UPS,4550,0.7722488038277512,0.7094505494505494,0.7395189003436425,CNN
WAK,3042,0.6368510158013544,0.7419460880999342,0.6853932584269663,CNN
