true,pred,count,rate_within_true,rate_overall
UPS,DNS,637,0.14,0.024177325691729607
DNS,STDUP,530,0.13025313344802164,0.02011614225528523
DNS,UPS,507,0.12460063897763578,0.01924317759137663
WAK,DNS,455,0.14957264957264957,0.017269518351235434
UPS,WAK,389,0.08549450549450549,0.014764489315671614
DNS,WAK,381,0.09363479970508724,0.014460849432572968
WAK,UPS,349,0.11472715318869164,0.013246289900178388
STDUP,DNS,198,0.013482227972218439,0.007515087106691464
UPS,STDUP,197,0.0432967032967033,0.0074771321213041335
STDUP,WAK,103,0.007013482227972218,0.0039093634948950545
STDUP,UPS,92,0.006264469562848972,0.0034918586556344174
WAK,STDUP,86,0.02827087442472058,0.003264128743310434
