true,pred,count,rate_within_true,rate_overall
UPS,DNS,653,0.14351648351648352,0.0247846054579269
DNS,WAK,507,0.12460063897763578,0.01924317759137663
UPS,WAK,474,0.10417582417582417,0.017990663073594718
DNS,UPS,446,0.10960924059965593,0.01692792348274946
WAK,DNS,438,0.14398422090729784,0.016624283599650815
STDUP,DNS,412,0.028053928911888872,0.015637453979580218
WAK,UPS,281,0.09237343852728468,0.010665350893839905
DNS,STDUP,266,0.06537232735315802,0.010096026113029946
STDUP,WAK,194,0.01320985973035544,0.007363267165142141
STDUP,UPS,151,0.010281901130328204,0.005731202793486924
UPS,STDUP,76,0.016703296703296705,0.0028845788894371277
WAK,STDUP,41,0.013477975016436555,0.0015561544008805557
