subject,model,f1_sd,f1_loso,delta_f1
33,CNN,0.9777,0.8902934484527416,0.0874065515472584
13,CNN,0.8999,0.8578592138508125,0.04204078614918749
15,CNN,0.9389,0.8534829951416749,0.08541700485832504
2,CNN,0.8882,0.8374400004593266,0.05075999954067334
27,CNN,0.9772,0.8352390768446106,0.14196092315538933
11,CNN,0.944,0.8327332883998884,0.11126671160011159
19,CNN,0.9165,0.8282101218859386,0.08828987811406142
37,CNN,0.8648,0.8220949733729096,0.042705026627090414
16,CNN,0.9142,0.82103021606123,0.09316978393877007
34,CNN,0.9639,0.8167870298176544,0.1471129701823456
