subject,model,f1_sd,f1_loso,delta_f1
5,CNN,0.8616,0.5360809657301543,0.32551903426984574
1,CNN,0.9492,0.5966603863209266,0.3525396136790735
36,CNN,0.8625,0.6135309483986502,0.24896905160134986
7,CNN,0.9488,0.663144511706513,0.28565548829348697
24,CNN,0.9581,0.6649900344753286,0.2931099655246714
35,CNN,0.7586,0.6855152317496623,0.07308476825033772
31,CNN,0.7771,0.6860149461963938,0.09108505380360621
8,CNN,0.9009,0.693503163011092,0.20739683698890798
26,CNN,0.8032,0.6968328128313787,0.10636718716862137
6,CNN,0.8182,0.7136207592418446,0.10457924075815539
