subject,model,f1_sd,f1_loso,delta_f1
13,RF,0.8792315661622131,0.8939836426295077,-0.014752076467294595
37,RF,0.8822707865432247,0.8694714899812868,0.0127992965619379
11,RF,0.9275576978689326,0.8568400332837391,0.07071766458519346
2,RF,0.9001177423860326,0.8502282632843694,0.04988947910166319
33,RF,0.9119033688337292,0.8483985123769411,0.06350485645678816
34,RF,0.8462373991486183,0.8450584444471654,0.0011789547014529056
38,RF,0.8732624390561537,0.838085497627845,0.03517694142830874
16,RF,0.8735687674725995,0.8355576483872889,0.03801111908531063
27,RF,0.8929320314102922,0.827541169893101,0.0653908615171912
30,RF,0.8862264939260498,0.815420191924198,0.07080630200185178
