subject,model,f1_sd,f1_loso,delta_f1
1,RF,0.9310538339244776,0.6026753059144594,0.3283785280100182
5,RF,0.747368895061281,0.6582109311114686,0.08915796394981246
20,RF,0.780576695207092,0.6827689585011569,0.09780773670593512
35,RF,0.7972261004800074,0.7011606199497994,0.09606548053020803
31,RF,0.7569274873385141,0.706385129084563,0.05054235825395115
6,RF,0.7714622900623573,0.7145014755448332,0.056960814517524105
26,RF,0.8153596546929854,0.7152486610417648,0.10011099365122067
23,RF,0.8845613952537416,0.7305645669132046,0.15399682834053696
22,RF,0.8335996591105621,0.7366067642150091,0.09699289489555296
10,RF,0.8068004528787925,0.7383121311281183,0.06848832175067421
