subject,model,f1_sd,f1_loso,delta_f1
13,SVM,0.8927956792917379,0.8935695131978626,-0.0007738339061247324
2,SVM,0.9327253453504843,0.8729166904278644,0.05980865492262
11,SVM,0.9151599548296198,0.8682620835916856,0.04689787123793421
27,SVM,0.9121252954444188,0.8471334964401774,0.06499179900424135
34,SVM,0.8839375422029842,0.8423175942747149,0.041619947928269285
33,SVM,0.912036928105054,0.8382067895501709,0.07383013855488307
15,SVM,0.864724039503387,0.834115365692586,0.030608673810801013
12,SVM,0.8660978944490019,0.8270668452343122,0.039031049214689695
16,SVM,0.8736532680205273,0.8171264214191113,0.05652684660141605
3,SVM,0.9014945145486588,0.8123476884987733,0.08914682604988555
