subject,model,f1_sd,f1_loso,delta_f1
1,SVM,0.913031433780048,0.6708429792681361,0.24218845451191195
23,SVM,0.8930720213426667,0.6963617112667909,0.1967103100758758
5,SVM,0.8237307734884567,0.698487429709867,0.1252433437785897
24,SVM,0.9112443663424872,0.7011497642333242,0.21009460210916298
36,SVM,0.8869234253065775,0.7040875634942992,0.1828358618122783
10,SVM,0.850950593524666,0.7102313419474202,0.14071925157724574
20,SVM,0.8323780539585216,0.721121202384184,0.11125685157433762
26,SVM,0.8564735488815135,0.7276029762323566,0.1288705726491569
35,SVM,0.8258239895605346,0.7309437258400238,0.09488026372051084
31,SVM,0.7922618450948943,0.7340918274538094,0.05817001764108487
