subject,avg_f1,RF_f1,SVM_f1,CNN_f1
1,0.6234,0.6027,0.6708,0.5967
2,0.8535,0.8502,0.8729,0.8374
3,0.8002,0.7844,0.8123,0.8039
4,0.7952,0.7923,0.7809,0.8123
5,0.6309,0.6582,0.6985,0.5361
6,0.7247,0.7145,0.746,0.7136
7,0.7282,0.7482,0.7732,0.6631
8,0.731,0.7514,0.7481,0.6935
9,0.7698,0.7753,0.791,0.7431
10,0.722,0.7383,0.7102,0.7175
11,0.8526,0.8568,0.8683,0.8327
12,0.8073,0.8149,0.8271,0.7801
13,0.8818,0.894,0.8936,0.8579
14,0.7753,0.7711,0.8059,0.7489
15,0.8225,0.78,0.8341,0.8535
16,0.8246,0.8356,0.8171,0.821
17,0.7859,0.7829,0.81,0.7648
18,0.7692,0.7704,0.8119,0.7254
19,0.7858,0.7798,0.7493,0.8282
20,0.7183,0.6828,0.7211,0.751
21,0.7743,0.7943,0.7627,0.7659
22,0.7504,0.7366,0.741,0.7737
23,0.7191,0.7306,0.6964,0.7305
24,0.7037,0.745,0.7011,0.665
25,0.7621,0.7797,0.7521,0.7545
26,0.7132,0.7152,0.7276,0.6968
27,0.8366,0.8275,0.8471,0.8352
28,0.7925,0.7798,0.8028,0.7948
29,0.7663,0.7418,0.8038,0.7534
30,0.8066,0.8154,0.804,0.8004
31,0.7088,0.7064,0.7341,0.686
32,0.7392,0.7676,0.7358,0.7142
33,0.859,0.8484,0.8382,0.8903
34,0.8347,0.8451,0.8423,0.8168
35,0.7059,0.7012,0.7309,0.6855
36,0.6877,0.7456,0.7041,0.6135
37,0.8293,0.8695,0.7962,0.8221
38,0.8128,0.8381,0.8109,0.7895
39,0.7492,0.7524,0.7479,0.7473
40,0.7616,0.806,0.7467,0.7322
