quantity,mean,ci_lo,ci_hi,n
LDA_ps,0.6874,0.664,0.708,40
LDA_gl,0.6278,0.608,0.649,40
SVM_ps,0.7767,0.76,0.793,40
RF_ps,0.7732,0.754,0.791,40
CNN_ps,0.7537,0.729,0.775,40
simple_repro,0.7602,0.734,0.783,40
resnet,0.7563,0.732,0.776,40
resnet_se,0.7822,0.755,0.804,40
DeepCORAL,0.7637,0.741,0.786,40
AdaBN_pre,0.7034,0.675,0.729,40
AdaBN_post,0.7425,0.723,0.76,40
STDUP_SVM_imb,0.9597,0.95,0.967,40
STDUP_SVM_bal,0.9558,0.945,0.964,40
STDUP_RF_imb,0.9588,0.947,0.967,40
STDUP_RF_bal,0.9467,0.935,0.957,40
macroF1_SVM_imb,0.7767,0.76,0.793,40
macroF1_SVM_bal,0.7752,0.759,0.792,40
macroF1_RF_imb,0.7727,0.754,0.791,40
macroF1_RF_bal,0.763,0.746,0.78,40
