quantity,mean,ci_lo,ci_hi,n
SIAT_glob_SVM,0.708,0.684,0.727,40
SIAT_glob_RF,0.7219,0.694,0.743,40
SIAT_ps_SVM,0.7767,0.76,0.793,40
SIAT_ps_RF,0.7732,0.754,0.791,40
SIAT_glob_CNN,0.6816,0.645,0.709,40
SIAT_ps_CNN,0.7537,0.729,0.775,40
EXT_ps_SVM,0.6572,0.609,0.682,10
EXT_gl_SVM,0.554,0.482,0.598,10
EXT_ps_RF,0.6356,0.567,0.678,10
EXT_gl_RF,0.5245,0.399,0.576,10
EXT_ps_CNN,0.5556,0.502,0.599,10
EXT_gl_CNN,0.3867,0.289,0.473,10
CORAL_SVM,0.7236,0.699,0.744,40
CORAL_RF,0.7466,0.729,0.763,40
c100_SVM,0.7449,0.728,0.763,40
c100_RF,0.7067,0.689,0.722,40
tr_SVM,0.7767,0.76,0.793,40
tr_RF,0.7731,0.754,0.791,40
calib3ep_K0,0.7499,0.726,0.772,40
calib3ep_K10,0.7782,0.753,0.8,40
calib3ep_K20,0.782,0.759,0.803,40
