comparison_name,model,condition_a,condition_b,mean_a,mean_b,delta,W_statistic,z_score,p_value,significant,cohen_d,effect_size_interp
1_norm_contribution,SVM,full72_global,full72_persubj,0.708,0.7767,0.0687,16.0,,0.0,True,1.4769,large
1_norm_contribution,RF,full72_global,full72_persubj,0.7219,0.7732,0.0514,26.0,,0.0,True,1.0376,large
1_norm_contribution,CNN,full72_global,full72_persubj,0.6816,0.7537,0.0721,23.0,,0.0,True,0.8805,large
2_featsel_indep_global,RF,full72_global,rfe36_global,0.7219,0.7062,-0.0157,162.0,,0.00057,True,-0.5994,medium
2_featsel_indep_global,RF,full72_global,mi36_global,0.7219,0.7094,-0.0124,193.0,,0.002908,True,-0.5242,medium
3_featsel_marginal_persubj,RF,full72_persubj,rfe36_persubj,0.7732,0.7597,-0.0135,145.0,,0.000206,True,-0.6768,medium
4_cnn_aug_indep_global,CNN,full72_global,timemask_global,0.6816,0.6639,-0.0177,233.0,,0.016506,True,-0.3848,small
6_end_to_end,SVM,full72_global,rfe36_persubj,0.708,0.7804,0.0724,12.0,,0.0,True,1.5792,large
6_end_to_end,RF,full72_global,rfe36_persubj,0.7219,0.7597,0.0379,103.0,,1e-05,True,0.7508,medium
6_end_to_end,CNN,full72_global,gaussian_persubj,0.6816,0.7599,0.0783,19.0,,0.0,True,0.9705,large
