subject,arch,config,f1_macro,bal_acc
1,resnet_se,calib25,0.46845599285952033,0.47544345547278555
1,resnet_se,calib50,0.5392854522320044,0.5389357722200374
1,resnet_se,calib100,0.5654819419157822,0.5554418983254794
1,resnet_se,running,0.4443872094082745,0.4529682031277823
2,resnet_se,calib25,0.6172292202367391,0.6079541589213778
2,resnet_se,calib50,0.6518767587481817,0.6379734529856156
2,resnet_se,calib100,0.6402014502068855,0.6300896389220263
2,resnet_se,running,0.5459753810761703,0.5450212522203719
3,resnet_se,calib25,0.7022852354397926,0.6715330488416291
3,resnet_se,calib50,0.7555220235791124,0.7270613989063393
3,resnet_se,calib100,0.7650183465198945,0.7320676950342205
3,resnet_se,running,0.5761482924377299,0.5973968338469914
4,resnet_se,calib25,0.6222212941960266,0.6060917446674714
4,resnet_se,calib50,0.7007893799790433,0.6857798642122706
4,resnet_se,calib100,0.700847070791382,0.6704310712550269
4,resnet_se,running,0.4824260752688172,0.47810789781509794
5,resnet_se,calib25,0.6455582115391252,0.6601885735349
5,resnet_se,calib50,0.624329969139642,0.6176829373987052
5,resnet_se,calib100,0.6598854474553079,0.6496055853689476
5,resnet_se,running,0.5108045145215854,0.5377597159660498
6,resnet_se,calib25,0.6449642577125458,0.6294104832584498
6,resnet_se,calib50,0.6298597859558787,0.6199926399024164
6,resnet_se,calib100,0.626585816935891,0.6147357988591492
6,resnet_se,running,0.4935640200000415,0.49126572659766843
7,resnet_se,calib25,0.6066142819741916,0.6225090355533409
7,resnet_se,calib50,0.6028234013116749,0.5995133910126271
7,resnet_se,calib100,0.5806326083500937,0.5650901908138656
7,resnet_se,running,0.45710872477407605,0.47471209082635685
8,resnet_se,calib25,0.7537753807654761,0.7667106149664289
8,resnet_se,calib50,0.7231616392617664,0.7352513765304464
8,resnet_se,calib100,0.7018594204781183,0.7066799479590178
8,resnet_se,running,0.5587537684437841,0.5464891697449836
9,resnet_se,calib25,0.6545398985748152,0.6394332758978172
9,resnet_se,calib50,0.6834775968163761,0.6477022099566017
9,resnet_se,calib100,0.6734437372462279,0.6417260421209673
9,resnet_se,running,0.5954837745704147,0.591491614652968
10,resnet_se,calib25,0.5949958166146688,0.5887221331300279
10,resnet_se,calib50,0.6089303888282485,0.5990013276197487
10,resnet_se,calib100,0.6582509005137956,0.6447236973552763
10,resnet_se,running,0.532482124180914,0.5316837767495662
11,resnet_se,calib25,0.7924678360922557,0.7672502095833226
11,resnet_se,calib50,0.8068921524033776,0.7779162124502508
11,resnet_se,calib100,0.80820681703989,0.7816007301797123
11,resnet_se,running,0.5581143652456302,0.5435272372483212
12,resnet_se,calib25,0.6679912489607026,0.6540959040959041
12,resnet_se,calib50,0.6899783547445771,0.6808503996003996
12,resnet_se,calib100,0.7401323572266115,0.7289273226773227
12,resnet_se,running,0.6503155198129653,0.6369567932067932
13,resnet_se,calib25,0.7879550341923186,0.7692288329602488
13,resnet_se,calib50,0.7685161630497005,0.7443629847763442
13,resnet_se,calib100,0.7742783119048013,0.7467316166428076
13,resnet_se,running,0.6097977377638394,0.5992594693846781
14,resnet_se,calib25,0.7460012349114352,0.719431514827725
14,resnet_se,calib50,0.739244942421413,0.7042880773435161
14,resnet_se,calib100,0.7527423314654287,0.7325499524147636
14,resnet_se,running,0.595219909293605,0.5538618939079983
15,resnet_se,calib25,0.7683723117043373,0.7620974409973861
15,resnet_se,calib50,0.8386895011895013,0.8245201090717883
15,resnet_se,calib100,0.8175020181768253,0.7985241899112753
15,resnet_se,running,0.6063681441302253,0.567237398793033
16,resnet_se,calib25,0.6201438573727849,0.6266552891552892
16,resnet_se,calib50,0.722011053348282,0.7091498778998779
16,resnet_se,calib100,0.7357441158255473,0.7160277222777223
16,resnet_se,running,0.5575810453856325,0.5650793650793651
17,resnet_se,calib25,0.6849936554887323,0.6774847780945343
17,resnet_se,calib50,0.7311135948405783,0.7035230352303523
17,resnet_se,calib100,0.7260823020591456,0.7022454510259388
17,resnet_se,running,0.5137952447054808,0.5227545489740612
18,resnet_se,calib25,0.6308190569863663,0.6279257080129174
18,resnet_se,calib50,0.6835416565789376,0.6648767656761844
18,resnet_se,calib100,0.6754795804249801,0.6513127860511583
18,resnet_se,running,0.5254713238596453,0.5263110436075552
19,resnet_se,calib25,0.726840815597299,0.7033629280849714
19,resnet_se,calib50,0.7883866289092569,0.7604935109089941
19,resnet_se,calib100,0.7746150949512438,0.7405628303676142
19,resnet_se,running,0.621729500499848,0.6101393050547657
20,resnet_se,calib25,0.5825422400363387,0.5772186343999218
20,resnet_se,calib50,0.6078594199917728,0.5796969670087911
20,resnet_se,calib100,0.6192127426831869,0.5860745112401768
20,resnet_se,running,0.501793109349094,0.5407618785713652
21,resnet_se,calib25,0.7224766700816704,0.7071155884093899
21,resnet_se,calib50,0.7503326006573103,0.7266343675654243
21,resnet_se,calib100,0.7604409703326241,0.7382393272535025
21,resnet_se,running,0.6442663975203577,0.6458899269996144
22,resnet_se,calib25,0.6153516101806438,0.5811860789776326
22,resnet_se,calib50,0.6069177876169722,0.5720005165956348
22,resnet_se,calib100,0.6546825500731266,0.6226295025307036
22,resnet_se,running,0.49553755978465996,0.4851753056277835
23,resnet_se,calib25,0.6668367144261138,0.6619826060367031
23,resnet_se,calib50,0.6916821570256781,0.6715000749677988
23,resnet_se,calib100,0.6794947855114074,0.6611547553330956
23,resnet_se,running,0.5452817047901847,0.5494603709431924
24,resnet_se,calib25,0.7434346259652981,0.7200196418567089
24,resnet_se,calib50,0.7700466230487868,0.7405017621788201
24,resnet_se,calib100,0.7832666796556567,0.76131040045256
24,resnet_se,running,0.5715537331175734,0.559499455521305
25,resnet_se,calib25,0.6778508000355696,0.6978604248683519
25,resnet_se,calib50,0.6685989231178504,0.673086398259792
25,resnet_se,calib100,0.6667479549080322,0.6704251990712401
25,resnet_se,running,0.5824176037479949,0.54763474007639
26,resnet_se,calib25,0.5744322081772181,0.5715695063373133
26,resnet_se,calib50,0.6998570805695661,0.6844125757490562
26,resnet_se,calib100,0.6834695611481101,0.6688455598208716
26,resnet_se,running,0.57637869783744,0.5611641619804238
