subject,arch,config,f1_macro,bal_acc
1,resnet_se,calib25,0.5393345561169144,0.5129849225707555
1,resnet_se,calib50,0.6542126071914681,0.630282949009677
1,resnet_se,calib100,0.6519926491378782,0.6273610672255727
1,resnet_se,running,0.44065449137401347,0.43581970640006484
2,resnet_se,calib25,0.7574788293278822,0.7314922904810545
2,resnet_se,calib50,0.7578040173724212,0.731439596608136
2,resnet_se,calib100,0.7272093845330281,0.7043306256789403
2,resnet_se,running,0.5103996655182311,0.5024928255265334
3,resnet_se,calib25,0.8132577941872355,0.7851012583426895
3,resnet_se,calib50,0.8367572742658281,0.8152119069604563
3,resnet_se,calib100,0.8328206752892635,0.8089041195830268
3,resnet_se,running,0.5803107434727439,0.5618084461389579
4,resnet_se,calib25,0.7263772287999123,0.6769324323754828
4,resnet_se,calib50,0.7904687102641799,0.7566400315081475
4,resnet_se,calib100,0.7823059142997273,0.7437747657593875
4,resnet_se,running,0.47413870271946357,0.4479976083051343
5,resnet_se,calib25,0.6962331330552087,0.6972954129835462
5,resnet_se,calib50,0.7138999556469011,0.7108817414662831
5,resnet_se,calib100,0.7295745286945858,0.7218495712360604
5,resnet_se,running,0.3692339000278952,0.3807686024667156
6,resnet_se,calib25,0.7402124047664577,0.72350824430679
6,resnet_se,calib50,0.7389234834348861,0.7201235434773006
6,resnet_se,calib100,0.7063120755287445,0.6844170774213867
6,resnet_se,running,0.48622370335925325,0.46178100111577086
7,resnet_se,calib25,0.6917769362868977,0.6705100540691904
7,resnet_se,calib50,0.7080128230324565,0.6834546767310309
7,resnet_se,calib100,0.6832572457292224,0.6586157518554969
7,resnet_se,running,0.4376070655211588,0.428377581120944
8,resnet_se,calib25,0.8457403761738601,0.8534550720597233
8,resnet_se,calib50,0.8078283672350894,0.808961484252182
8,resnet_se,calib100,0.8064067042647606,0.7996249874156851
8,resnet_se,running,0.5166153654715611,0.49001812141347023
9,resnet_se,calib25,0.7075014836001253,0.6780823997082943
9,resnet_se,calib50,0.7776853312401418,0.7520325309043592
9,resnet_se,calib100,0.7213655414397117,0.6885705920624594
9,resnet_se,running,0.46791615522488333,0.4771914747581631
10,resnet_se,calib25,0.6966669960734708,0.6894700694042799
10,resnet_se,calib50,0.7217044903908919,0.706784991324465
10,resnet_se,calib100,0.7359433061375488,0.7222382880277617
10,resnet_se,running,0.4880584377505714,0.4778050896471949
11,resnet_se,calib25,0.8633629989686177,0.8323982912879145
11,resnet_se,calib50,0.8648096935168188,0.8367743624518245
11,resnet_se,calib100,0.8576234675232347,0.8240537277219365
11,resnet_se,running,0.5645573509254069,0.5107054875065451
12,resnet_se,calib25,0.8138825764635035,0.8041645854145854
12,resnet_se,calib50,0.8154806247213662,0.8034153346653345
12,resnet_se,calib100,0.8398961760569857,0.8291083916083917
12,resnet_se,running,0.6772735736529715,0.6079545454545454
13,resnet_se,calib25,0.8050552516988427,0.7794736030742628
13,resnet_se,calib50,0.8079345301003011,0.7828899407602634
13,resnet_se,calib100,0.8158706023200016,0.7903687369464093
13,resnet_se,running,0.4505731524718867,0.41595862119606736
14,resnet_se,calib25,0.6616915628022519,0.6165854958696873
14,resnet_se,calib50,0.7322631951735046,0.6934603437505443
14,resnet_se,calib100,0.763977083167541,0.7442268613558568
14,resnet_se,running,0.4411768477375148,0.4268720110644064
15,resnet_se,calib25,0.7425218360744512,0.6918143853662018
15,resnet_se,calib50,0.7617499626498367,0.7270560593244116
15,resnet_se,calib100,0.7749841305333623,0.7384014408505161
15,resnet_se,running,0.5080881864917307,0.46396715895841434
16,resnet_se,calib25,0.7155024996212694,0.6838661338661339
16,resnet_se,calib50,0.8132639176110514,0.7777590465090465
16,resnet_se,calib100,0.8213952461351844,0.7864246864246864
16,resnet_se,running,0.4967807729904504,0.47295482295482294
17,resnet_se,calib25,0.7726595757826251,0.7507936507936508
17,resnet_se,calib50,0.8217959784485169,0.7921409214092141
17,resnet_se,calib100,0.7901618397941927,0.7566976384049555
17,resnet_se,running,0.43291222695507203,0.4267615176151761
18,resnet_se,calib25,0.6826209010158588,0.6547982540715098
18,resnet_se,calib50,0.7475391527358854,0.706838292521432
18,resnet_se,calib100,0.7843637184706749,0.7455010832191065
18,resnet_se,running,0.4782686455505029,0.4666967480194224
19,resnet_se,calib25,0.7973158908448539,0.7743896495357946
19,resnet_se,calib50,0.8256777072798707,0.8113517114891442
19,resnet_se,calib100,0.8212842082160263,0.8051443018227789
19,resnet_se,running,0.4949037187199917,0.47273346614897177
20,resnet_se,calib25,0.7539028379465513,0.7200717536298187
20,resnet_se,calib50,0.7438254685598629,0.7053784807543889
20,resnet_se,calib100,0.7324217528854537,0.7019286797813681
20,resnet_se,running,0.5329447484548214,0.49517912428129146
21,resnet_se,calib25,0.8455117041050154,0.8219452154374834
21,resnet_se,calib50,0.8563520202601589,0.8270998546127412
21,resnet_se,calib100,0.8628308360575483,0.8412424828178695
21,resnet_se,running,0.45768076352384995,0.4216300720327782
22,resnet_se,calib25,0.7487785146543422,0.730747650541469
22,resnet_se,calib50,0.7550950152631852,0.7341061371622569
22,resnet_se,calib100,0.7631669322998293,0.7423924233931383
22,resnet_se,running,0.3803959674860131,0.38908414973893474
23,resnet_se,calib25,0.7735348385503682,0.7644343843050123
23,resnet_se,calib50,0.8045749452358155,0.7853378529681283
23,resnet_se,calib100,0.7821542794170587,0.7649867986122869
23,resnet_se,running,0.4705483678749411,0.46532380812098
24,resnet_se,calib25,0.7930426743723878,0.7367913642121875
24,resnet_se,calib50,0.7946986133004473,0.7453591477675565
24,resnet_se,calib100,0.8361639328213384,0.7966338094793458
24,resnet_se,running,0.5467604027737937,0.48913541168975955
25,resnet_se,calib25,0.8390903135447728,0.8137570847271909
25,resnet_se,calib50,0.7995477126240456,0.7668957210525364
25,resnet_se,calib100,0.8031375391169362,0.7689282413777396
25,resnet_se,running,0.482719322737039,0.44323912042367025
26,resnet_se,calib25,0.6447390936154982,0.6246765066432223
26,resnet_se,calib50,0.7309588236655795,0.7125543866703989
26,resnet_se,calib100,0.72844069143399,0.7042112953355044
26,resnet_se,running,0.49038404656823065,0.45440477222352926
27,resnet_se,calib25,0.7894296654935464,0.7548825982005706
27,resnet_se,calib50,0.8296927702500458,0.8036811498793066
27,resnet_se,calib100,0.831648271680487,0.8007186745666008
27,resnet_se,running,0.49501134400034397,0.46088435374149656
28,resnet_se,calib25,0.6872439259775514,0.6582346296363921
28,resnet_se,calib50,0.698639755140567,0.663307681584444
28,resnet_se,calib100,0.7039904971280574,0.6738839109106733
28,resnet_se,running,0.4181098300667624,0.40532199523713885
29,resnet_se,calib25,0.5852331239164072,0.5576558030269351
29,resnet_se,calib50,0.7483416438990229,0.7096003900844992
29,resnet_se,calib100,0.7587140306786863,0.7296878158708258
29,resnet_se,running,0.41543192761620956,0.40529776784185584
30,resnet_se,calib25,0.7391601433434252,0.7270264196955927
30,resnet_se,calib50,0.7806653278024075,0.7771273213002536
30,resnet_se,calib100,0.7876988816846453,0.7860566751544196
30,resnet_se,running,0.5365331765593134,0.530488934624273
31,resnet_se,calib25,0.6792840706564252,0.6504867362247682
31,resnet_se,calib50,0.713538144003744,0.6842692989634479
31,resnet_se,calib100,0.7419410106221782,0.7182743453355156
31,resnet_se,running,0.5056781615231838,0.47226882160392797
32,resnet_se,calib25,0.6866696903649016,0.678297305764411
32,resnet_se,calib50,0.661239604213447,0.6558939963545227
32,resnet_se,calib100,0.688297447977197,0.6901023866484393
32,resnet_se,running,0.4747790978588212,0.4916360467389054
33,resnet_se,calib25,0.7683241175775112,0.7487341197822142
33,resnet_se,calib50,0.7860042928834875,0.7570538415003025
33,resnet_se,calib100,0.7990798445906804,0.7795341802782819
33,resnet_se,running,0.4958763852735741,0.4502404718693285
34,resnet_se,calib25,0.776642954557167,0.760598308554191
34,resnet_se,calib50,0.8295077665622281,0.8132276785714285
34,resnet_se,calib100,0.8508748902105552,0.8462577838827838
34,resnet_se,running,0.4524694279772805,0.4200441782482224
35,resnet_se,calib25,0.5709818791620154,0.5788199858226796
35,resnet_se,calib50,0.6426936159079016,0.6371930666357605
35,resnet_se,calib100,0.6378733764228435,0.6297193729283065
35,resnet_se,running,0.40136563111775164,0.4067191197510517
