subject,arch,f1_pre_adabn,f1_macro,bal_acc,delta_pp
1,resnet_se,0.6446227393038929,0.6773247352714934,0.676220229503054,3.27
2,resnet_se,0.8417720158238734,0.8580587818071126,0.8704323271101913,1.63
3,resnet_se,0.8774316690464486,0.8081288749269525,0.8315961863608025,-6.93
4,resnet_se,0.7520364435499439,0.8809741597761097,0.885490141702378,12.89
5,resnet_se,0.6733123124997159,0.7089370683241961,0.7156198318456403,3.56
6,resnet_se,0.7978327187882428,0.7856960684604763,0.7963575532556142,-1.21
7,resnet_se,0.7639689050439904,0.8676686722970033,0.8617311200517219,10.37
8,resnet_se,0.7405564048039219,0.8630595892064743,0.8837965329244398,12.25
9,resnet_se,0.8026002687441397,0.8209657592032473,0.8173345869051789,1.84
10,resnet_se,0.5584683089819558,0.7761297600550953,0.7751606945685893,21.77
11,resnet_se,0.86408890349641,0.9149254836292758,0.9256836135884385,5.08
12,resnet_se,0.879217380028817,0.8565794930303317,0.8806193806193807,-2.26
13,resnet_se,0.8650544730391629,0.8760486415769602,0.8950703763011052,1.1
14,resnet_se,0.7507077264211944,0.7912663846145621,0.8094724763895425,4.06
15,resnet_se,0.8370491071394954,0.8649832001717328,0.8868246316298487,2.79
16,resnet_se,0.8634060957616121,0.8847706480568507,0.9041063103563103,2.14
17,resnet_se,0.8351514314646046,0.8499381840125118,0.846241157216767,1.48
18,resnet_se,0.893188676698659,0.9011594787624968,0.90843858176707,0.8
19,resnet_se,0.8524181989858318,0.825064570514739,0.8562663667504069,-2.74
20,resnet_se,0.8406669387679164,0.8617214659283187,0.8832084530388841,2.11
21,resnet_se,0.7979981265373122,0.8263914814636381,0.8442883652984586,2.84
22,resnet_se,0.7760763612465424,0.8052069158883668,0.8179502899360722,2.91
23,resnet_se,0.6846934217934895,0.7030096414022798,0.7174468322290639,1.83
24,resnet_se,0.7848032929783728,0.8065868527403964,0.8519613788973477,2.18
25,resnet_se,0.8120781589714331,0.873224396729047,0.8974516588074009,6.11
26,resnet_se,0.6904056806131302,0.7725580853499019,0.7821989108862455,8.22
27,resnet_se,0.871251529622095,0.8682783663756903,0.8668766090228381,-0.3
28,resnet_se,0.7778486019800931,0.8301823617659176,0.8290675454513574,5.23
29,resnet_se,0.8030248540306011,0.7827194862173247,0.7946689068228119,-2.03
30,resnet_se,0.6847616915442665,0.7452815006794864,0.765466363210724,6.05
31,resnet_se,0.7141541843216999,0.7664249014161197,0.7851128542257363,5.23
32,resnet_se,0.8456353999979083,0.8115613153699971,0.8260327647684047,-3.41
33,resnet_se,0.8275560136360223,0.8689628725031744,0.869235588972431,4.14
34,resnet_se,0.8096346899155809,0.8803024624580823,0.905067933904331,7.07
35,resnet_se,0.6498300004445704,0.6656460291597494,0.6730694924547079,1.58
36,resnet_se,0.7679029578077289,0.8206488457132787,0.8345043030662986,5.27
37,resnet_se,0.8492823350836736,0.8415811681765522,0.8376622480622569,-0.77
38,resnet_se,0.7570647745561176,0.7986379075856741,0.8168048243320201,4.16
39,resnet_se,0.8232358516512396,0.7891849775121269,0.8166684704184703,-3.41
40,resnet_se,0.8365160221781613,0.7983744479975635,0.8022004401703132,-3.81
