rung,name,subject,n_test,f1_macro,bal_acc,acc,best_params,fit_time_sec
2,scale_only,1,690,0.4176035253630143,0.39965416459236464,0.5449275362318841,"{'clf__C': 1, 'clf__gamma': 'scale'}",652.55
2,scale_only,2,520,0.7298829856515542,0.713996378539411,0.823076923076923,"{'clf__C': 1, 'clf__gamma': 'scale'}",329.96
2,scale_only,3,594,0.8090607552915249,0.7877126400596967,0.8838383838383839,"{'clf__C': 1, 'clf__gamma': 'scale'}",175.45
2,scale_only,4,556,0.7129189677409227,0.7512556947733414,0.7607913669064749,"{'clf__C': 1, 'clf__gamma': 'scale'}",174.58
2,scale_only,5,708,0.6563713710389303,0.6921545069523289,0.692090395480226,"{'clf__C': 1, 'clf__gamma': 'scale'}",171.3
2,scale_only,6,583,0.6869777943182765,0.6925550796073285,0.7701543739279588,"{'clf__C': 1, 'clf__gamma': 'scale'}",172.03
2,scale_only,7,600,0.5261914525230913,0.5660937583646644,0.5683333333333334,"{'clf__C': 1, 'clf__gamma': 'scale'}",164.39
2,scale_only,19,716,0.7662446381910838,0.7930531323351663,0.8282122905027933,"{'clf__C': 1, 'clf__gamma': 'scale'}",169.97
2,scale_only,8,574,0.6993516931817304,0.7109845580775813,0.8118466898954704,"{'clf__C': 1, 'clf__gamma': 'scale'}",174.9
2,scale_only,30,654,0.702784751783826,0.7120457862939066,0.8425076452599388,"{'clf__C': 1, 'clf__gamma': 'scale'}",175.85
2,scale_only,31,758,0.6635265535467149,0.6946183236900947,0.8007915567282322,"{'clf__C': 1, 'clf__gamma': 'scale'}",163.18
2,scale_only,9,591,0.7158960871170175,0.7199080364441458,0.766497461928934,"{'clf__C': 1, 'clf__gamma': 'scale'}",165.73
2,scale_only,20,599,0.6781693230537718,0.6989655792946042,0.8046744574290484,"{'clf__C': 1, 'clf__gamma': 'scale'}",167.22
2,scale_only,32,686,0.7872236570466368,0.804810899537723,0.8556851311953353,"{'clf__C': 1, 'clf__gamma': 'scale'}",162.5
2,scale_only,10,509,0.6710229448596958,0.6940855197434145,0.7721021611001965,"{'clf__C': 1, 'clf__gamma': 'scale'}",163.02
2,scale_only,21,607,0.7370497637418838,0.744192280330418,0.8336079077429983,"{'clf__C': 1, 'clf__gamma': 'scale'}",164.38
2,scale_only,33,692,0.792519425019425,0.8074991357704606,0.8670520231213873,"{'clf__C': 1, 'clf__gamma': 'scale'}",162.18
2,scale_only,22,722,0.6922074190177638,0.7071865769875129,0.7659279778393352,"{'clf__C': 1, 'clf__gamma': 'scale'}",158.78
2,scale_only,11,518,0.8217636302677286,0.8533328755404103,0.8494208494208494,"{'clf__C': 1, 'clf__gamma': 'scale'}",164.0
2,scale_only,23,704,0.6535438155185065,0.6831966791387387,0.7286931818181818,"{'clf__C': 1, 'clf__gamma': 'scale'}",156.28
2,scale_only,34,632,0.7771502334063677,0.7868619101486749,0.8686708860759493,"{'clf__C': 1, 'clf__gamma': 'scale'}",159.21
2,scale_only,12,507,0.752168866677146,0.7560564435564435,0.8303747534516766,"{'clf__C': 1, 'clf__gamma': 'scale'}",159.34
2,scale_only,35,852,0.7078891551219444,0.7195063767721701,0.7922535211267606,"{'clf__C': 1, 'clf__gamma': 'scale'}",152.44
2,scale_only,24,653,0.7746381082454884,0.7982097963924547,0.8560490045941807,"{'clf__C': 1, 'clf__gamma': 'scale'}",157.42
2,scale_only,13,752,0.8379629970766482,0.8347861538306638,0.9042553191489362,"{'clf__C': 1, 'clf__gamma': 'scale'}",157.2
2,scale_only,36,734,0.7094027498890554,0.7322067262341474,0.8133514986376021,"{'clf__C': 1, 'clf__gamma': 'scale'}",156.01
2,scale_only,25,616,0.7048035903838956,0.7645690554591478,0.7646103896103896,"{'clf__C': 1, 'clf__gamma': 'scale'}",155.98
2,scale_only,14,775,0.7091526049505941,0.7346561004641261,0.824516129032258,"{'clf__C': 1, 'clf__gamma': 'scale'}",153.07
2,scale_only,37,680,0.7944595375403823,0.8081189910766807,0.8720588235294118,"{'clf__C': 1, 'clf__gamma': 'scale'}",158.2
2,scale_only,26,789,0.6820268903265968,0.7246386511456167,0.7465145754119138,"{'clf__C': 1, 'clf__gamma': 'scale'}",154.19
2,scale_only,15,610,0.7538743271620647,0.7668677383330113,0.8540983606557377,"{'clf__C': 1, 'clf__gamma': 'scale'}",158.53
2,scale_only,38,671,0.6154031305019585,0.694704973094848,0.6751117734724292,"{'clf__C': 1, 'clf__gamma': 'scale'}",156.72
2,scale_only,27,694,0.8328764112597652,0.8284993068824698,0.9048991354466859,"{'clf__C': 1, 'clf__gamma': 'scale'}",159.07
2,scale_only,16,681,0.820295029830926,0.8342719780219781,0.882525697503671,"{'clf__C': 1, 'clf__gamma': 'scale'}",157.47
2,scale_only,39,693,0.7003390073778715,0.6936670274170275,0.86002886002886,"{'clf__C': 1, 'clf__gamma': 'scale'}",156.89
2,scale_only,28,700,0.7087453977023679,0.7150055304428673,0.8185714285714286,"{'clf__C': 1, 'clf__gamma': 'scale'}",155.8
2,scale_only,17,703,0.7746838523665716,0.7749190511385633,0.8605974395448079,"{'clf__C': 1, 'clf__gamma': 'scale'}",157.86
2,scale_only,29,736,0.7823247328941282,0.7834983761194567,0.8641304347826086,"{'clf__C': 1, 'clf__gamma': 'scale'}",159.52
2,scale_only,40,648,0.6658605401439626,0.6974946212899125,0.8040123456790124,"{'clf__C': 1, 'clf__gamma': 'scale'}",161.71
2,scale_only,18,640,0.7188622455714909,0.7352043305531677,0.8265625,"{'clf__C': 1, 'clf__gamma': 'scale'}",158.28
