model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,1,421,0.41330166270783847,0.4133610466184503,0.4169947444485596,"{'clf__C': 1, 'clf__gamma': 'scale'}",108.293654899986,1.2240550000569783,none,72
SVM,2,275,0.6872727272727273,0.674879244676509,0.686614626688606,"{'clf__C': 1, 'clf__gamma': 'scale'}",142.060079900024,1.0116364998975769,none,72
SVM,3,300,0.63,0.6628598411976635,0.6350906500121272,"{'clf__C': 1, 'clf__gamma': 'scale'}",173.0077525000088,1.44790849997662,none,72
SVM,4,305,0.6983606557377049,0.6761388746350154,0.685583638323594,"{'clf__C': 1, 'clf__gamma': 'scale'}",240.4132677000016,1.9011729999328963,none,72
SVM,5,452,0.6349557522123894,0.6788777260475374,0.6542181223229013,"{'clf__C': 1, 'clf__gamma': 'scale'}",300.23955609998666,2.3286605000612326,none,72
SVM,6,361,0.6094182825484764,0.6401694737280854,0.6201774892679206,"{'clf__C': 1, 'clf__gamma': 'scale'}",97.16011739999522,0.9344714999315329,none,72
SVM,7,356,0.5786516853932584,0.5281106897036101,0.5316599079230697,"{'clf__C': 1, 'clf__gamma': 'scale'}",93.19688919995679,0.8773405000101775,none,72
SVM,8,334,0.6946107784431138,0.6923340183577797,0.6952244299286535,"{'clf__C': 1, 'clf__gamma': 'scale'}",90.26329730002908,0.944133999873884,none,72
SVM,9,362,0.7154696132596685,0.7023405295636916,0.7140953644929253,"{'clf__C': 1, 'clf__gamma': 'scale'}",100.41479929996422,1.0105045000091195,none,72
SVM,10,268,0.6343283582089553,0.5746963562753037,0.5796814296814297,"{'clf__C': 1, 'clf__gamma': 'scale'}",138.9475228000083,1.370020000031218,none,72
SVM,11,295,0.8169491525423729,0.815943425378323,0.8192134975037891,"{'clf__C': 1, 'clf__gamma': 'scale'}",96.67296120000537,0.9261029999470338,none,72
SVM,12,271,0.6273062730627307,0.6605844155844156,0.6299360236332003,"{'clf__C': 1, 'clf__gamma': 'scale'}",131.24374549998902,1.304812500020489,none,72
SVM,13,359,0.7966573816155988,0.8085023509232354,0.8124196518075628,"{'clf__C': 1, 'clf__gamma': 'scale'}",92.91397930000676,0.9409150001010858,none,72
SVM,14,386,0.6217616580310881,0.6919548981815868,0.6498135677860459,"{'clf__C': 1, 'clf__gamma': 'scale'}",119.73186290002195,1.2685624998994172,none,72
SVM,15,273,0.706959706959707,0.7145808167281156,0.7056319742565483,"{'clf__C': 1, 'clf__gamma': 'scale'}",95.27857520000543,0.9347940000589006,none,72
SVM,16,348,0.735632183908046,0.7488858363858364,0.7413537167471158,"{'clf__C': 1, 'clf__gamma': 'scale'}",126.22307050001109,1.2623880000319332,none,72
SVM,17,375,0.712,0.7397278766020743,0.7319997456703717,"{'clf__C': 1, 'clf__gamma': 'scale'}",98.38626379997004,0.9707474999595433,none,72
SVM,18,326,0.696319018404908,0.7440605179704016,0.7229243388468438,"{'clf__C': 1, 'clf__gamma': 'scale'}",137.6988761999528,1.313380500068888,none,72
SVM,19,369,0.6856368563685636,0.6891385743229232,0.6867829536696266,"{'clf__C': 1, 'clf__gamma': 'scale'}",97.72729690000415,0.9584429999813437,none,72
SVM,20,296,0.6587837837837838,0.6720693998423167,0.6712460210596857,"{'clf__C': 1, 'clf__gamma': 'scale'}",132.6414443999529,1.346612999914214,none,72
SVM,21,298,0.7114093959731543,0.7285140761300555,0.7394143941642988,"{'clf__C': 1, 'clf__gamma': 'scale'}",97.25898179999785,0.9476775000803173,none,72
