model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
RF,1,421,0.5463182897862233,0.5404458066779135,0.5382286721291973,"{'clf__max_depth': None, 'clf__n_estimators': 400}",724.6397883000318,0.2173609999590553,none,72
RF,2,275,0.7418181818181818,0.7368392205959378,0.7545565798642787,"{'clf__max_depth': None, 'clf__n_estimators': 500}",834.5686807000311,0.3059984999708831,none,72
RF,3,300,0.7033333333333334,0.7216342958695787,0.6938823706138029,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1052.3613516000332,0.2902809999068267,none,72
RF,4,305,0.6622950819672131,0.6412430195431771,0.6479421695084211,"{'clf__max_depth': None, 'clf__n_estimators': 200}",1087.3665628000165,0.1240925001911819,none,72
RF,5,452,0.6216814159292036,0.5938107489994282,0.6154572263320546,"{'clf__max_depth': None, 'clf__n_estimators': 500}",190.3247039000271,0.4254009999567643,none,72
RF,6,361,0.6620498614958449,0.6944248329549971,0.6706460899174788,"{'clf__max_depth': None, 'clf__n_estimators': 500}",186.818715100002,0.4131604998838156,none,72
RF,7,356,0.6207865168539326,0.586999578592499,0.5742791663960395,"{'clf__max_depth': None, 'clf__n_estimators': 500}",187.24415620003128,0.4153595000389032,none,72
RF,8,334,0.688622754491018,0.6736114576357246,0.6696808770795877,"{'clf__max_depth': None, 'clf__n_estimators': 500}",190.85277160000987,0.4138010001042858,none,72
RF,9,362,0.7596685082872928,0.772248526251454,0.7658336387732319,"{'clf__max_depth': None, 'clf__n_estimators': 400}",246.4437906999956,0.4221400001551956,none,72
RF,10,268,0.5746268656716418,0.5211747317010476,0.519806659335382,"{'clf__max_depth': None, 'clf__n_estimators': 200}",182.3595798999886,0.2043644999503158,none,72
RF,11,295,0.7864406779661017,0.7620397035218582,0.7755138181658684,"{'clf__max_depth': None, 'clf__n_estimators': 500}",238.6526950999978,0.4583020001882687,none,72
RF,12,271,0.6568265682656826,0.6756006493506493,0.6518939893006072,"{'clf__max_depth': None, 'clf__n_estimators': 200}",182.52399100002367,0.1989065000088885,none,72
RF,13,359,0.7827298050139275,0.7817245969812715,0.7939597678452269,"{'clf__max_depth': None, 'clf__n_estimators': 200}",226.5388399999938,0.2474970000912435,none,72
RF,14,386,0.6632124352331606,0.703064803303096,0.6847195856220735,"{'clf__max_depth': None, 'clf__n_estimators': 400}",185.06450290000063,0.314366000238806,none,72
RF,15,273,0.6703296703296703,0.658949048154256,0.6725731093156485,"{'clf__max_depth': None, 'clf__n_estimators': 500}",235.9342838000157,0.4668919998221099,none,72
RF,16,348,0.7959770114942529,0.7945741758241758,0.7937989964881695,"{'clf__max_depth': None, 'clf__n_estimators': 500}",191.2898717999924,0.4763464999268763,none,72
RF,17,375,0.7466666666666667,0.7637100882287019,0.7691459438127051,"{'clf__max_depth': None, 'clf__n_estimators': 400}",247.86298170004736,0.419786499987822,none,72
RF,18,326,0.7361963190184049,0.7609328752642707,0.7526516202244358,"{'clf__max_depth': None, 'clf__n_estimators': 400}",188.51460649998623,0.3713055001571774,none,72
RF,19,369,0.7127371273712737,0.7111288900214096,0.7084936785324037,"{'clf__max_depth': None, 'clf__n_estimators': 500}",245.08117340004537,0.4642424997291527,none,72
RF,20,296,0.7297297297297297,0.7307597638597773,0.7377375873740711,"{'clf__max_depth': None, 'clf__n_estimators': 400}",188.79515620000893,0.3656244999729097,none,72
RF,21,298,0.697986577181208,0.7069199378799894,0.7252610775868096,"{'clf__max_depth': None, 'clf__n_estimators': 500}",244.0283602999989,0.4583764998824335,none,72
RF,22,415,0.636144578313253,0.6464655969111606,0.6407487650512048,"{'clf__max_depth': None, 'clf__n_estimators': 500}",188.4439174999716,0.4170949998660944,none,72
RF,23,426,0.7112676056338029,0.7556988062654932,0.7506644133007623,"{'clf__max_depth': None, 'clf__n_estimators': 500}",188.9877847000025,0.4246045000036247,none,72
RF,24,308,0.6331168831168831,0.6409957795827361,0.6166788394139533,"{'clf__max_depth': None, 'clf__n_estimators': 500}",190.25053419999315,0.4140639997785911,none,72
RF,25,290,0.7551724137931034,0.749296761071456,0.7575808772178552,"{'clf__max_depth': None, 'clf__n_estimators': 500}",242.34962460002865,0.475637000054121,none,72
RF,26,434,0.6382488479262672,0.6347955714602156,0.6512148387459329,"{'clf__max_depth': None, 'clf__n_estimators': 500}",188.42020419996695,0.4241640001419,none,72
RF,27,327,0.7584097859327217,0.7925718674566601,0.7791067828591747,"{'clf__max_depth': None, 'clf__n_estimators': 400}",242.29669510002716,0.4263709997758269,none,72
RF,28,362,0.7209944751381215,0.7474379786879787,0.723660476267461,"{'clf__max_depth': None, 'clf__n_estimators': 500}",189.0293770999997,0.4203410001355223,none,72
RF,29,385,0.7480519480519481,0.7506602221730456,0.7400657016565607,"{'clf__max_depth': None, 'clf__n_estimators': 500}",242.3434170000255,0.4600259999278933,none,72
RF,30,296,0.7094594594594594,0.7126217278656303,0.6954526491447642,"{'clf__max_depth': None, 'clf__n_estimators': 200}",182.65587880002568,0.2006809998420067,none,72
RF,31,380,0.5815789473684211,0.6631683033278778,0.6223584905660378,"{'clf__max_depth': None, 'clf__n_estimators': 400}",232.75692930002697,0.4085555000347085,none,72
RF,32,346,0.6936416184971098,0.714174166476798,0.7292178177340595,"{'clf__max_depth': None, 'clf__n_estimators': 400}",186.11484920000655,0.3648079998674802,none,72
RF,33,343,0.7842565597667639,0.8010102843315183,0.803795890515538,"{'clf__max_depth': None, 'clf__n_estimators': 500}",246.79360640002412,0.4773074999684468,none,72
RF,34,297,0.7407407407407407,0.7397107641133376,0.7248478532961292,"{'clf__max_depth': None, 'clf__n_estimators': 400}",187.26314479997384,0.3736829999252222,none,72
RF,35,471,0.6008492569002123,0.6507312413110886,0.6067049095910235,"{'clf__max_depth': None, 'clf__n_estimators': 500}",238.5675953999744,0.4725830000825226,none,72
RF,36,373,0.6702412868632708,0.7379063238770687,0.6944548688658636,"{'clf__max_depth': None, 'clf__n_estimators': 400}",185.92225329997015,0.3661529999226331,none,72
RF,37,310,0.8129032258064516,0.831499254574485,0.8168965374847728,"{'clf__max_depth': None, 'clf__n_estimators': 500}",242.3994829999865,0.4558304999954998,none,72
RF,38,274,0.6715328467153284,0.6562193199605827,0.6701256818331701,"{'clf__max_depth': None, 'clf__n_estimators': 500}",188.310487699986,0.4166785001871176,none,72
RF,39,297,0.7171717171717171,0.7256944444444444,0.7154568796817766,"{'clf__max_depth': None, 'clf__n_estimators': 500}",189.26003840001067,0.4216830001678318,none,72
RF,40,279,0.6917562724014337,0.6889328808446455,0.705078008274911,"{'clf__max_depth': None, 'clf__n_estimators': 400}",187.8960486999713,0.3642874999786727,none,72
