model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
SVM,1,421,0.5985748218527316,0.5940095597610338,0.5980476570876532,"{'clf__C': 5, 'clf__gamma': 'scale'}",62.62822569999844,0.5750695001916029,none,72
SVM,2,275,0.8327272727272728,0.8484872276396458,0.8427064829014235,"{'clf__C': 1, 'clf__gamma': 'scale'}",69.18941480002832,0.6505589999142103,none,72
SVM,3,300,0.7633333333333333,0.8038308283354454,0.7729462395975428,"{'clf__C': 1, 'clf__gamma': 'scale'}",83.50151079997886,0.7543710002209991,none,72
SVM,4,305,0.7475409836065574,0.7259945722300913,0.7359903322754523,"{'clf__C': 1, 'clf__gamma': 'scale'}",99.01317480002763,0.8185729998513125,none,72
SVM,5,452,0.668141592920354,0.7031385281385281,0.6909192945841841,"{'clf__C': 1, 'clf__gamma': 'scale'}",101.25472630001605,0.8437190001131967,none,72
SVM,6,361,0.7202216066481995,0.7394935185897683,0.7310139207198032,"{'clf__C': 1, 'clf__gamma': 'scale'}",127.89685259998078,1.031304500065744,none,72
SVM,7,356,0.7219101123595506,0.7240946762185702,0.7223113037197544,"{'clf__C': 1, 'clf__gamma': 'scale'}",143.25747120002052,1.3410934997955337,none,72
SVM,8,334,0.7425149700598802,0.7555223803833511,0.7525926941693852,"{'clf__C': 1, 'clf__gamma': 'scale'}",79.68464480002876,0.7488294999348,none,72
SVM,9,362,0.7071823204419889,0.6783639419569804,0.6858889736483097,"{'clf__C': 5, 'clf__gamma': 'scale'}",95.11704099999042,0.9278249999624677,none,72
SVM,10,268,0.7126865671641791,0.719759735878157,0.7154205851525282,"{'clf__C': 1, 'clf__gamma': 'scale'}",115.48767649999354,1.3223779998952523,none,72
SVM,11,295,0.8610169491525423,0.8642159723950867,0.8592187918535223,"{'clf__C': 1, 'clf__gamma': 'scale'}",131.1790349999792,1.4906825000070967,none,72
SVM,12,271,0.7859778597785978,0.8027922077922077,0.7863322773210452,"{'clf__C': 1, 'clf__gamma': 'scale'}",142.86763450002763,1.7378405001363717,none,72
