model,heldout_subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window,feat_sel,n_features_used
RF,1,421,0.5463182897862233,0.5136101321217993,0.518947482928364,"{'clf__max_depth': None, 'clf__n_estimators': 500}",626.7121309999493,0.2528659999370575,none,72
RF,2,275,0.7963636363636364,0.8074451331656999,0.8095130239793152,"{'clf__max_depth': None, 'clf__n_estimators': 500}",665.1640014000004,0.2668965002521872,none,72
RF,3,300,0.7733333333333333,0.8049180763445866,0.7764142701445264,"{'clf__max_depth': None, 'clf__n_estimators': 400}",727.3001205000328,0.2230349997989833,none,72
RF,4,305,0.7573770491803279,0.7362456936223835,0.7457946815089672,"{'clf__max_depth': None, 'clf__n_estimators': 500}",788.3515259999549,0.2858834998914972,none,72
RF,5,452,0.6769911504424779,0.6609613656783468,0.678805336270706,"{'clf__max_depth': None, 'clf__n_estimators': 400}",803.4598074000096,0.2168250002432614,none,72
RF,6,361,0.7340720221606648,0.759685604311749,0.7554997684544981,"{'clf__max_depth': None, 'clf__n_estimators': 500}",922.5499830000336,0.2562030000262894,none,72
RF,7,356,0.7387640449438202,0.7305731142014328,0.7363462549244061,"{'clf__max_depth': None, 'clf__n_estimators': 400}",141.7174651999958,0.3795705002266913,none,72
RF,8,334,0.7305389221556886,0.7444057795928373,0.7429619631058698,"{'clf__max_depth': None, 'clf__n_estimators': 400}",184.24118770001223,0.4260230000363663,none,72
RF,9,362,0.7983425414364641,0.8009322272825852,0.7944389687847494,"{'clf__max_depth': None, 'clf__n_estimators': 500}",272.3663445999846,0.5265820000204258,none,72
RF,10,268,0.7686567164179104,0.7656472913051859,0.7747785791656219,"{'clf__max_depth': None, 'clf__n_estimators': 500}",354.20507750002434,0.7321464997949079,none,72
RF,11,295,0.8610169491525423,0.851014798156239,0.8563209004850572,"{'clf__max_depth': None, 'clf__n_estimators': 400}",422.665495299967,0.5223599998862483,none,72
RF,12,271,0.8007380073800738,0.8044155844155844,0.8000035676308072,"{'clf__max_depth': None, 'clf__n_estimators': 500}",552.1404127000133,0.6526514998404309,none,72
RF,13,359,0.871866295264624,0.8830901569541916,0.8795954246234919,"{'clf__max_depth': None, 'clf__n_estimators': 500}",644.7762508000014,0.715321000025142,none,72
RF,14,386,0.7616580310880829,0.7639052656795093,0.7666246812572038,"{'clf__max_depth': None, 'clf__n_estimators': 500}",689.0156387000461,0.7630089999292977,none,72
RF,15,273,0.7765567765567766,0.7836458300508047,0.7766328666354683,"{'clf__max_depth': None, 'clf__n_estimators': 500}",796.2853619999951,0.8774469999480061,none,72
RF,16,348,0.7931034482758621,0.775389194139194,0.7856962092023448,"{'clf__max_depth': None, 'clf__n_estimators': 400}",134.52808700001333,0.3812150002340786,none,72
RF,17,375,0.7546666666666667,0.7723806467387982,0.7749772860279163,"{'clf__max_depth': None, 'clf__n_estimators': 500}",179.51778480003122,0.470884499954991,none,72
RF,18,326,0.7484662576687117,0.7657624207188161,0.7621934663528962,"{'clf__max_depth': None, 'clf__n_estimators': 500}",225.91220600000813,0.9692339997855016,none,72
RF,19,369,0.7506775067750677,0.7319514810623378,0.7387170829343181,"{'clf__max_depth': None, 'clf__n_estimators': 400}",240.77145320002452,0.357916499779094,none,72
RF,20,296,0.7972972972972973,0.7974501471068977,0.8102128692468872,"{'clf__max_depth': None, 'clf__n_estimators': 400}",218.18183939997107,0.3894595001474954,none,72
RF,21,298,0.7684563758389261,0.78045284826857,0.7923147671578381,"{'clf__max_depth': None, 'clf__n_estimators': 500}",204.7502505999873,0.4646549999597482,none,72
RF,22,415,0.7301204819277108,0.7426324600966212,0.7485058409805322,"{'clf__max_depth': None, 'clf__n_estimators': 400}",194.9731103999657,0.3636389999883249,none,72
RF,23,426,0.7300469483568075,0.7689685870383121,0.7558239776225875,"{'clf__max_depth': None, 'clf__n_estimators': 500}",202.71975250000835,0.4098250000970438,none,72
RF,24,308,0.75,0.7620298955702682,0.7530943577477777,"{'clf__max_depth': None, 'clf__n_estimators': 500}",232.53105769999087,0.4403970000566914,none,72
RF,25,290,0.803448275862069,0.81117123340241,0.810347063887772,"{'clf__max_depth': None, 'clf__n_estimators': 500}",204.53907329996585,0.4148144999635406,none,72
RF,26,434,0.7096774193548387,0.7206896874926909,0.7274025352761703,"{'clf__max_depth': None, 'clf__n_estimators': 500}",208.741755999974,0.4625299997860566,none,72
RF,27,327,0.8195718654434251,0.843180820715383,0.8328388339587134,"{'clf__max_depth': None, 'clf__n_estimators': 400}",205.28029190003872,0.3597990001435391,none,72
RF,28,362,0.7569060773480663,0.7337058774558775,0.7538941998254511,"{'clf__max_depth': None, 'clf__n_estimators': 500}",237.15751059999457,0.4881244999705814,none,72
RF,29,385,0.7792207792207793,0.7886828879262324,0.7887166898255364,"{'clf__max_depth': None, 'clf__n_estimators': 200}",196.48521189996973,0.1961560000199824,none,72
RF,30,296,0.8040540540540541,0.8201927282937735,0.8072355405172743,"{'clf__max_depth': None, 'clf__n_estimators': 500}",236.2371920000296,0.4455039999447763,none,72
RF,31,380,0.6894736842105263,0.7286944217130387,0.7184863315145709,"{'clf__max_depth': None, 'clf__n_estimators': 500}",209.44648159999636,0.4134570001042448,none,72
RF,32,346,0.7456647398843931,0.761693533075112,0.764426067996651,"{'clf__max_depth': None, 'clf__n_estimators': 500}",240.859033500019,0.4367939999792725,none,72
RF,33,343,0.8309037900874635,0.836497277676951,0.8393532947232214,"{'clf__max_depth': None, 'clf__n_estimators': 500}",212.6963756000041,0.416399999812711,none,72
RF,34,297,0.8282828282828283,0.818039451357466,0.8163143286447682,"{'clf__max_depth': None, 'clf__n_estimators': 500}",244.3789373000036,0.4456365000805817,none,72
RF,35,471,0.6050955414012739,0.6791051665761203,0.6135571826130819,"{'clf__max_depth': None, 'clf__n_estimators': 200}",198.57199100003345,0.1888405001955106,none,72
RF,36,373,0.6729222520107239,0.7318705673758865,0.6989802303929814,"{'clf__max_depth': None, 'clf__n_estimators': 500}",232.9632156000007,0.4317215000628494,none,72
RF,37,310,0.8741935483870967,0.8847227608444628,0.8808906857937683,"{'clf__max_depth': None, 'clf__n_estimators': 500}",212.35956889996305,0.4154950001975521,none,72
RF,38,274,0.7627737226277372,0.775486338837925,0.7623689557692428,"{'clf__max_depth': None, 'clf__n_estimators': 500}",238.58910350000951,0.5031245001009665,none,72
RF,39,297,0.7239057239057239,0.7196669071669073,0.7124145622582307,"{'clf__max_depth': None, 'clf__n_estimators': 500}",210.96886729996183,0.4082255001412704,none,72
RF,40,279,0.7670250896057348,0.7762089932126697,0.7634475925457458,"{'clf__max_depth': None, 'clf__n_estimators': 500}",215.65630619996227,0.4093119999743067,none,72
