config,model,sd_old_pooled,sd_new_blocked,delta_pp,guard_frac_pct,x_flags
freq72_w250,SVM,93.67,88.83,-4.83,8.2,0
freq72_w250,RF,91.98,87.99,-3.98,8.2,0
freq72_w250,LDA,89.85,84.57,-5.27,8.2,0
base_w250,SVM,92.26,88.01,-4.25,8.2,0
base_w250,RF,91.04,87.39,-3.65,8.2,0
ext_w250,SVM,91.61,85.93,-5.67,8.2,0
ext_w250,RF,91.59,87.95,-3.65,8.2,0
freq72_w150,SVM,92.44,86.54,-5.9,5.6,0
freq72_w150,RF,91.44,87.2,-4.24,5.6,0
freq72_w150,LDA,86.27,81.4,-4.86,5.6,0
base_w150,SVM,90.62,85.93,-4.69,5.6,0
base_w150,RF,90.88,87.05,-3.83,5.6,0
ext_w150,SVM,90.11,84.02,-6.09,5.6,0
ext_w150,RF,91.3,87.35,-3.95,5.6,0
cnn_w250,CNN,89.87,85.91,-3.96,8.2,0
