subject,SVM_old,SVM_new,RF_old,RF_new
1,0.93454,0.90694,0.93404,0.89643
2,0.92681,0.89816,0.91289,0.87747
3,0.9315,0.89194,0.92265,0.86919
4,0.95831,0.91366,0.95302,0.86607
5,0.87603,0.81843,0.87019,0.82796
6,0.87799,0.82349,0.8681,0.80487
7,0.93784,0.93803,0.94388,0.9404
8,0.93399,0.89713,0.89752,0.83998
9,0.92238,0.87985,0.8959,0.85923
10,0.93078,0.89295,0.87241,0.82785
11,0.94395,0.91585,0.92297,0.87198
12,0.95626,0.91537,0.92011,0.8849
13,0.93757,0.88581,0.91796,0.91117
14,0.94272,0.89225,0.89851,0.87275
15,0.91366,0.89829,0.90295,0.87707
16,0.89838,0.84988,0.91646,0.88835
17,0.9209,0.84649,0.89742,0.864
18,0.89126,0.87088,0.90848,0.87649
19,0.89923,0.84931,0.91839,0.87918
20,0.91675,0.85521,0.89382,0.83582
21,0.93403,0.90023,0.91128,0.89585
22,0.88626,0.83708,0.88705,0.85048
23,0.95115,0.90673,0.93832,0.92386
24,0.93961,0.9129,0.94918,0.91315
25,0.90545,0.86006,0.88424,0.88746
26,0.87035,0.83645,0.88175,0.80686
27,0.96888,0.91873,0.94461,0.91822
28,0.9078,0.8649,0.91001,0.9105
29,0.9011,0.84106,0.88005,0.80771
30,0.95841,0.89798,0.95419,0.92497
31,0.88482,0.85465,0.84894,0.80067
32,0.92889,0.85665,0.88831,0.82245
33,0.97901,0.96993,0.96036,0.93832
34,0.93491,0.91166,0.9285,0.89618
35,0.88135,0.78044,0.87638,0.79895
36,0.8777,0.83911,0.88066,0.85098
37,0.92513,0.86741,0.92084,0.89625
38,0.92025,0.89184,0.93544,0.92994
39,0.9444,0.8948,0.92775,0.91154
40,0.95368,0.92088,0.94038,0.90109
