subject,CNN_old,CNN_new
1,0.95071,0.92318
2,0.86396,0.82921
3,0.92595,0.92807
4,0.96736,0.92217
5,0.87523,0.83132
6,0.80682,0.70548
7,0.9651,0.95315
8,0.90187,0.8984
9,0.91921,0.87645
10,0.92428,0.90579
11,0.93857,0.89799
12,0.94055,0.85769
13,0.90419,0.89052
14,0.90668,0.91191
15,0.93125,0.88659
16,0.89399,0.85123
17,0.92553,0.86284
18,0.89037,0.84891
19,0.92698,0.88879
20,0.85118,0.7619
21,0.96301,0.95189
22,0.88912,0.85424
23,0.731,0.72112
24,0.93851,0.90094
25,0.90702,0.83156
26,0.80345,0.76131
27,0.96484,0.93767
28,0.95747,0.88184
29,0.82194,0.75087
30,0.95024,0.91675
31,0.73736,0.74546
32,0.80189,0.764
33,0.96839,0.97339
34,0.95782,0.91471
35,0.73712,0.72361
36,0.88735,0.81449
37,0.85808,0.83278
38,0.9543,0.90976
39,0.95852,0.87623
40,0.94904,0.86908
