subject,SVM_old,SVM_new,RF_old,RF_new
1,0.94878,0.88478,0.93274,0.90309
2,0.92916,0.90758,0.9309,0.88319
3,0.935,0.85807,0.92643,0.8628
4,0.95832,0.92285,0.9385,0.88732
5,0.88268,0.79595,0.88104,0.82051
6,0.90632,0.81479,0.86941,0.82089
7,0.93617,0.92074,0.95308,0.94946
8,0.92433,0.86174,0.90412,0.84626
9,0.91444,0.85807,0.90441,0.87892
10,0.92828,0.8492,0.86351,0.85664
11,0.92688,0.90583,0.92007,0.8828
12,0.94533,0.91723,0.93377,0.89171
13,0.92781,0.87225,0.9282,0.90459
14,0.91216,0.85542,0.89805,0.86107
15,0.90504,0.88095,0.90497,0.89122
16,0.87598,0.83849,0.92111,0.89888
17,0.91319,0.8306,0.89333,0.84702
18,0.89276,0.83526,0.90471,0.88493
19,0.87331,0.81246,0.91905,0.87087
20,0.8734,0.8086,0.89843,0.83193
21,0.92077,0.87837,0.92433,0.88616
22,0.8877,0.85355,0.89817,0.85881
23,0.94466,0.88221,0.94128,0.93834
24,0.94012,0.91242,0.94827,0.91129
25,0.90172,0.87039,0.90303,0.88915
26,0.85935,0.80577,0.89701,0.83348
27,0.96362,0.92764,0.94788,0.91059
28,0.90008,0.8183,0.92909,0.9148
29,0.88736,0.80212,0.89923,0.81895
30,0.94641,0.86146,0.96447,0.92081
31,0.87975,0.81774,0.85886,0.80642
32,0.92259,0.80087,0.89223,0.83867
33,0.975,0.96517,0.95635,0.94887
34,0.92681,0.88921,0.93227,0.91179
35,0.87377,0.72996,0.87785,0.7993
36,0.86284,0.79239,0.88468,0.84396
37,0.90911,0.83191,0.93019,0.89159
38,0.92018,0.87892,0.94354,0.93011
39,0.94338,0.89306,0.94951,0.93332
40,0.96848,0.93111,0.93272,0.91759
