subject,SVM_old,SVM_new,RF_old,RF_new,LDA_old,LDA_new
1,0.95814,0.90838,0.93239,0.89733,0.94749,0.91612
2,0.9543,0.94813,0.93398,0.86002,0.95462,0.91823
3,0.9404,0.91422,0.90632,0.87209,0.91827,0.86809
4,0.9614,0.92263,0.94756,0.87114,0.90693,0.84734
5,0.89319,0.81892,0.87787,0.81394,0.81437,0.78039
6,0.92046,0.86307,0.89126,0.82849,0.84765,0.80765
7,0.95529,0.94721,0.94889,0.94661,0.93881,0.90793
8,0.92679,0.89326,0.91447,0.82408,0.91723,0.83192
9,0.9386,0.90725,0.90182,0.87191,0.92599,0.90128
10,0.93507,0.88195,0.89655,0.8639,0.9252,0.85243
11,0.95411,0.90026,0.93385,0.87902,0.89808,0.86237
12,0.95575,0.90749,0.91988,0.88909,0.92282,0.86184
13,0.94615,0.91161,0.91737,0.91618,0.88227,0.86832
14,0.94653,0.92162,0.92892,0.88684,0.87633,0.80758
15,0.9203,0.89378,0.91414,0.8977,0.89798,0.87311
16,0.90982,0.88997,0.90785,0.89369,0.88632,0.86113
17,0.92305,0.84023,0.90894,0.83655,0.82737,0.75565
18,0.91482,0.8792,0.91506,0.87573,0.87336,0.85675
19,0.92292,0.87157,0.93485,0.87357,0.88678,0.83905
20,0.91488,0.84337,0.89966,0.86865,0.8436,0.75125
21,0.93784,0.90686,0.91931,0.88911,0.89522,0.83312
22,0.93697,0.8694,0.90328,0.85414,0.86069,0.7687
23,0.96954,0.9154,0.95055,0.93837,0.94251,0.89785
24,0.96623,0.91836,0.94462,0.93085,0.94854,0.92457
25,0.93486,0.90412,0.90169,0.89605,0.88632,0.78225
26,0.9132,0.82481,0.89009,0.80872,0.8459,0.77409
27,0.96882,0.94087,0.94442,0.91743,0.92249,0.86913
28,0.91827,0.86443,0.93948,0.92318,0.8965,0.88861
29,0.92129,0.84719,0.90292,0.83168,0.84402,0.75741
30,0.95709,0.89733,0.94965,0.92525,0.9511,0.87446
31,0.88608,0.83014,0.8546,0.80683,0.86535,0.77994
32,0.94629,0.85526,0.90363,0.84007,0.87282,0.81016
33,0.98373,0.97715,0.96055,0.93801,0.97972,0.95978
34,0.94124,0.89874,0.93191,0.89472,0.94557,0.81838
35,0.89766,0.76635,0.87159,0.79852,0.81889,0.75133
36,0.90348,0.85193,0.90315,0.85634,0.87736,0.822
37,0.93427,0.87144,0.93073,0.9092,0.91859,0.88418
38,0.94678,0.92616,0.93533,0.93067,0.92833,0.90383
39,0.94877,0.88508,0.9571,0.93079,0.8855,0.84175
40,0.96177,0.91863,0.96411,0.9109,0.96115,0.91897
