subject,model,mode,f1_incl,f1_excl,buf_n
1,SVM,mixed100,0.656682,0.664164,100
1,SVM_PROBA,mixed100,0.648316,0.64962,100
1,RESNET_SE,mixed100,0.683598,0.668356,100
1,soft,mixed100,0.678583,0.677081,100
2,SVM,mixed100,0.751938,0.757341,100
2,SVM_PROBA,mixed100,0.696471,0.693237,100
2,RESNET_SE,mixed100,0.787892,0.762856,100
2,soft,mixed100,0.812632,0.787815,100
3,SVM,mixed100,0.815302,0.801994,100
3,SVM_PROBA,mixed100,0.770961,0.757098,100
3,RESNET_SE,mixed100,0.882309,0.889954,100
3,soft,mixed100,0.884383,0.890353,100
4,SVM,mixed100,0.734848,0.745038,100
4,SVM_PROBA,mixed100,0.718824,0.726417,100
4,RESNET_SE,mixed100,0.874829,0.86474,100
4,soft,mixed100,0.860921,0.867128,100
5,SVM,mixed100,0.707793,0.730337,100
5,SVM_PROBA,mixed100,0.68455,0.705295,100
5,RESNET_SE,mixed100,0.7003,0.704286,100
5,soft,mixed100,0.730933,0.743784,100
6,SVM,mixed100,0.689192,0.697983,100
6,SVM_PROBA,mixed100,0.620617,0.62048,100
6,RESNET_SE,mixed100,0.761408,0.736112,100
6,soft,mixed100,0.737882,0.725964,100
7,SVM,mixed100,0.741789,0.717912,100
7,SVM_PROBA,mixed100,0.712802,0.699774,100
7,RESNET_SE,mixed100,0.568067,0.545622,100
7,soft,mixed100,0.751474,0.745306,100
8,SVM,mixed100,0.726215,0.746396,100
8,SVM_PROBA,mixed100,0.695205,0.725774,100
8,RESNET_SE,mixed100,0.777074,0.753707,100
8,soft,mixed100,0.832484,0.844576,100
9,SVM,mixed100,0.743076,0.740638,100
9,SVM_PROBA,mixed100,0.710296,0.700186,100
9,RESNET_SE,mixed100,0.805964,0.796763,100
9,soft,mixed100,0.806679,0.804218,100
10,SVM,mixed100,0.650245,0.689953,100
10,SVM_PROBA,mixed100,0.63832,0.68243,100
10,RESNET_SE,mixed100,0.796045,0.801243,100
10,soft,mixed100,0.739705,0.761974,100
11,SVM,mixed100,0.848141,0.856588,100
11,SVM_PROBA,mixed100,0.820832,0.841238,100
11,RESNET_SE,mixed100,0.918168,0.921548,100
11,soft,mixed100,0.932487,0.935942,100
12,SVM,mixed100,0.826521,0.86471,100
12,SVM_PROBA,mixed100,0.801752,0.840326,100
12,RESNET_SE,mixed100,0.914982,0.901518,100
12,soft,mixed100,0.888409,0.883164,100
13,SVM,mixed100,0.844484,0.849402,100
13,SVM_PROBA,mixed100,0.815706,0.817134,100
13,RESNET_SE,mixed100,0.860089,0.850255,100
13,soft,mixed100,0.892693,0.890157,100
14,SVM,mixed100,0.747323,0.761345,100
14,SVM_PROBA,mixed100,0.735776,0.747125,100
14,RESNET_SE,mixed100,0.832583,0.849499,100
14,soft,mixed100,0.813336,0.825872,100
15,SVM,mixed100,0.805748,0.800306,100
15,SVM_PROBA,mixed100,0.783576,0.786779,100
15,RESNET_SE,mixed100,0.844416,0.847709,100
15,soft,mixed100,0.888905,0.889247,100
16,SVM,mixed100,0.813072,0.807214,100
16,SVM_PROBA,mixed100,0.807742,0.804314,100
16,RESNET_SE,mixed100,0.857413,0.842459,100
16,soft,mixed100,0.876298,0.868445,100
17,SVM,mixed100,0.798167,0.798075,100
17,SVM_PROBA,mixed100,0.787619,0.77828,100
17,RESNET_SE,mixed100,0.783765,0.771535,100
17,soft,mixed100,0.808324,0.78643,100
18,SVM,mixed100,0.776237,0.783054,100
18,SVM_PROBA,mixed100,0.759392,0.766216,100
18,RESNET_SE,mixed100,0.848907,0.817844,100
18,soft,mixed100,0.834532,0.81791,100
19,SVM,mixed100,0.758892,0.765397,100
19,SVM_PROBA,mixed100,0.735038,0.746795,100
19,RESNET_SE,mixed100,0.835724,0.826429,100
19,soft,mixed100,0.80775,0.809526,100
20,SVM,mixed100,0.677093,0.648242,100
20,SVM_PROBA,mixed100,0.662106,0.639398,100
20,RESNET_SE,mixed100,0.775528,0.768422,100
20,soft,mixed100,0.742083,0.729172,100
21,SVM,mixed100,0.744594,0.745095,100
21,SVM_PROBA,mixed100,0.719945,0.737557,100
21,RESNET_SE,mixed100,0.816207,0.830822,100
21,soft,mixed100,0.796187,0.811917,100
22,SVM,mixed100,0.705445,0.695727,100
22,SVM_PROBA,mixed100,0.679388,0.664751,100
22,RESNET_SE,mixed100,0.780085,0.78114,100
22,soft,mixed100,0.786273,0.784596,100
23,SVM,mixed100,0.669418,0.670825,100
23,SVM_PROBA,mixed100,0.687064,0.697081,100
23,RESNET_SE,mixed100,0.814356,0.816752,100
23,soft,mixed100,0.834279,0.84492,100
24,SVM,mixed100,0.687494,0.67112,100
24,SVM_PROBA,mixed100,0.655925,0.630797,100
24,RESNET_SE,mixed100,0.827817,0.819028,100
24,soft,mixed100,0.796376,0.781336,100
25,SVM,mixed100,0.780742,0.788593,100
25,SVM_PROBA,mixed100,0.792857,0.800404,100
25,RESNET_SE,mixed100,0.881662,0.883697,100
25,soft,mixed100,0.899575,0.897476,100
26,SVM,mixed100,0.713763,0.710014,100
26,SVM_PROBA,mixed100,0.714965,0.720913,100
26,RESNET_SE,mixed100,0.770866,0.760154,100
26,soft,mixed100,0.780672,0.770463,100
27,SVM,mixed100,0.832971,0.830147,100
27,SVM_PROBA,mixed100,0.806552,0.810574,100
27,RESNET_SE,mixed100,0.902548,0.911288,100
27,soft,mixed100,0.920012,0.932914,100
28,SVM,mixed100,0.760185,0.755511,100
28,SVM_PROBA,mixed100,0.737514,0.735114,100
28,RESNET_SE,mixed100,0.813541,0.794462,100
28,soft,mixed100,0.843629,0.838667,100
29,SVM,mixed100,0.768265,0.78278,100
29,SVM_PROBA,mixed100,0.742643,0.759822,100
29,RESNET_SE,mixed100,0.866963,0.879344,100
29,soft,mixed100,0.832944,0.84198,100
30,SVM,mixed100,0.760777,0.736634,100
30,SVM_PROBA,mixed100,0.764977,0.742348,100
30,RESNET_SE,mixed100,0.849105,0.834668,100
30,soft,mixed100,0.851037,0.838375,100
31,SVM,mixed100,0.668762,0.667371,100
31,SVM_PROBA,mixed100,0.661555,0.663305,100
31,RESNET_SE,mixed100,0.738733,0.732934,100
31,soft,mixed100,0.745289,0.759008,100
32,SVM,mixed100,0.766478,0.772922,100
32,SVM_PROBA,mixed100,0.744773,0.765466,100
32,RESNET_SE,mixed100,0.821213,0.831578,100
32,soft,mixed100,0.844897,0.849255,100
33,SVM,mixed100,0.74278,0.759876,100
33,SVM_PROBA,mixed100,0.726749,0.752025,100
33,RESNET_SE,mixed100,0.823275,0.822245,100
33,soft,mixed100,0.833551,0.837366,100
34,SVM,mixed100,0.833158,0.842702,100
34,SVM_PROBA,mixed100,0.819338,0.82823,100
34,RESNET_SE,mixed100,0.872343,0.890705,100
34,soft,mixed100,0.893315,0.90619,100
35,SVM,mixed100,0.726082,0.708203,100
35,SVM_PROBA,mixed100,0.716291,0.703168,100
35,RESNET_SE,mixed100,0.715355,0.694953,100
35,soft,mixed100,0.762611,0.745435,100
36,SVM,mixed100,0.653901,0.651248,100
36,SVM_PROBA,mixed100,0.645228,0.647893,100
36,RESNET_SE,mixed100,0.528444,0.521392,100
36,soft,mixed100,0.696441,0.695505,100
37,SVM,mixed100,0.727505,0.750952,100
37,SVM_PROBA,mixed100,0.719264,0.753535,100
