model,mode,f1_incl_mean,f1_incl_sd,f1_excl_mean,f1_excl_sd,n,buf_n_mean
RESNET_SE,balanced25,0.7988,0.0882,0.7909,0.0949,40,100.0
RESNET_SE,mixed100,0.7999,0.0841,0.7937,0.0907,40,100.0
RESNET_SE,single_DNS,0.7027,0.1006,0.5864,0.0912,40,91.65
RESNET_SE,single_STDUP,0.3129,0.0899,0.3198,0.0955,40,100.0
RESNET_SE,single_UPS,0.548,0.1199,0.536,0.131,40,97.4
RESNET_SE,single_WAK,0.6345,0.1163,0.4999,0.115,40,76.05
SVM,balanced25,0.7435,0.0555,0.7472,0.0561,40,100.0
SVM,mixed100,0.7449,0.0558,0.7476,0.0582,40,100.0
SVM,single_DNS,0.5944,0.1024,0.5302,0.1274,40,91.65
SVM,single_STDUP,0.3462,0.0717,0.3494,0.0826,40,100.0
SVM,single_UPS,0.4461,0.0877,0.432,0.098,40,97.4
SVM,single_WAK,0.5614,0.0854,0.4821,0.1016,40,76.05
SVM_PROBA,balanced25,0.7237,0.0567,0.7286,0.0586,40,100.0
SVM_PROBA,mixed100,0.7267,0.0549,0.7319,0.0582,40,100.0
SVM_PROBA,single_DNS,0.6053,0.0728,0.558,0.1023,40,91.65
SVM_PROBA,single_STDUP,0.3595,0.0713,0.3615,0.0796,40,100.0
SVM_PROBA,single_UPS,0.4434,0.0759,0.418,0.0903,40,97.4
SVM_PROBA,single_WAK,0.5468,0.0717,0.5103,0.1056,40,76.05
soft,balanced25,0.8169,0.0621,0.8152,0.0635,40,100.0
soft,mixed100,0.8169,0.0611,0.8171,0.0626,40,100.0
soft,single_DNS,0.7203,0.0853,0.6125,0.0934,40,91.65
soft,single_STDUP,0.3626,0.0768,0.3669,0.0865,40,100.0
soft,single_UPS,0.5255,0.1051,0.5145,0.1222,40,97.4
soft,single_WAK,0.6471,0.1026,0.5631,0.1418,40,76.05
