model,mode,n,mean_delta_vs_mixed,wilcoxon_p
SVM,single_WAK,40,-0.2655,0.0
SVM,single_UPS,40,-0.3156,0.0
SVM,single_DNS,40,-0.2175,0.0
SVM,single_STDUP,40,-0.3983,0.0
SVM,balanced25,40,-0.0005,0.50137
SVM_PROBA,single_WAK,40,-0.2216,0.0
SVM_PROBA,single_UPS,40,-0.3139,0.0
SVM_PROBA,single_DNS,40,-0.174,0.0
SVM_PROBA,single_STDUP,40,-0.3704,0.0
SVM_PROBA,balanced25,40,-0.0034,0.10581
RESNET_SE,single_WAK,40,-0.2938,0.0
RESNET_SE,single_UPS,40,-0.2577,0.0
RESNET_SE,single_DNS,40,-0.2074,0.0
RESNET_SE,single_STDUP,40,-0.4739,0.0
RESNET_SE,balanced25,40,-0.0028,0.1659
soft,single_WAK,40,-0.254,0.0
soft,single_UPS,40,-0.3026,0.0
soft,single_DNS,40,-0.2046,0.0
soft,single_STDUP,40,-0.4502,0.0
soft,balanced25,40,-0.0019,0.08415
