buffer,k,n_scored,n_short,short_frac
25,1,25347,0,0.0
25,3,25347,0,0.0
25,5,25347,0,0.0
25,7,25347,26,0.0010257624176431136
25,1,25347,0,0.0
25,3,25347,0,0.0
25,5,25347,0,0.0
25,7,25347,26,0.0010257624176431136
25,1,25347,0,0.0
25,3,25347,0,0.0
25,5,25347,0,0.0
25,7,25347,26,0.0010257624176431136
25,1,25347,0,0.0
25,3,25347,0,0.0
25,5,25347,0,0.0
25,7,25347,26,0.0010257624176431136
50,1,24347,0,0.0
50,3,24347,0,0.0
50,5,24347,0,0.0
50,7,24347,0,0.0
50,1,24347,0,0.0
50,3,24347,0,0.0
50,5,24347,0,0.0
50,7,24347,0,0.0
50,1,24347,0,0.0
50,3,24347,0,0.0
50,5,24347,0,0.0
50,7,24347,0,0.0
50,1,24347,0,0.0
50,3,24347,0,0.0
50,5,24347,0,0.0
50,7,24347,0,0.0
100,1,22347,0,0.0
100,3,22347,0,0.0
100,5,22347,0,0.0
100,7,22347,0,0.0
100,1,22347,0,0.0
100,3,22347,0,0.0
100,5,22347,0,0.0
100,7,22347,0,0.0
100,1,22347,0,0.0
100,3,22347,0,0.0
100,5,22347,0,0.0
100,7,22347,0,0.0
100,1,22347,0,0.0
100,3,22347,0,0.0
100,5,22347,0,0.0
100,7,22347,0,0.0
