buffer,k,variant,subject,f1,crit_err,n_scored
25,1,vote,1,0.6348603632682822,0.07894736842105263,665
25,1,vote,2,0.8611885746557817,0.0,495
25,1,vote,3,0.8203867383775815,0.02830188679245283,569
25,1,vote,4,0.7892815867817904,0.0,531
25,1,vote,5,0.7499104499933904,0.033783783783783786,683
25,1,vote,6,0.7748760221492843,0.10227272727272728,558
25,1,vote,7,0.7350477631540527,0.020202020202020204,575
25,1,vote,8,0.8318530776783315,0.0875,549
25,1,vote,9,0.8031209162945431,0.05,566
25,1,vote,10,0.729539241063839,0.0,484
25,1,vote,11,0.9369984264455707,0.0,493
25,1,vote,12,0.8775273833855807,0.05555555555555555,482
25,1,vote,13,0.8705114815506719,0.047619047619047616,727
25,1,vote,14,0.7793410145827577,0.0546875,750
25,1,vote,15,0.8378999714076836,0.02631578947368421,585
25,1,vote,16,0.8110885901395288,0.058823529411764705,656
25,1,vote,17,0.7814991068368988,0.050505050505050504,678
25,1,vote,18,0.7586254388885968,0.1125,615
25,1,vote,19,0.823915898957951,0.12871287128712872,691
25,1,vote,20,0.7390420883232034,0.0,574
25,1,vote,21,0.8248948085613814,0.0,582
25,1,vote,22,0.7777031429924062,0.041666666666666664,697
25,1,vote,23,0.7315600816782416,0.06521739130434782,679
25,1,vote,24,0.7584278379926055,0.027777777777777776,628
25,1,vote,25,0.8867707725868809,0.012658227848101266,591
25,1,vote,26,0.7095196817791516,0.08270676691729323,764
25,1,vote,27,0.8639274071801303,0.0,669
25,1,vote,28,0.8212510656958729,0.05660377358490566,675
25,1,vote,29,0.706722161861034,0.04,711
25,1,vote,30,0.830010958428701,0.10588235294117647,629
25,1,vote,31,0.7092278119092362,0.05747126436781609,733
25,1,vote,32,0.8333318379671439,0.037383177570093455,661
25,1,vote,33,0.7800381340166004,0.0,667
25,1,vote,34,0.8518576454770107,0.011764705882352941,607
25,1,vote,35,0.7278067888026942,0.15135135135135136,827
25,1,vote,36,0.7342924660818495,0.06818181818181818,709
25,1,vote,37,0.6698011697373445,0.012987012987012988,655
25,1,vote,38,0.8843566555034809,0.025,646
25,1,vote,39,0.7535563479390925,0.06172839506172839,668
25,1,vote,40,0.6391317085530588,0.04054054054054054,623
25,1,probavg,1,0.6348603632682822,0.07894736842105263,665
25,1,probavg,2,0.8611885746557817,0.0,495
25,1,probavg,3,0.8203867383775815,0.02830188679245283,569
25,1,probavg,4,0.7892815867817904,0.0,531
25,1,probavg,5,0.7499104499933904,0.033783783783783786,683
25,1,probavg,6,0.7748760221492843,0.10227272727272728,558
25,1,probavg,7,0.7350477631540527,0.020202020202020204,575
25,1,probavg,8,0.8318530776783315,0.0875,549
25,1,probavg,9,0.8031209162945431,0.05,566
25,1,probavg,10,0.729539241063839,0.0,484
25,1,probavg,11,0.9369984264455707,0.0,493
25,1,probavg,12,0.8775273833855807,0.05555555555555555,482
25,1,probavg,13,0.8705114815506719,0.047619047619047616,727
25,1,probavg,14,0.7793410145827577,0.0546875,750
25,1,probavg,15,0.8378999714076836,0.02631578947368421,585
25,1,probavg,16,0.8110885901395288,0.058823529411764705,656
