variant,metric,contrast,mean_delta,cohen_dz,bca_lo,bca_hi,W,p,n,p_holm,sig_holm_0.05
probavg,f1,k3_vs_k1,0.06761101802938826,3.2658950748368207,0.0618093465013049,0.07441896519750452,0.0,1.8189894035458565e-12,40,5.4569682106375694e-12,Yes
probavg,f1,k5_vs_k1,0.11082300197308918,3.669190909531494,0.10186231804495473,0.12023572364871338,0.0,1.8189894035458565e-12,40,5.4569682106375694e-12,Yes
probavg,f1,k5_vs_k3,0.043211983943700925,2.0793060766964477,0.03716889148697252,0.049922526447996086,0.0,1.8189894035458565e-12,40,5.4569682106375694e-12,Yes
probavg,crit_err,k3_vs_k1,-0.023693382005783387,-1.293036522669316,-0.029338096773942807,-0.018109368970358784,0.0,1.733306644199106e-06,40,3.520508643798479e-06,Yes
probavg,crit_err,k5_vs_k1,-0.03045080187735221,-1.1163568945366602,-0.03990190467744642,-0.02298841922304521,0.0,1.1735028812661596e-06,40,3.520508643798479e-06,Yes
probavg,crit_err,k5_vs_k3,-0.006757419871568829,-0.3990075005488041,-0.013632896789045662,-0.0026738665134161134,1.0,0.010862224704815628,40,0.010862224704815628,Yes
vote,f1,k3_vs_k1,0.048549934786856985,3.3718270238924704,0.04438270814575217,0.05319107218018369,0.0,1.8189894035458565e-12,40,5.4569682106375694e-12,Yes
vote,f1,k5_vs_k1,0.09038202445551202,3.6860560206408604,0.08315900078033929,0.098093835845551,0.0,1.8189894035458565e-12,40,5.4569682106375694e-12,Yes
vote,f1,k5_vs_k3,0.04183208966865504,2.24768971846106,0.03628698844898883,0.04775904232914345,0.0,1.8189894035458565e-12,40,5.4569682106375694e-12,Yes
vote,crit_err,k3_vs_k1,-0.014670377486292388,-0.8720630445921479,-0.0200037439150976,-0.009642989146654492,21.0,5.429026133257015e-05,40,0.0001085805226651403,Yes
vote,crit_err,k5_vs_k1,-0.026482280527043066,-1.1542238440115835,-0.03427943824714387,-0.020285001021131524,0.0,1.1728115648771376e-06,40,3.518434694631413e-06,Yes
vote,crit_err,k5_vs_k3,-0.01181190304075068,-0.6448973357837618,-0.01858619043141235,-0.007001021692712648,8.0,0.00046093434214296953,40,0.00046093434214296953,Yes
