subject,arch,f1_macro,bal_acc
1,resnet,0.5536988639155822,0.5564604043203071
2,resnet,0.7990940385376729,0.7905104728341148
3,resnet,0.8153998372815486,0.8347941148659856
4,resnet,0.7181535495350786,0.7268277189977492
5,resnet,0.5469537770566668,0.5626134088565078
6,resnet,0.6302081939653942,0.6621953895721739
7,resnet,0.7101248382663625,0.7253132759834786
8,resnet,0.768981507589092,0.7877096740468833
9,resnet,0.7813525638248453,0.7819316326700841
10,resnet,0.7470432560215842,0.7553236237446763
11,resnet,0.8349894971591435,0.8598243791898781
12,resnet,0.7865946964430055,0.8162462537462537
13,resnet,0.8396231576544887,0.846264891651174
14,resnet,0.824334304726538,0.8206306907000175
15,resnet,0.8057932612757601,0.816530352910694
16,resnet,0.8315408334916882,0.8617507492507492
17,resnet,0.8170577112983519,0.8181026290782387
18,resnet,0.7575622478787036,0.755288316334828
19,resnet,0.8096411282414545,0.828692907847833
20,resnet,0.7518036934238348,0.7557735249129058
21,resnet,0.7707821787878352,0.789008888685016
22,resnet,0.6985251407174808,0.7094360326066846
23,resnet,0.7706647910852296,0.7802726080396685
24,resnet,0.6276702669890641,0.6974383025199622
25,resnet,0.7565895090222836,0.8126185285857004
26,resnet,0.7031058716888973,0.7354909258451426
27,resnet,0.8382477495036067,0.8420584520196749
28,resnet,0.7501199495147894,0.7481954059140743
29,resnet,0.7611507169704717,0.7555214125893467
30,resnet,0.7512515804691191,0.7499380318929191
31,resnet,0.747908016735866,0.7420778729935532
32,resnet,0.7262326509811571,0.7559641272655566
33,resnet,0.899363550019741,0.9055909169475413
34,resnet,0.8857613671899023,0.9001794939129498
35,resnet,0.6911175184438749,0.7193387757425158
36,resnet,0.6900745708033345,0.6930544637762173
37,resnet,0.8481104471977177,0.8442220444682372
38,resnet,0.8275493905812092,0.8254029961763304
39,resnet,0.7695980380002297,0.7746753246753246
40,resnet,0.7543335764936285,0.7672157746658993
