subject,arch,f1_macro,bal_acc
1,resnet,0.636698809624491,0.6388102059071576
2,resnet,0.8325926436128285,0.8359214758496584
3,resnet,0.9055376336412887,0.9166891432096813
4,resnet,0.8478848040354248,0.8700446951757134
5,resnet,0.659087428572966,0.683169649669225
6,resnet,0.7818313553345628,0.793154806435846
7,resnet,0.7828391422698637,0.8001032105211863
8,resnet,0.8428656131970651,0.8539015248317574
9,resnet,0.7999354731383455,0.7969654219127218
10,resnet,0.6943422960551494,0.7110422472264578
11,resnet,0.9005817292001502,0.9286353765203732
12,resnet,0.9023600114021346,0.9059065934065933
13,resnet,0.9160362865525358,0.9233315728050626
14,resnet,0.8334508247365622,0.8389344982747419
15,resnet,0.9124020745024279,0.9140765234475942
16,resnet,0.8671476971918379,0.8983086358086358
17,resnet,0.8669528988879581,0.8716590997078801
18,resnet,0.8980721432019643,0.9010464825871802
19,resnet,0.8159100308470757,0.8291377871266801
20,resnet,0.8103823937991644,0.8259747633029988
21,resnet,0.8628531380791882,0.8733692479437872
22,resnet,0.8086387206791601,0.8173704721559745
23,resnet,0.8035943537152436,0.8175363863410161
24,resnet,0.787039000017776,0.8276141217441427
25,resnet,0.8853968077149541,0.918712056968601
26,resnet,0.8044280114872804,0.820828275445725
27,resnet,0.904801315911164,0.9028292040655759
28,resnet,0.7963059437536257,0.8157198817283673
29,resnet,0.8482189213869666,0.8527220685129202
30,resnet,0.8447708268456413,0.8473115230634027
31,resnet,0.8045777002155874,0.8183124044320478
32,resnet,0.8069323661240714,0.8170105661881978
33,resnet,0.8867120113871511,0.8921009420101979
34,resnet,0.8971951489736101,0.9188369694031459
35,resnet,0.7228266996810581,0.7301188000089271
36,resnet,0.6799390182118678,0.7006959365428735
37,resnet,0.88700048608929,0.884193749941642
38,resnet,0.8237145205656884,0.8479610485454947
39,resnet,0.8369776744246897,0.8408279220779221
40,resnet,0.8037878024247165,0.7966144922384838
