source_file,window_ms,feat_set,model,n_samples,n_features,cv_splits,f1_macro_mean,bal_acc_mean,fit_time_mean_sec,pred_time_mean_sec,infer_time_per_window_ms,f1_per_ms,balacc_per_ms
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__RF__trees100__mdNone_subjdep_cv.csv,250,base,RF_balanced,26347,36,5,0.837023723233095,0.8294069969097919,1.2049296599812809,0.0373348400113172,0.0070852165353393,118.13664678534927,117.06163005363574
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__RF__trees200__mdNone_subjdep_cv.csv,250,base,RF_balanced,26347,36,5,0.8394098358351588,0.8318517545888715,2.5604140800074675,0.0629259599838405,0.0119417694583521,70.29191434005399,69.65900300537727
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__RF__trees300__mdNone_subjdep_cv.csv,250,base,RF_balanced,26347,36,5,0.8395444330477375,0.831885592171194,3.7139556200010704,0.087050839990843,0.0165200667990365,50.81967544445415,50.35606709651513
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__RF__trees500__mdNone_subjdep_cv.csv,250,base,RF_balanced,26347,36,5,0.8399469503921875,0.8325825805103036,6.501898359996266,0.1641854000044986,0.0311582722899189,26.95743019948985,26.721076597680337
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__RF__trees50__mdNone_subjdep_cv.csv,250,base,RF_balanced,26347,36,5,0.8299000154386963,0.8223827476242391,0.6559133600094356,0.0246032800059765,0.0046690856655362,177.74358298122812,176.13357443716902
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext_subjdep_cv.csv,250,ext,RF_balanced,26347,54,5,0.8409345701779489,0.8325906391777069,4.568626680015586,0.1169570399913936,0.0221955137190939,37.887592097250135,37.51166338003986
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__SVM__C5__unscaled_subjdep_cv.csv,250,base,SVM_RBF_balanced,26347,36,5,0.6202053953043125,0.6502180401972298,9.440554279997013,3.922339539986569,0.7443616996216968,0.8332043354991483,0.8735243101944752
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base_subjdep_cv.csv,250,base,SVM_RBF_balanced,26347,36,5,0.6202053953043125,0.6502180401972298,9.480161519988906,4.086248940008227,0.7754675940350376,0.7997824797257614,0.8384851220073696
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__SVM__C0.5__scaled_subjdep_cv.csv,250,base,SVM_RBF_balanced_scaled,26347,36,5,0.7977942806637177,0.8124750071975066,5.117695620004088,2.9802881199982947,0.5655839602228517,1.4105673724363936,1.4365241314081374
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__SVM__C10__scaled_subjdep_cv.csv,250,base,SVM_RBF_balanced_scaled,26347,36,5,0.8590616870167409,0.8654483343245495,3.692096360004507,2.0624729000031947,0.3914056439069334,2.1948117008271977,2.2111289088369195
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__SVM__C1__scaled_subjdep_cv.csv,250,base,SVM_RBF_balanced_scaled,26347,36,5,0.8171168168710876,0.8293425959354515,4.479138160019647,2.6207869400037453,0.4973596500557455,1.6429093449368135,1.6674907098766383
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__SVM__C2__scaled_subjdep_cv.csv,250,base,SVM_RBF_balanced_scaled,26347,36,5,0.8326516277192597,0.8427296301753596,4.087408739991952,2.312210619996768,0.43879960147204,1.8975669643408182,1.9205341740244442
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base__SVM__C5__scaled_subjdep_cv.csv,250,base,SVM_RBF_balanced_scaled,26347,36,5,0.8507747032085831,0.8586179813701756,3.711716639995575,2.148799460020382,0.4077882605268876,2.0863148490575223,2.105548551742976
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext_subjdep_cv.csv,250,ext,SVM_RBF_balanced_scaled,26347,54,5,0.8354444073029267,0.8420865529737004,7.147438540006988,3.533436940005049,0.6705577371247294,1.2458948141963306,1.2558002187618709
