subject,acc,bal_acc,f1_macro,train_time_s,latency_ms,returncode,model
1,0.9783,0.9722,0.9706,1.85,0.011,0,CNN
2,0.9808,0.9818,0.9734,1.21,0.0149,0,CNN
3,0.9916,0.9821,0.9815,1.19,0.0151,0,CNN
4,0.9643,0.9354,0.94,1.05,0.0107,0,CNN
5,0.8521,0.8957,0.8735,1.11,0.0091,0,CNN
6,0.9573,0.936,0.9446,1.01,0.0136,0,CNN
7,0.9917,0.9881,0.9886,1.06,0.0105,0,CNN
8,0.9826,0.9706,0.9754,1.01,0.0144,0,CNN
9,0.9664,0.9562,0.9595,1.01,0.0094,0,CNN
10,0.9608,0.9333,0.9275,0.99,0.0107,0,CNN
11,0.9904,0.9853,0.9857,0.96,0.0126,0,CNN
12,0.9412,0.9398,0.9219,0.99,0.0181,0,CNN
13,0.9868,0.9858,0.9805,1.14,0.0101,0,CNN
14,0.9742,0.9615,0.9605,1.15,0.0093,0,CNN
15,0.9754,0.9529,0.9485,1.01,0.0113,0,CNN
16,0.9854,0.9722,0.9721,1.14,0.0132,0,CNN
17,0.9787,0.9623,0.9629,1.14,0.0096,0,CNN
18,0.9922,0.9853,0.9848,1.07,0.0116,0,CNN
19,0.9722,0.9562,0.9575,1.1,0.009,0,CNN
20,0.95,0.9133,0.9106,1.0,0.009,0,CNN
21,0.959,0.9173,0.9252,0.97,0.0131,0,CNN
22,0.9862,0.988,0.9822,1.19,0.0088,0,CNN
23,0.9433,0.9221,0.9304,1.19,0.0089,0,CNN
24,0.9542,0.9332,0.9314,1.2,0.0164,0,CNN
25,0.9677,0.944,0.9413,1.03,0.0098,0,CNN
26,0.981,0.9732,0.9676,1.34,0.0103,0,CNN
27,1.0,1.0,1.0,1.21,0.0127,0,CNN
28,0.9857,0.9854,0.9802,1.22,0.0125,0,CNN
29,0.973,0.9573,0.9543,1.1,0.0134,0,CNN
30,0.9771,0.9544,0.9589,1.12,0.0114,0,CNN
31,0.9408,0.8898,0.8948,1.18,0.0102,0,CNN
32,0.8841,0.7997,0.798,1.11,0.0098,0,CNN
33,0.9856,0.9783,0.9791,1.18,0.0106,0,CNN
34,0.9843,0.9615,0.9708,1.0,0.0092,0,CNN
35,0.9649,0.9678,0.9597,1.31,0.0113,0,CNN
36,0.966,0.9478,0.9548,1.22,0.0136,0,CNN
37,0.9706,0.9418,0.9485,1.15,0.01,0,CNN
38,0.963,0.9502,0.9424,1.09,0.0098,0,CNN
39,1.0,1.0,1.0,1.22,0.0104,0,CNN
40,0.9615,0.9294,0.9236,1.39,0.0169,0,CNN
