subject,K_per_class,f1_macro
1,0,0.5747420300391387
1,5,0.6216834425942229
1,10,0.6965216961625007
1,20,0.7229103222046771
2,0,0.835295344915694
2,5,0.7227842265899873
2,10,0.8140116374019462
2,20,0.8636574627063759
3,0,0.7487005734857997
3,5,0.5598164130479006
3,10,0.6485565211049169
3,20,0.6225755582026392
4,0,0.7650011890431657
4,5,0.6876868413131162
4,10,0.7661272428249404
4,20,0.9265630427768642
5,0,0.5690842543566916
5,5,0.3641260516607313
5,10,0.49116524936495887
5,20,0.5187789893885191
6,0,0.6806700477317819
6,5,0.539894454024274
6,10,0.7385174357691168
6,20,0.7778909513147199
7,0,0.6747411798727588
7,5,0.6476682958182672
7,10,0.7954213961735759
7,20,0.8178317072767431
8,0,0.6989214289424668
8,5,0.6530967734213396
8,10,0.7363864239083531
8,20,0.8665398284599481
9,0,0.7603494891879646
9,5,0.5354082783345055
9,10,0.727230531475521
9,20,0.7900396654050801
10,0,0.7779792888815446
10,5,0.6401236115866837
10,10,0.7702096903018236
10,20,0.8313011279851592
11,0,0.8370084764739798
11,5,0.5651060531414298
11,10,0.8046858414505473
11,20,0.7833692759029356
12,0,0.7824565383860392
12,5,0.5915117105402665
12,10,0.7071573252061056
12,20,0.7120663098684397
13,0,0.8236744853685173
13,5,0.704940795959173
13,10,0.7340724119596219
13,20,0.723636941997468
14,0,0.7587116414368473
14,5,0.6209548159842763
14,10,0.6628073217443056
14,20,0.7059292556131774
15,0,0.86444701136299
15,5,0.7483270676691729
15,10,0.7994655888208386
15,20,0.8462008894015663
16,0,0.7706564478803366
16,5,0.7092837455108083
16,10,0.8492015970109048
16,20,0.8843476872542287
17,0,0.7709425783011874
17,5,0.6700880950447342
17,10,0.7750205689389837
17,20,0.7386725625651727
18,0,0.7211907343611385
18,5,0.6885582015516383
18,10,0.7667293277907089
18,20,0.7843312551645885
19,0,0.7846256160394265
19,5,0.5920134443021767
19,10,0.7437815695880212
19,20,0.7894929007251414
20,0,0.7581736837564927
20,5,0.5538053369674029
20,10,0.6719924616425235
20,20,0.7040622327160253
21,0,0.7562515769765836
21,5,0.7204076438403706
21,10,0.817433424172882
21,20,0.8073221941263251
22,0,0.7786326295936863
22,5,0.5751205239143188
22,10,0.6800665480801757
22,20,0.7578869018505596
23,0,0.7139829608502845
23,5,0.5573740656949355
23,10,0.620397740525869
23,20,0.7418787755921787
24,0,0.6615682332757575
24,5,0.6100835234688715
24,10,0.8519983244515996
24,20,0.8863464668886423
25,0,0.7356718910827496
25,5,0.64579206221558
25,10,0.671752340525281
25,20,0.7092503296555916
26,0,0.6724640331590557
26,5,0.6673353971415468
26,10,0.7292221177140313
26,20,0.6956995326398312
27,0,0.8354472881386895
27,5,0.6328069879410524
27,10,0.7405179607203654
27,20,0.8708684414776677
28,0,0.7671493496276652
28,5,0.5385866255884484
28,10,0.7279745651183709
28,20,0.65850700758211
29,0,0.7591318161298026
29,5,0.5717497311739677
29,10,0.7197368980325414
29,20,0.6912349416942858
30,0,0.8207075059845783
30,5,0.7987001608149351
30,10,0.7630158862559743
30,20,0.8056958432963794
31,0,0.6843152860973872
31,5,0.5548203556769354
31,10,0.627949565006746
31,20,0.6546508580745444
32,0,0.6730002800906475
32,5,0.5885756236142062
32,10,0.6710458579952169
32,20,0.6849507557444343
33,0,0.8965168780741584
33,5,0.8538787279384557
33,10,0.9069299636568684
33,20,0.9439782690422798
34,0,0.8337491016811106
34,5,0.7588703078648101
34,10,0.8483305152703314
34,20,0.8204770041097023
35,0,0.6260874296383622
35,5,0.6056865050739485
35,10,0.6379921991769092
35,20,0.6470098905817941
36,0,0.6616060492597081
36,5,0.6503102384643112
36,10,0.7106774956044677
36,20,0.7638170967620764
37,0,0.8580046799898811
37,5,0.668466231336145
37,10,0.8240464651963304
37,20,0.8206939567932354
38,0,0.736400866678512
38,5,0.6615251613086219
38,10,0.6304265723265063
38,20,0.6218136522269396
39,0,0.7751649848887119
39,5,0.6149472284462831
39,10,0.8370366765235351
39,20,0.855574598149921
40,0,0.7609577420478422
40,5,0.7008257832059656
40,10,0.7872614998554863
40,20,0.8108071709046646
