subject,K_per_class,f1_macro
1,0,0.6633300179217714
1,5,0.7363858626314292
1,10,0.7624202071345664
1,20,0.7901020300970255
2,0,0.9054085787231855
2,5,0.8834191714510863
2,10,0.8749118066407554
2,20,0.8999387199849251
3,0,0.8946364471976093
3,5,0.8778288073690972
3,10,0.8694536561593686
3,20,0.8797944234355007
4,0,0.7919414218010863
4,5,0.8562671097411227
4,10,0.8638480859386032
4,20,0.8535032709473704
5,0,0.655483854547982
5,5,0.595544777630556
5,10,0.6203685358100529
5,20,0.624188130738349
6,0,0.7898206739301599
6,5,0.7462373579181758
6,10,0.7968105650765813
6,20,0.8216911463122624
7,0,0.7669841163009825
7,5,0.7744670026794388
7,10,0.772878217225619
7,20,0.8416460983053289
8,0,0.8661951444354111
8,5,0.8473410270618498
8,10,0.8796454304425568
8,20,0.8857025668240591
9,0,0.8521307646640575
9,5,0.8417319110094627
9,10,0.8315843292139491
9,20,0.8261318510294091
10,0,0.7984840274907776
10,5,0.7484731127320369
10,10,0.8020618796562055
10,20,0.8581013103158206
11,0,0.9251873015041674
11,5,0.8697563337982483
11,10,0.9301662580981579
11,20,0.9275034207268028
12,0,0.840131853102432
12,5,0.8683085629766688
12,10,0.8335783593437817
12,20,0.8285731415456227
13,0,0.9032707894940213
13,5,0.8811533090825098
13,10,0.9180542652308354
13,20,0.9143845071662299
14,0,0.8123450078707706
14,5,0.8370923654153404
14,10,0.8588766614316214
14,20,0.908385741912149
15,0,0.9174800819589899
15,5,0.9147500644970014
15,10,0.9119459531679168
15,20,0.9441427817155916
16,0,0.8216109221901413
16,5,0.7435188887388742
16,10,0.8697416289574255
16,20,0.8321828477728198
17,0,0.807108136127027
17,5,0.7684326499849676
17,10,0.8406416786133637
17,20,0.7869654412978357
18,0,0.9000396118828924
18,5,0.8769365921885259
18,10,0.9129903485362281
18,20,0.9228721279862755
19,0,0.8532803024283027
19,5,0.8043175016595558
19,10,0.8568838034704197
19,20,0.8830610887088619
20,0,0.7530473369870938
20,5,0.7354392944007618
20,10,0.7682164294196987
20,20,0.7839691881245437
21,0,0.8118970058098326
21,5,0.8850932175004659
21,10,0.8601689322016731
21,20,0.8835948294700615
22,0,0.8074590737638071
22,5,0.6605963532019116
22,10,0.716121629327228
22,20,0.7443839195572522
23,0,0.8006897063843166
23,5,0.7410585104426524
23,10,0.754598726112329
23,20,0.8206102609068546
24,0,0.73694537269334
24,5,0.8565007559649446
24,10,0.8678595670700967
24,20,0.8721648138795061
25,0,0.8195325803277286
25,5,0.8082143068848968
25,10,0.795475744889693
25,20,0.7944878967383355
26,0,0.7821707742839163
26,5,0.7774598616408428
26,10,0.7859777881329606
26,20,0.7987238752054697
27,0,0.8695794858899196
27,5,0.9377714795034258
27,10,0.9386896763609092
27,20,0.9372603425968428
28,0,0.8199339978857331
28,5,0.7533986524546123
28,10,0.8811329329239409
28,20,0.8918209501200125
29,0,0.80305331124248
29,5,0.7550165324889069
29,10,0.7805306189870029
29,20,0.7953441322274961
30,0,0.8130724276713556
30,5,0.8453899166171046
30,10,0.8315834746007102
30,20,0.8236481316876132
31,0,0.7926033088733069
31,5,0.8169348242674923
31,10,0.814280684903979
31,20,0.8328252780085605
32,0,0.8072572369727677
32,5,0.7338287240267424
32,10,0.7906567451157234
32,20,0.8445539494313555
33,0,0.774691418768042
33,5,0.7979914130665445
33,10,0.836235669848015
33,20,0.8798450342579354
34,0,0.894192814000368
34,5,0.8501125760077498
34,10,0.9016509808344952
34,20,0.9013433690573934
35,0,0.7084290593256479
35,5,0.6852517655762369
35,10,0.6723460353412044
35,20,0.7078746322495848
36,0,0.724242962734136
36,5,0.7345033958212126
36,10,0.7625868494557563
36,20,0.8014635786024734
37,0,0.8000235077427013
37,5,0.623735561058132
37,10,0.8064504570399371
37,20,0.8356353136465655
38,0,0.8260270755724176
38,5,0.8513449010850085
38,10,0.8790635540328792
38,20,0.8749733178441657
39,0,0.826045110245007
39,5,0.7904348606712146
39,10,0.8119676054435641
39,20,0.8421682445379826
40,0,0.7971788399928204
40,5,0.8004610902902904
40,10,0.784070741326805
40,20,0.8006741344284031
