subject,draw,K_per_class,f1_macro
1,0,0,0.594456
1,0,5,0.74562
1,0,10,0.613609
1,0,20,0.60306
1,1,0,0.591488
1,1,5,0.603927
1,1,10,0.556107
1,1,20,0.638989
1,2,0,0.596945
1,2,5,0.643076
1,2,10,0.701636
1,2,20,0.721164
1,3,0,0.594421
1,3,5,0.639888
1,3,10,0.68711
1,3,20,0.655222
1,4,0,0.61547
1,4,5,0.67839
1,4,10,0.718328
1,4,20,0.704775
2,0,0,0.911136
2,0,5,0.898132
2,0,10,0.905847
2,0,20,0.913729
2,1,0,0.929244
2,1,5,0.872948
2,1,10,0.898905
2,1,20,0.919983
2,2,0,0.922041
2,2,5,0.922714
2,2,10,0.927797
2,2,20,0.919552
2,3,0,0.921395
2,3,5,0.915841
2,3,10,0.907736
2,3,20,0.910962
2,4,0,0.922213
2,4,5,0.892047
2,4,10,0.888598
2,4,20,0.905903
3,0,0,0.889181
3,0,5,0.846594
3,0,10,0.885746
3,0,20,0.874994
3,1,0,0.886287
3,1,5,0.889681
3,1,10,0.884889
3,1,20,0.898291
3,2,0,0.89581
3,2,5,0.878553
3,2,10,0.886966
3,2,20,0.904021
3,3,0,0.899806
3,3,5,0.805642
3,3,10,0.866857
3,3,20,0.881501
3,4,0,0.909961
3,4,5,0.918427
3,4,10,0.937835
3,4,20,0.927923
4,0,0,0.870232
4,0,5,0.893855
4,0,10,0.881919
4,0,20,0.90735
4,1,0,0.869404
4,1,5,0.844787
4,1,10,0.890271
4,1,20,0.889222
4,2,0,0.861149
4,2,5,0.854316
4,2,10,0.879811
4,2,20,0.909327
4,3,0,0.887646
4,3,5,0.87823
4,3,10,0.874902
4,3,20,0.923183
4,4,0,0.885072
4,4,5,0.885579
4,4,10,0.906273
4,4,20,0.905821
5,0,0,0.660636
5,0,5,0.642476
5,0,10,0.709691
5,0,20,0.753764
5,1,0,0.66658
5,1,5,0.735132
5,1,10,0.75026
5,1,20,0.712986
5,2,0,0.649728
5,2,5,0.724123
5,2,10,0.724333
5,2,20,0.728161
5,3,0,0.657966
5,3,5,0.662778
5,3,10,0.693268
5,3,20,0.749122
5,4,0,0.651533
5,4,5,0.636719
5,4,10,0.694973
5,4,20,0.731045
6,0,0,0.764864
6,0,5,0.804426
6,0,10,0.827526
6,0,20,0.825872
6,1,0,0.760563
6,1,5,0.781103
6,1,10,0.789855
6,1,20,0.831495
6,2,0,0.759362
6,2,5,0.749357
6,2,10,0.781514
6,2,20,0.798642
6,3,0,0.74965
6,3,5,0.804904
6,3,10,0.769448
6,3,20,0.807256
6,4,0,0.748295
6,4,5,0.789687
6,4,10,0.791923
6,4,20,0.823597
7,0,0,0.766883
7,0,5,0.858981
7,0,10,0.88771
7,0,20,0.895928
7,1,0,0.776097
7,1,5,0.894632
7,1,10,0.903697
7,1,20,0.891893
7,2,0,0.774463
7,2,5,0.856165
7,2,10,0.862652
7,2,20,0.853925
7,3,0,0.755559
7,3,5,0.816108
7,3,10,0.817627
7,3,20,0.85149
7,4,0,0.766342
7,4,5,0.867965
7,4,10,0.879102
7,4,20,0.880814
8,0,0,0.848249
8,0,5,0.870817
8,0,10,0.852469
8,0,20,0.878344
8,1,0,0.834516
8,1,5,0.856928
8,1,10,0.848021
8,1,20,0.851827
8,2,0,0.842427
8,2,5,0.839456
8,2,10,0.851674
8,2,20,0.855281
8,3,0,0.8361
8,3,5,0.820743
8,3,10,0.841557
8,3,20,0.862767
8,4,0,0.833712
8,4,5,0.820595
8,4,10,0.868945
8,4,20,0.870052
9,0,0,0.799094
9,0,5,0.856166
9,0,10,0.858137
9,0,20,0.871827
9,1,0,0.810204
9,1,5,0.846738
9,1,10,0.859802
9,1,20,0.86793
9,2,0,0.786911
9,2,5,0.863213
9,2,10,0.765054
9,2,20,0.79574
9,3,0,0.791228
9,3,5,0.820753
9,3,10,0.835411
9,3,20,0.854583
9,4,0,0.78485
9,4,5,0.834785
9,4,10,0.829869
9,4,20,0.816474
10,0,0,0.831396
10,0,5,0.819007
10,0,10,0.828471
10,0,20,0.831602
10,1,0,0.85083
10,1,5,0.874613
10,1,10,0.87818
10,1,20,0.893476
10,2,0,0.804708
10,2,5,0.80768
10,2,10,0.844009
10,2,20,0.883244
10,3,0,0.837776
10,3,5,0.768764
10,3,10,0.833125
10,3,20,0.846405
10,4,0,0.851564
10,4,5,0.906874
10,4,10,0.897381
10,4,20,0.907085
11,0,0,0.901089
11,0,5,0.90249
11,0,10,0.91615
11,0,20,0.935066
11,1,0,0.912396
11,1,5,0.906033
11,1,10,0.895352
11,1,20,0.910741
11,2,0,0.913432
11,2,5,0.918029
11,2,10,0.930912
11,2,20,0.930633
11,3,0,0.906991
11,3,5,0.90035
11,3,10,0.943732
11,3,20,0.933753
11,4,0,0.916616
11,4,5,0.934576
11,4,10,0.911133
11,4,20,0.940621
12,0,0,0.892324
12,0,5,0.923845
12,0,10,0.927076
12,0,20,0.935343
12,1,0,0.890369
12,1,5,0.882427
12,1,10,0.908174
12,1,20,0.906537
12,2,0,0.899
12,2,5,0.875983
12,2,10,0.858636
12,2,20,0.895064
12,3,0,0.895374
12,3,5,0.936082
12,3,10,0.943375
12,3,20,0.931752
12,4,0,0.890692
12,4,5,0.870897
12,4,10,0.888772
12,4,20,0.914997
13,0,0,0.897244
13,0,5,0.93096
13,0,10,0.922712
13,0,20,0.920341
13,1,0,0.891587
13,1,5,0.935039
13,1,10,0.927029
13,1,20,0.934579
13,2,0,0.897722
13,2,5,0.919363
13,2,10,0.935905
13,2,20,0.934782
13,3,0,0.895663
13,3,5,0.905069
13,3,10,0.922175
13,3,20,0.924159
13,4,0,0.894697
13,4,5,0.932126
13,4,10,0.935056
13,4,20,0.947292
14,0,0,0.804469
14,0,5,0.861349
14,0,10,0.856703
14,0,20,0.86469
14,1,0,0.799054
14,1,5,0.83079
14,1,10,0.839724
14,1,20,0.859594
14,2,0,0.79409
14,2,5,0.802591
14,2,10,0.842789
14,2,20,0.806956
14,3,0,0.800722
14,3,5,0.815164
14,3,10,0.794972
14,3,20,0.801635
14,4,0,0.789944
14,4,5,0.784206
14,4,10,0.81324
14,4,20,0.808864
15,0,0,0.89908
15,0,5,0.886424
15,0,10,0.900116
15,0,20,0.909875
15,1,0,0.895114
15,1,5,0.93784
15,1,10,0.93355
15,1,20,0.939154
15,2,0,0.904326
15,2,5,0.943062
15,2,10,0.929646
15,2,20,0.942979
15,3,0,0.909473
15,3,5,0.940102
15,3,10,0.948216
15,3,20,0.959318
15,4,0,0.908969
15,4,5,0.948588
15,4,10,0.947686
15,4,20,0.92763
16,0,0,0.819883
16,0,5,0.810563
16,0,10,0.806405
16,0,20,0.884719
16,1,0,0.803766
16,1,5,0.831098
16,1,10,0.822278
16,1,20,0.842979
16,2,0,0.813081
16,2,5,0.805952
16,2,10,0.833632
16,2,20,0.874441
16,3,0,0.822909
16,3,5,0.82954
16,3,10,0.853027
16,3,20,0.885045
16,4,0,0.819479
16,4,5,0.825474
16,4,10,0.820295
16,4,20,0.835942
17,0,0,0.866483
17,0,5,0.810419
17,0,10,0.848911
17,0,20,0.865108
17,1,0,0.870155
17,1,5,0.882674
17,1,10,0.88932
17,1,20,0.888854
17,2,0,0.865544
17,2,5,0.838648
17,2,10,0.81113
17,2,20,0.86027
17,3,0,0.859946
17,3,5,0.781134
17,3,10,0.835596
17,3,20,0.854064
17,4,0,0.864133
17,4,5,0.811637
17,4,10,0.806899
17,4,20,0.845611
18,0,0,0.91147
18,0,5,0.909113
18,0,10,0.906942
18,0,20,0.918422
18,1,0,0.895023
18,1,5,0.916828
18,1,10,0.91522
18,1,20,0.892085
18,2,0,0.898589
18,2,5,0.890636
18,2,10,0.890419
18,2,20,0.906213
18,3,0,0.890123
18,3,5,0.859691
18,3,10,0.892302
18,3,20,0.904523
18,4,0,0.89792
18,4,5,0.860711
18,4,10,0.862953
18,4,20,0.89555
19,0,0,0.863044
19,0,5,0.870395
19,0,10,0.878356
19,0,20,0.869697
19,1,0,0.850185
19,1,5,0.878111
19,1,10,0.868908
19,1,20,0.87277
19,2,0,0.867823
19,2,5,0.868989
19,2,10,0.885248
19,2,20,0.885385
19,3,0,0.863076
19,3,5,0.865229
19,3,10,0.865102
19,3,20,0.878538
19,4,0,0.865613
19,4,5,0.84661
19,4,10,0.878923
19,4,20,0.886263
20,0,0,0.851575
20,0,5,0.797058
20,0,10,0.811629
20,0,20,0.837558
20,1,0,0.8443
20,1,5,0.802261
20,1,10,0.831051
20,1,20,0.848521
20,2,0,0.872562
20,2,5,0.809655
20,2,10,0.845378
20,2,20,0.817336
20,3,0,0.851937
20,3,5,0.860391
20,3,10,0.825701
20,3,20,0.842932
20,4,0,0.857712
20,4,5,0.795721
20,4,10,0.809343
20,4,20,0.829356
21,0,0,0.83555
21,0,5,0.879057
21,0,10,0.91344
21,0,20,0.91356
21,1,0,0.826264
21,1,5,0.890416
21,1,10,0.88077
21,1,20,0.899248
21,2,0,0.831723
21,2,5,0.821102
21,2,10,0.890319
21,2,20,0.903425
21,3,0,0.823433
21,3,5,0.893748
21,3,10,0.856595
21,3,20,0.863569
21,4,0,0.846119
21,4,5,0.912489
21,4,10,0.87568
21,4,20,0.892084
22,0,0,0.815108
22,0,5,0.735487
22,0,10,0.775503
22,0,20,0.760019
22,1,0,0.814251
22,1,5,0.722436
22,1,10,0.739244
22,1,20,0.779165
22,2,0,0.811314
22,2,5,0.74265
22,2,10,0.786676
22,2,20,0.767458
22,3,0,0.809706
22,3,5,0.754986
22,3,10,0.77447
22,3,20,0.77767
22,4,0,0.814392
22,4,5,0.809411
22,4,10,0.79311
22,4,20,0.775138
23,0,0,0.768927
23,0,5,0.759096
23,0,10,0.791168
23,0,20,0.835186
23,1,0,0.780934
23,1,5,0.846847
23,1,10,0.875526
23,1,20,0.850872
23,2,0,0.772843
23,2,5,0.796779
23,2,10,0.806947
23,2,20,0.802178
23,3,0,0.768021
23,3,5,0.784145
23,3,10,0.830306
23,3,20,0.846547
23,4,0,0.778155
23,4,5,0.839506
23,4,10,0.810135
23,4,20,0.861694
24,0,0,0.722393
24,0,5,0.791805
24,0,10,0.801799
24,0,20,0.857392
24,1,0,0.734996
24,1,5,0.869112
24,1,10,0.871925
24,1,20,0.842682
24,2,0,0.735979
24,2,5,0.805039
24,2,10,0.812714
24,2,20,0.839521
24,3,0,0.738207
24,3,5,0.855517
24,3,10,0.863152
24,3,20,0.894286
24,4,0,0.730503
24,4,5,0.83497
24,4,10,0.824212
24,4,20,0.871473
25,0,0,0.865212
25,0,5,0.877278
25,0,10,0.913662
25,0,20,0.893511
25,1,0,0.855462
25,1,5,0.898986
25,1,10,0.866433
25,1,20,0.886474
25,2,0,0.861557
25,2,5,0.841092
25,2,10,0.91257
25,2,20,0.908046
25,3,0,0.867631
25,3,5,0.870764
25,3,10,0.839491
25,3,20,0.8961
25,4,0,0.873271
25,4,5,0.871447
25,4,10,0.873242
25,4,20,0.901973
26,0,0,0.770186
26,0,5,0.773329
26,0,10,0.811739
26,0,20,0.803831
26,1,0,0.787489
26,1,5,0.840373
26,1,10,0.831466
26,1,20,0.852022
26,2,0,0.790829
26,2,5,0.77656
26,2,10,0.785622
26,2,20,0.815865
26,3,0,0.778315
26,3,5,0.785356
26,3,10,0.820443
26,3,20,0.815754
26,4,0,0.78222
26,4,5,0.763987
26,4,10,0.77882
26,4,20,0.776779
27,0,0,0.862483
27,0,5,0.878743
27,0,10,0.920414
27,0,20,0.923544
27,1,0,0.86401
27,1,5,0.896089
27,1,10,0.921896
27,1,20,0.9487
27,2,0,0.836953
27,2,5,0.872657
27,2,10,0.878755
27,2,20,0.890773
27,3,0,0.86129
27,3,5,0.880932
27,3,10,0.929011
27,3,20,0.944017
27,4,0,0.866725
27,4,5,0.895328
27,4,10,0.913131
27,4,20,0.908708
28,0,0,0.82348
28,0,5,0.829326
28,0,10,0.856131
28,0,20,0.872209
28,1,0,0.816238
28,1,5,0.888185
28,1,10,0.880925
28,1,20,0.879537
28,2,0,0.810981
28,2,5,0.776324
28,2,10,0.783988
28,2,20,0.821253
28,3,0,0.820558
28,3,5,0.86319
28,3,10,0.889864
28,3,20,0.877523
28,4,0,0.830498
28,4,5,0.876225
28,4,10,0.892696
28,4,20,0.921408
29,0,0,0.815189
29,0,5,0.721201
29,0,10,0.756118
29,0,20,0.770394
29,1,0,0.810551
29,1,5,0.733503
29,1,10,0.816697
29,1,20,0.816496
29,2,0,0.811974
29,2,5,0.785084
29,2,10,0.807562
29,2,20,0.778702
29,3,0,0.79809
29,3,5,0.741044
29,3,10,0.750469
29,3,20,0.748843
29,4,0,0.804277
29,4,5,0.784823
29,4,10,0.774826
29,4,20,0.777796
30,0,0,0.817047
30,0,5,0.855502
30,0,10,0.887451
30,0,20,0.883234
30,1,0,0.844179
30,1,5,0.847314
30,1,10,0.888416
30,1,20,0.862719
30,2,0,0.819428
30,2,5,0.849543
30,2,10,0.866544
30,2,20,0.894678
30,3,0,0.831941
30,3,5,0.86549
30,3,10,0.881191
30,3,20,0.896171
30,4,0,0.83485
30,4,5,0.827451
30,4,10,0.889409
30,4,20,0.896651
31,0,0,0.787835
31,0,5,0.846366
31,0,10,0.814652
31,0,20,0.821499
31,1,0,0.781691
31,1,5,0.77766
31,1,10,0.808018
31,1,20,0.825309
31,2,0,0.783353
31,2,5,0.760625
31,2,10,0.817681
31,2,20,0.837147
31,3,0,0.778416
31,3,5,0.79898
31,3,10,0.842073
31,3,20,0.840462
31,4,0,0.777212
31,4,5,0.766536
31,4,10,0.819856
31,4,20,0.830852
32,0,0,0.812523
32,0,5,0.83249
32,0,10,0.814047
