subject,K_per_class,f1_macro
1,0,0.5747793960703
1,5,0.6308126732013637
1,10,0.7212950458815582
1,20,0.727128968125202
2,0,0.835295344915694
2,5,0.83509640280487
2,10,0.8615733142690033
2,20,0.8718216437770043
3,0,0.7487005734857997
3,5,0.7170203493604483
3,10,0.7361134642098242
3,20,0.716013956711631
4,0,0.7725364350703601
4,5,0.7700228355294928
4,10,0.7689058879334902
4,20,0.7794250328160259
5,0,0.5724590527299367
5,5,0.54053984609768
5,10,0.516220699622339
5,20,0.5623320820934204
6,0,0.6806700477317819
6,5,0.6596302717872923
6,10,0.6965714347442966
6,20,0.7009897882833207
7,0,0.673439323177423
7,5,0.6784002561799946
7,10,0.7246264822616891
7,20,0.76396848983475
8,0,0.6989214289424668
8,5,0.7435009526810094
8,10,0.8166174314269375
8,20,0.7910024122219244
9,0,0.7577720116259671
9,5,0.7366692180854341
9,10,0.7847692991228685
9,20,0.7925024463882028
10,0,0.7779792888815446
10,5,0.7596544445708364
10,10,0.783818545358137
10,20,0.7901164078399177
11,0,0.8337286625247076
11,5,0.8464442929817475
11,10,0.8758811065680074
11,20,0.872800437698136
12,0,0.793282131693257
12,5,0.7601191930838632
12,10,0.7655874868108968
12,20,0.7725669135132341
13,0,0.8272180227301384
13,5,0.8406000182505611
13,10,0.915703411726508
13,20,0.9178129844536631
14,0,0.7606177633695814
14,5,0.7180846968860015
14,10,0.7894811900965195
14,20,0.7912708821963192
15,0,0.86444701136299
15,5,0.8597490128198194
15,10,0.844487811899423
15,20,0.8586374968265227
16,0,0.7754117381097858
16,5,0.8473259334438357
16,10,0.8469981906363989
16,20,0.811372196912117
17,0,0.7670217048837507
17,5,0.7479065447658306
17,10,0.7548470229031965
17,20,0.7536322625806953
18,0,0.7211907343611385
18,5,0.7670442471905496
18,10,0.7614080816007739
18,20,0.7748605067784875
19,0,0.7846256160394265
19,5,0.771457333957334
19,10,0.8075884912101576
19,20,0.7853377876359706
20,0,0.7581736837564927
20,5,0.7191282591427542
20,10,0.7306199113418433
20,20,0.762617022790974
21,0,0.7583426181213884
21,5,0.8265251890770691
21,10,0.8005939767188098
21,20,0.8425109916145372
22,0,0.7810668753890413
22,5,0.7167244225427267
22,10,0.760761955459418
22,20,0.7695028302381541
23,0,0.7150871003554776
23,5,0.6291138754567577
23,10,0.7063972991502049
23,20,0.7371656919492345
24,0,0.6593670988849075
24,5,0.7478995426394391
24,10,0.7513621169731591
24,20,0.7635251260847056
25,0,0.7346813980273803
25,5,0.7486996369094161
25,10,0.7290641839062004
25,20,0.7274494499110961
26,0,0.6724640331590557
26,5,0.7389140177959266
26,10,0.7512625587776294
26,20,0.7358143277954786
27,0,0.8354472881386895
27,5,0.8007373008689861
27,10,0.8490724350609662
27,20,0.8434954558780917
28,0,0.767646749517538
28,5,0.7791936800757724
28,10,0.8221460482024049
28,20,0.8026776730308742
29,0,0.7637613489472672
29,5,0.7434789433179463
29,10,0.76013550549262
29,20,0.7632832890696701
30,0,0.8207075059845783
30,5,0.8651909819560153
30,10,0.8239848345472509
30,20,0.8234399319034753
31,0,0.6817531284744399
31,5,0.7016678632398017
31,10,0.7146615577821958
31,20,0.7259765476460872
32,0,0.6730002800906475
32,5,0.6414753501670828
32,10,0.6582063679238775
32,20,0.6828322906093703
33,0,0.9001740239492512
33,5,0.9075307219662059
33,10,0.9149940498641397
33,20,0.9322327507867519
34,0,0.8337491016811106
34,5,0.8224449902462996
34,10,0.8359001945435511
34,20,0.8214473515138783
35,0,0.6259186976174108
35,5,0.6679592923053622
35,10,0.6449636585810332
35,20,0.6421651736242087
36,0,0.6586439256220724
36,5,0.7262734064047722
36,10,0.735783951798949
36,20,0.7374971634819335
37,0,0.8617997760057644
37,5,0.8474047149663582
37,10,0.8718926155123063
37,20,0.8660086443164987
38,0,0.736400866678512
38,5,0.8039643828349631
38,10,0.8260073134421317
38,20,0.8158645880535071
39,0,0.7751649848887119
39,5,0.8476655057552228
39,10,0.8700554532812417
39,20,0.8624713990149752
40,0,0.7609577420478422
40,5,0.7879335306449624
40,10,0.7991023711740377
40,20,0.787628528500977
