subject,draw,K_per_class,f1_macro
1,0,0,0.579013
1,0,5,0.734945
1,0,10,0.745803
1,0,20,0.738382
1,1,0,0.576583
1,1,5,0.718846
1,1,10,0.721877
1,1,20,0.729439
1,2,0,0.572524
1,2,5,0.676024
1,2,10,0.747005
1,2,20,0.749324
1,3,0,0.573543
1,3,5,0.678891
1,3,10,0.755952
1,3,20,0.758695
1,4,0,0.584476
1,4,5,0.704981
1,4,10,0.734935
1,4,20,0.737435
2,0,0,0.816899
2,0,5,0.831198
2,0,10,0.87313
2,0,20,0.870691
2,1,0,0.798666
2,1,5,0.834762
2,1,10,0.829364
2,1,20,0.852546
2,2,0,0.845092
2,2,5,0.889503
2,2,10,0.893589
2,2,20,0.887269
2,3,0,0.826189
2,3,5,0.807919
2,3,10,0.850084
2,3,20,0.882943
2,4,0,0.817072
2,4,5,0.839639
2,4,10,0.844471
2,4,20,0.859734
3,0,0,0.753823
3,0,5,0.712957
3,0,10,0.768711
3,0,20,0.790818
3,1,0,0.761032
3,1,5,0.808313
3,1,10,0.782588
3,1,20,0.810115
3,2,0,0.767488
3,2,5,0.775182
3,2,10,0.820729
3,2,20,0.827795
3,3,0,0.774581
3,3,5,0.815146
3,3,10,0.835658
3,3,20,0.84865
3,4,0,0.785924
3,4,5,0.825837
3,4,10,0.808492
3,4,20,0.852695
4,0,0,0.788648
4,0,5,0.767626
4,0,10,0.798735
4,0,20,0.818503
4,1,0,0.792991
4,1,5,0.782866
4,1,10,0.831142
4,1,20,0.821375
4,2,0,0.770091
4,2,5,0.811058
4,2,10,0.809757
4,2,20,0.845353
4,3,0,0.776256
4,3,5,0.793367
4,3,10,0.813667
4,3,20,0.848981
4,4,0,0.792304
4,4,5,0.850007
4,4,10,0.823635
4,4,20,0.85115
5,0,0,0.575803
5,0,5,0.571587
5,0,10,0.629393
5,0,20,0.733009
5,1,0,0.57923
5,1,5,0.614966
5,1,10,0.637272
5,1,20,0.569588
5,2,0,0.556431
5,2,5,0.625311
5,2,10,0.642165
5,2,20,0.669558
5,3,0,0.579693
5,3,5,0.604959
5,3,10,0.551517
5,3,20,0.600239
5,4,0,0.564253
5,4,5,0.627689
5,4,10,0.615637
5,4,20,0.654774
6,0,0,0.673646
6,0,5,0.738728
6,0,10,0.728647
6,0,20,0.714711
6,1,0,0.683159
6,1,5,0.743189
6,1,10,0.685476
6,1,20,0.724081
6,2,0,0.666221
6,2,5,0.602111
6,2,10,0.677006
6,2,20,0.709531
6,3,0,0.686945
6,3,5,0.721952
6,3,10,0.72175
6,3,20,0.714973
6,4,0,0.678732
6,4,5,0.711109
6,4,10,0.697684
6,4,20,0.717226
7,0,0,0.694405
7,0,5,0.79526
7,0,10,0.808457
7,0,20,0.801068
7,1,0,0.688861
7,1,5,0.787984
7,1,10,0.811759
7,1,20,0.824014
7,2,0,0.697879
7,2,5,0.793416
7,2,10,0.828717
7,2,20,0.827511
7,3,0,0.666905
7,3,5,0.707763
7,3,10,0.78816
7,3,20,0.808088
7,4,0,0.675765
7,4,5,0.789032
7,4,10,0.802976
7,4,20,0.829476
8,0,0,0.697486
8,0,5,0.762607
8,0,10,0.737556
8,0,20,0.794022
8,1,0,0.676404
8,1,5,0.747787
8,1,10,0.808446
8,1,20,0.758895
8,2,0,0.702174
8,2,5,0.788258
8,2,10,0.745818
8,2,20,0.808491
8,3,0,0.691269
8,3,5,0.730376
8,3,10,0.743734
8,3,20,0.72871
8,4,0,0.716195
8,4,5,0.753777
8,4,10,0.781975
8,4,20,0.788225
9,0,0,0.744203
9,0,5,0.782152
9,0,10,0.77522
9,0,20,0.802762
9,1,0,0.760624
9,1,5,0.734125
9,1,10,0.75993
9,1,20,0.771086
9,2,0,0.738135
9,2,5,0.793937
9,2,10,0.695165
9,2,20,0.724852
9,3,0,0.735209
9,3,5,0.779813
9,3,10,0.769372
9,3,20,0.797819
9,4,0,0.737002
9,4,5,0.785376
9,4,10,0.759657
9,4,20,0.762817
10,0,0,0.741831
10,0,5,0.776156
10,0,10,0.755881
10,0,20,0.778012
10,1,0,0.7539
10,1,5,0.754315
10,1,10,0.75797
10,1,20,0.767745
10,2,0,0.720862
10,2,5,0.775266
10,2,10,0.782624
10,2,20,0.788446
10,3,0,0.744603
10,3,5,0.728216
10,3,10,0.697688
10,3,20,0.698445
10,4,0,0.761211
10,4,5,0.821775
10,4,10,0.831162
10,4,20,0.81828
11,0,0,0.811939
11,0,5,0.883564
11,0,10,0.886866
11,0,20,0.896335
11,1,0,0.819363
11,1,5,0.86815
11,1,10,0.900926
11,1,20,0.891399
11,2,0,0.836685
11,2,5,0.880009
11,2,10,0.88751
11,2,20,0.868942
11,3,0,0.841431
11,3,5,0.884457
11,3,10,0.909155
11,3,20,0.912766
11,4,0,0.844274
11,4,5,0.880475
11,4,10,0.912635
11,4,20,0.924201
12,0,0,0.785206
12,0,5,0.808669
12,0,10,0.836377
12,0,20,0.848107
12,1,0,0.811179
12,1,5,0.789488
12,1,10,0.862934
12,1,20,0.851954
12,2,0,0.796641
12,2,5,0.802762
12,2,10,0.820253
12,2,20,0.822912
12,3,0,0.808406
12,3,5,0.753434
12,3,10,0.845125
12,3,20,0.854601
12,4,0,0.798081
12,4,5,0.750424
12,4,10,0.775457
12,4,20,0.813544
13,0,0,0.840281
13,0,5,0.875681
13,0,10,0.888564
13,0,20,0.886059
13,1,0,0.820682
13,1,5,0.881396
13,1,10,0.877177
13,1,20,0.888126
13,2,0,0.848832
13,2,5,0.87383
13,2,10,0.908526
13,2,20,0.920702
13,3,0,0.838794
13,3,5,0.84317
13,3,10,0.87497
13,3,20,0.883463
13,4,0,0.838192
13,4,5,0.920237
13,4,10,0.889007
13,4,20,0.917738
14,0,0,0.744703
14,0,5,0.832075
14,0,10,0.822571
14,0,20,0.813389
14,1,0,0.743593
14,1,5,0.770269
14,1,10,0.784253
14,1,20,0.804368
14,2,0,0.73105
14,2,5,0.756696
14,2,10,0.76415
14,2,20,0.807606
14,3,0,0.742715
14,3,5,0.785519
14,3,10,0.768057
14,3,20,0.794839
14,4,0,0.748133
14,4,5,0.753223
14,4,10,0.817511
14,4,20,0.808097
15,0,0,0.844445
15,0,5,0.84134
15,0,10,0.849681
15,0,20,0.862029
15,1,0,0.860109
15,1,5,0.871658
15,1,10,0.870962
15,1,20,0.891088
15,2,0,0.872464
15,2,5,0.87195
15,2,10,0.895145
15,2,20,0.887688
15,3,0,0.873605
15,3,5,0.867849
15,3,10,0.882262
15,3,20,0.9082
15,4,0,0.852506
15,4,5,0.895974
15,4,10,0.891255
15,4,20,0.887899
16,0,0,0.799299
16,0,5,0.827582
16,0,10,0.878342
16,0,20,0.876634
16,1,0,0.784119
16,1,5,0.795146
16,1,10,0.827473
16,1,20,0.839265
16,2,0,0.796474
16,2,5,0.826731
16,2,10,0.865296
16,2,20,0.874362
16,3,0,0.806329
16,3,5,0.841664
16,3,10,0.844192
16,3,20,0.865927
16,4,0,0.799913
16,4,5,0.857797
16,4,10,0.853631
16,4,20,0.844219
17,0,0,0.801962
17,0,5,0.767617
17,0,10,0.790243
17,0,20,0.820329
17,1,0,0.790033
17,1,5,0.790062
17,1,10,0.816568
17,1,20,0.823078
17,2,0,0.798403
17,2,5,0.742494
17,2,10,0.792551
17,2,20,0.830802
17,3,0,0.804556
17,3,5,0.769188
17,3,10,0.781328
17,3,20,0.824314
17,4,0,0.803998
17,4,5,0.762583
17,4,10,0.796452
17,4,20,0.82678
18,0,0,0.723496
18,0,5,0.805023
18,0,10,0.812786
18,0,20,0.811444
18,1,0,0.722685
18,1,5,0.802776
18,1,10,0.832262
18,1,20,0.800333
18,2,0,0.718752
18,2,5,0.763513
18,2,10,0.802638
18,2,20,0.81168
18,3,0,0.719809
18,3,5,0.778707
18,3,10,0.779114
18,3,20,0.81926
18,4,0,0.71557
18,4,5,0.776521
18,4,10,0.807429
18,4,20,0.827082
19,0,0,0.796895
19,0,5,0.780163
19,0,10,0.802136
19,0,20,0.83254
19,1,0,0.796425
19,1,5,0.722233
19,1,10,0.796573
19,1,20,0.791102
19,2,0,0.801909
19,2,5,0.797562
19,2,10,0.818599
19,2,20,0.814542
19,3,0,0.802766
19,3,5,0.754677
19,3,10,0.772669
19,3,20,0.784484
19,4,0,0.797588
19,4,5,0.791977
19,4,10,0.813679
19,4,20,0.836523
20,0,0,0.765192
20,0,5,0.806415
20,0,10,0.805619
20,0,20,0.824708
20,1,0,0.769802
20,1,5,0.771694
20,1,10,0.832259
20,1,20,0.816275
20,2,0,0.764277
20,2,5,0.731312
20,2,10,0.756663
20,2,20,0.798312
20,3,0,0.757994
20,3,5,0.782218
20,3,10,0.806671
20,3,20,0.80239
20,4,0,0.765014
20,4,5,0.772015
20,4,10,0.786135
20,4,20,0.80121
21,0,0,0.775737
21,0,5,0.830869
21,0,10,0.830173
21,0,20,0.840116
21,1,0,0.771332
21,1,5,0.808787
21,1,10,0.846667
21,1,20,0.885896
21,2,0,0.755917
21,2,5,0.808411
21,2,10,0.855482
21,2,20,0.862276
21,3,0,0.741754
21,3,5,0.848612
21,3,10,0.824678
21,3,20,0.829117
21,4,0,0.789645
21,4,5,0.859681
21,4,10,0.906635
21,4,20,0.894162
22,0,0,0.76026
22,0,5,0.719368
22,0,10,0.77981
22,0,20,0.764892
22,1,0,0.777179
22,1,5,0.747234
22,1,10,0.74808
22,1,20,0.761044
22,2,0,0.764221
22,2,5,0.730115
22,2,10,0.723072
22,2,20,0.731804
22,3,0,0.767054
22,3,5,0.736019
22,3,10,0.733363
22,3,20,0.76465
22,4,0,0.76981
22,4,5,0.779414
22,4,10,0.770447
22,4,20,0.785492
23,0,0,0.70982
23,0,5,0.742503
23,0,10,0.756883
23,0,20,0.784027
23,1,0,0.719421
23,1,5,0.734399
23,1,10,0.795267
23,1,20,0.782017
23,2,0,0.71124
23,2,5,0.705357
23,2,10,0.754248
23,2,20,0.759313
23,3,0,0.701247
23,3,5,0.683464
23,3,10,0.74807
23,3,20,0.782124
23,4,0,0.704385
23,4,5,0.738046
23,4,10,0.743358
23,4,20,0.767468
24,0,0,0.65208
24,0,5,0.661292
24,0,10,0.683749
24,0,20,0.740128
24,1,0,0.668985
24,1,5,0.765461
24,1,10,0.742492
24,1,20,0.783013
24,2,0,0.667712
24,2,5,0.711048
24,2,10,0.773304
24,2,20,0.755768
24,3,0,0.653352
24,3,5,0.756656
24,3,10,0.777912
24,3,20,0.811849
24,4,0,0.65296
24,4,5,0.751453
24,4,10,0.736106
24,4,20,0.733229
25,0,0,0.729535
25,0,5,0.758399
25,0,10,0.752912
25,0,20,0.764939
25,1,0,0.734415
25,1,5,0.754221
25,1,10,0.735187
25,1,20,0.766423
25,2,0,0.729119
25,2,5,0.768301
25,2,10,0.779013
25,2,20,0.788402
25,3,0,0.744953
25,3,5,0.800425
25,3,10,0.788731
25,3,20,0.81087
25,4,0,0.75381
25,4,5,0.7865
25,4,10,0.829342
25,4,20,0.831762
26,0,0,0.675279
26,0,5,0.71267
26,0,10,0.756937
26,0,20,0.763613
26,1,0,0.67334
26,1,5,0.75576
26,1,10,0.751953
26,1,20,0.760188
26,2,0,0.671333
26,2,5,0.685846
26,2,10,0.576011
26,2,20,0.675868
26,3,0,0.669332
26,3,5,0.627988
26,3,10,0.747853
26,3,20,0.746649
26,4,0,0.657023
26,4,5,0.707681
26,4,10,0.716439
26,4,20,0.713641
27,0,0,0.820919
27,0,5,0.854864
27,0,10,0.863117
27,0,20,0.905529
27,1,0,0.841852
27,1,5,0.872698
27,1,10,0.879255
27,1,20,0.905617
27,2,0,0.81237
27,2,5,0.84246
27,2,10,0.865385
27,2,20,0.896799
27,3,0,0.819503
27,3,5,0.85908
27,3,10,0.886066
27,3,20,0.896593
27,4,0,0.829054
27,4,5,0.841602
27,4,10,0.890298
27,4,20,0.895996
28,0,0,0.792768
28,0,5,0.708642
28,0,10,0.7651
28,0,20,0.824735
28,1,0,0.786275
28,1,5,0.773002
28,1,10,0.76406
28,1,20,0.758518
28,2,0,0.769199
28,2,5,0.764053
28,2,10,0.744824
28,2,20,0.7904
28,3,0,0.769543
28,3,5,0.844807
28,3,10,0.870328
28,3,20,0.812924
28,4,0,0.775005
28,4,5,0.759541
28,4,10,0.791085
28,4,20,0.829966
29,0,0,0.744881
29,0,5,0.695768
29,0,10,0.746098
29,0,20,0.753473
29,1,0,0.75589
29,1,5,0.742669
29,1,10,0.77065
29,1,20,0.77605
29,2,0,0.738016
29,2,5,0.748546
29,2,10,0.766479
29,2,20,0.773034
29,3,0,0.724566
29,3,5,0.728802
29,3,10,0.741363
29,3,20,0.74808
29,4,0,0.73689
29,4,5,0.780239
29,4,10,0.74559
29,4,20,0.719227
30,0,0,0.815795
30,0,5,0.833345
30,0,10,0.861812
30,0,20,0.870052
30,1,0,0.831483
30,1,5,0.803019
30,1,10,0.870103
30,1,20,0.879187
30,2,0,0.829807
30,2,5,0.839503
30,2,10,0.855827
30,2,20,0.86627
30,3,0,0.839024
30,3,5,0.851663
30,3,10,0.866486
30,3,20,0.894798
30,4,0,0.845741
30,4,5,0.792506
30,4,10,0.895064
30,4,20,0.889374
31,0,0,0.691741
31,0,5,0.696715
