subject,draw,K_per_class,f1_macro
1,0,0,0.616547
1,0,5,0.802594
1,0,10,0.809935
1,0,20,0.792574
1,1,0,0.603528
1,1,5,0.687177
1,1,10,0.757036
1,1,20,0.773596
1,2,0,0.607724
1,2,5,0.747076
1,2,10,0.793815
1,2,20,0.801535
1,3,0,0.618017
1,3,5,0.70552
1,3,10,0.757352
1,3,20,0.811948
1,4,0,0.615041
1,4,5,0.75455
1,4,10,0.783276
1,4,20,0.789346
2,0,0,0.733371
2,0,5,0.817534
2,0,10,0.809365
2,0,20,0.80846
2,1,0,0.736236
2,1,5,0.746699
2,1,10,0.770659
2,1,20,0.806195
2,2,0,0.740703
2,2,5,0.850546
2,2,10,0.828911
2,2,20,0.880137
2,3,0,0.741295
2,3,5,0.792847
2,3,10,0.771185
2,3,20,0.810201
2,4,0,0.751598
2,4,5,0.810222
2,4,10,0.814685
2,4,20,0.841877
3,0,0,0.808923
3,0,5,0.798143
3,0,10,0.796553
3,0,20,0.808634
3,1,0,0.810902
3,1,5,0.8226
3,1,10,0.820828
3,1,20,0.840191
3,2,0,0.822922
3,2,5,0.802804
3,2,10,0.818969
3,2,20,0.86009
3,3,0,0.837318
3,3,5,0.795436
3,3,10,0.814429
3,3,20,0.844945
3,4,0,0.84423
3,4,5,0.885291
3,4,10,0.890964
3,4,20,0.889086
4,0,0,0.782822
4,0,5,0.74969
4,0,10,0.806119
4,0,20,0.830128
4,1,0,0.772704
4,1,5,0.810913
4,1,10,0.783333
4,1,20,0.749179
4,2,0,0.773128
4,2,5,0.812207
4,2,10,0.82969
4,2,20,0.850085
4,3,0,0.774805
4,3,5,0.800252
4,3,10,0.786566
4,3,20,0.844784
4,4,0,0.768999
4,4,5,0.820333
4,4,10,0.861271
4,4,20,0.84954
5,0,0,0.60093
5,0,5,0.613817
5,0,10,0.653613
5,0,20,0.726536
5,1,0,0.605112
5,1,5,0.643918
5,1,10,0.686862
5,1,20,0.645236
5,2,0,0.586852
5,2,5,0.663691
5,2,10,0.718959
5,2,20,0.720726
5,3,0,0.598567
5,3,5,0.616132
5,3,10,0.601245
5,3,20,0.598015
5,4,0,0.593615
5,4,5,0.644076
5,4,10,0.62859
5,4,20,0.680609
6,0,0,0.680255
6,0,5,0.663006
6,0,10,0.694125
6,0,20,0.693949
6,1,0,0.673876
6,1,5,0.706949
6,1,10,0.733407
6,1,20,0.757304
6,2,0,0.671887
6,2,5,0.648118
6,2,10,0.645329
6,2,20,0.713701
6,3,0,0.679499
6,3,5,0.698796
6,3,10,0.675678
6,3,20,0.686736
6,4,0,0.681872
6,4,5,0.689115
6,4,10,0.692145
6,4,20,0.707236
7,0,0,0.737649
7,0,5,0.823634
7,0,10,0.831831
7,0,20,0.853304
7,1,0,0.76714
7,1,5,0.754227
7,1,10,0.860782
7,1,20,0.86377
7,2,0,0.7555
7,2,5,0.800541
7,2,10,0.833511
7,2,20,0.8498
7,3,0,0.72666
7,3,5,0.787751
7,3,10,0.834213
7,3,20,0.82892
7,4,0,0.75095
7,4,5,0.836258
7,4,10,0.872709
7,4,20,0.854903
8,0,0,0.674694
8,0,5,0.75578
8,0,10,0.758969
8,0,20,0.776423
8,1,0,0.659436
8,1,5,0.72639
8,1,10,0.77213
8,1,20,0.795978
8,2,0,0.695412
8,2,5,0.790911
8,2,10,0.787786
8,2,20,0.807033
8,3,0,0.672942
8,3,5,0.73227
8,3,10,0.758134
8,3,20,0.773609
8,4,0,0.686468
8,4,5,0.800725
8,4,10,0.864665
8,4,20,0.846204
9,0,0,0.823782
9,0,5,0.829255
9,0,10,0.825191
9,0,20,0.851295
9,1,0,0.840858
9,1,5,0.841375
9,1,10,0.815078
9,1,20,0.858626
9,2,0,0.81525
9,2,5,0.842495
9,2,10,0.771195
9,2,20,0.790463
9,3,0,0.825522
9,3,5,0.781029
9,3,10,0.817152
9,3,20,0.83975
9,4,0,0.810254
9,4,5,0.826206
9,4,10,0.819946
9,4,20,0.800418
10,0,0,0.702299
10,0,5,0.6952
10,0,10,0.673563
10,0,20,0.693511
10,1,0,0.694852
10,1,5,0.736145
10,1,10,0.755053
10,1,20,0.745984
10,2,0,0.675673
10,2,5,0.765485
10,2,10,0.761642
10,2,20,0.673269
10,3,0,0.698866
10,3,5,0.662849
10,3,10,0.680543
10,3,20,0.699811
10,4,0,0.714791
10,4,5,0.755345
10,4,10,0.745281
10,4,20,0.739201
11,0,0,0.798119
11,0,5,0.850307
11,0,10,0.872436
11,0,20,0.858837
11,1,0,0.802967
11,1,5,0.859015
11,1,10,0.860679
11,1,20,0.854565
11,2,0,0.804816
11,2,5,0.893974
11,2,10,0.91802
11,2,20,0.903257
11,3,0,0.824215
11,3,5,0.808755
11,3,10,0.870144
11,3,20,0.904831
11,4,0,0.807421
11,4,5,0.850435
11,4,10,0.928929
11,4,20,0.927699
12,0,0,0.756281
12,0,5,0.809511
12,0,10,0.832912
12,0,20,0.838384
12,1,0,0.785862
12,1,5,0.810324
12,1,10,0.843559
12,1,20,0.86944
12,2,0,0.767864
12,2,5,0.792671
12,2,10,0.809396
12,2,20,0.820413
12,3,0,0.774087
12,3,5,0.723031
12,3,10,0.832097
12,3,20,0.88749
12,4,0,0.744892
12,4,5,0.733801
12,4,10,0.756742
12,4,20,0.821731
13,0,0,0.847948
13,0,5,0.818067
13,0,10,0.778983
13,0,20,0.779022
13,1,0,0.8491
13,1,5,0.749005
13,1,10,0.863796
13,1,20,0.882554
13,2,0,0.849857
13,2,5,0.83519
13,2,10,0.857173
13,2,20,0.87153
13,3,0,0.856858
13,3,5,0.776871
13,3,10,0.823646
13,3,20,0.887691
13,4,0,0.858321
13,4,5,0.838292
13,4,10,0.842348
13,4,20,0.842583
14,0,0,0.718871
14,0,5,0.768284
14,0,10,0.795925
14,0,20,0.809276
14,1,0,0.713163
14,1,5,0.693175
14,1,10,0.696691
14,1,20,0.751548
14,2,0,0.702274
14,2,5,0.70949
14,2,10,0.737636
14,2,20,0.758707
14,3,0,0.712489
14,3,5,0.707621
14,3,10,0.750876
14,3,20,0.74327
14,4,0,0.704426
14,4,5,0.686394
14,4,10,0.776281
14,4,20,0.74576
15,0,0,0.855684
15,0,5,0.851639
15,0,10,0.877945
15,0,20,0.900944
15,1,0,0.865467
15,1,5,0.883171
15,1,10,0.887254
15,1,20,0.940074
15,2,0,0.856533
15,2,5,0.840033
15,2,10,0.922247
15,2,20,0.923745
15,3,0,0.877171
15,3,5,0.907139
15,3,10,0.922505
15,3,20,0.916384
15,4,0,0.842913
15,4,5,0.878442
15,4,10,0.89053
15,4,20,0.927866
16,0,0,0.825334
16,0,5,0.821296
16,0,10,0.832138
16,0,20,0.851229
16,1,0,0.81277
16,1,5,0.797839
16,1,10,0.839733
16,1,20,0.867566
16,2,0,0.828315
16,2,5,0.722642
16,2,10,0.822324
16,2,20,0.874535
16,3,0,0.841815
16,3,5,0.842066
16,3,10,0.836021
16,3,20,0.860433
16,4,0,0.826294
16,4,5,0.783128
16,4,10,0.798755
16,4,20,0.863116
17,0,0,0.827587
17,0,5,0.797836
17,0,10,0.830992
17,0,20,0.839963
17,1,0,0.818586
17,1,5,0.799545
17,1,10,0.828229
17,1,20,0.824616
17,2,0,0.823934
17,2,5,0.764144
17,2,10,0.77421
17,2,20,0.831551
17,3,0,0.839984
17,3,5,0.766787
17,3,10,0.819738
17,3,20,0.820244
17,4,0,0.822095
17,4,5,0.696142
17,4,10,0.790686
17,4,20,0.800194
18,0,0,0.75334
18,0,5,0.776433
18,0,10,0.844809
18,0,20,0.816198
18,1,0,0.731161
18,1,5,0.725133
18,1,10,0.844793
18,1,20,0.816961
18,2,0,0.733009
18,2,5,0.757825
18,2,10,0.783179
18,2,20,0.837855
18,3,0,0.733276
18,3,5,0.805967
18,3,10,0.80384
18,3,20,0.833167
18,4,0,0.73254
18,4,5,0.755042
18,4,10,0.79848
18,4,20,0.81183
19,0,0,0.828468
19,0,5,0.75216
19,0,10,0.742934
19,0,20,0.822684
19,1,0,0.822606
19,1,5,0.803424
19,1,10,0.752372
19,1,20,0.786445
19,2,0,0.828784
19,2,5,0.7768
19,2,10,0.82941
19,2,20,0.807433
19,3,0,0.827224
19,3,5,0.781598
19,3,10,0.771788
19,3,20,0.806936
19,4,0,0.829899
19,4,5,0.737832
19,4,10,0.830927
19,4,20,0.824899
20,0,0,0.69422
20,0,5,0.661933
20,0,10,0.73315
20,0,20,0.761811
20,1,0,0.691744
20,1,5,0.681906
20,1,10,0.752736
20,1,20,0.758786
20,2,0,0.702934
20,2,5,0.689417
20,2,10,0.698261
20,2,20,0.722106
20,3,0,0.687145
20,3,5,0.708792
20,3,10,0.690269
20,3,20,0.638602
20,4,0,0.696448
20,4,5,0.684566
20,4,10,0.738258
20,4,20,0.757507
21,0,0,0.7741
21,0,5,0.783047
21,0,10,0.842195
21,0,20,0.836023
21,1,0,0.77198
21,1,5,0.836066
21,1,10,0.830228
21,1,20,0.836624
21,2,0,0.778606
21,2,5,0.792684
21,2,10,0.823915
21,2,20,0.870862
21,3,0,0.74944
21,3,5,0.802545
21,3,10,0.775485
21,3,20,0.743789
21,4,0,0.778866
21,4,5,0.811486
21,4,10,0.836135
21,4,20,0.81814
22,0,0,0.742099
22,0,5,0.671736
22,0,10,0.740917
22,0,20,0.729956
22,1,0,0.741923
22,1,5,0.735242
22,1,10,0.713706
22,1,20,0.762426
22,2,0,0.731767
22,2,5,0.702286
22,2,10,0.729306
22,2,20,0.75071
22,3,0,0.735574
22,3,5,0.669865
22,3,10,0.711107
22,3,20,0.76811
22,4,0,0.746671
22,4,5,0.696538
22,4,10,0.714514
22,4,20,0.727622
23,0,0,0.717726
23,0,5,0.646228
23,0,10,0.731358
23,0,20,0.819168
23,1,0,0.716531
23,1,5,0.673105
23,1,10,0.76443
23,1,20,0.78673
23,2,0,0.708247
23,2,5,0.737431
23,2,10,0.740083
23,2,20,0.707842
23,3,0,0.720048
23,3,5,0.746726
23,3,10,0.731538
23,3,20,0.772518
23,4,0,0.70797
23,4,5,0.757286
23,4,10,0.69065
23,4,20,0.722099
24,0,0,0.671771
24,0,5,0.73331
24,0,10,0.758852
24,0,20,0.833264
24,1,0,0.685854
24,1,5,0.783055
24,1,10,0.778861
24,1,20,0.821178
24,2,0,0.690369
24,2,5,0.761991
24,2,10,0.838162
24,2,20,0.81643
24,3,0,0.681061
24,3,5,0.807754
24,3,10,0.820559
24,3,20,0.844856
24,4,0,0.669406
24,4,5,0.80804
24,4,10,0.819976
24,4,20,0.813486
25,0,0,0.728717
25,0,5,0.745123
25,0,10,0.738761
25,0,20,0.790721
25,1,0,0.73306
25,1,5,0.756666
25,1,10,0.755079
25,1,20,0.777759
25,2,0,0.737562
25,2,5,0.767877
25,2,10,0.796517
25,2,20,0.746678
25,3,0,0.737784
25,3,5,0.811822
25,3,10,0.799099
25,3,20,0.815417
25,4,0,0.75203
25,4,5,0.772221
25,4,10,0.777426
25,4,20,0.773909
26,0,0,0.739485
26,0,5,0.697762
26,0,10,0.679846
26,0,20,0.708718
26,1,0,0.738385
26,1,5,0.777216
26,1,10,0.770627
26,1,20,0.748528
26,2,0,0.740794
26,2,5,0.694593
26,2,10,0.689968
26,2,20,0.695547
26,3,0,0.741845
26,3,5,0.742735
26,3,10,0.707066
26,3,20,0.659492
26,4,0,0.722706
26,4,5,0.710258
26,4,10,0.745956
26,4,20,0.740374
27,0,0,0.81477
27,0,5,0.845559
27,0,10,0.880481
27,0,20,0.905213
27,1,0,0.835697
27,1,5,0.832195
27,1,10,0.867233
27,1,20,0.915679
27,2,0,0.8037
27,2,5,0.783515
27,2,10,0.777898
27,2,20,0.823896
27,3,0,0.819947
27,3,5,0.840977
27,3,10,0.868648
27,3,20,0.913236
27,4,0,0.833308
27,4,5,0.85789
27,4,10,0.796582
27,4,20,0.819906
28,0,0,0.743292
28,0,5,0.689314
28,0,10,0.678093
28,0,20,0.72174
28,1,0,0.740532
28,1,5,0.630382
28,1,10,0.59395
28,1,20,0.606224
28,2,0,0.734977
28,2,5,0.664525
28,2,10,0.588246
28,2,20,0.665178
28,3,0,0.724308
28,3,5,0.799172
28,3,10,0.846982
28,3,20,0.780654
28,4,0,0.739531
28,4,5,0.778754
28,4,10,0.673865
28,4,20,0.666973
29,0,0,0.806889
29,0,5,0.768806
29,0,10,0.836492
29,0,20,0.773601
29,1,0,0.805156
29,1,5,0.772113
29,1,10,0.777894
29,1,20,0.821952
29,2,0,0.805401
29,2,5,0.792075
29,2,10,0.813619
29,2,20,0.783629
29,3,0,0.791716
29,3,5,0.715549
