true,pred,count,rate_within_true,rate_overall
STDUP,DNS,1104,0.07517363475418766,0.04190230386761301
UPS,DNS,764,0.16791208791208792,0.028997608835920598
UPS,WAK,753,0.1654945054945055,0.028580103996659962
DNS,WAK,653,0.16048169083312852,0.0247846054579269
STDUP,WAK,648,0.044123655181805804,0.024594830530990246
DNS,STDUP,511,0.12558368149422464,0.01939499753292595
DNS,UPS,499,0.1226345539444581,0.01893953770827798
WAK,DNS,433,0.1423405654174885,0.016434508672714163
WAK,UPS,358,0.11768573307034845,0.013587884768664365
STDUP,UPS,217,0.014775977121067683,0.008236231829050747
UPS,STDUP,151,0.033186813186813185,0.005731202793486924
WAK,STDUP,99,0.03254437869822485,0.003757543553345732
