model,subject,f1_macro,bal_acc,n_windows,xkey
CNN,1,0.5904556251216171,0.600498988043685,690,X_env
CNN,2,0.8324893262292128,0.8367234172574146,520,X_env
CNN,3,0.7816931124037628,0.7617236233050008,594,X_env
CNN,4,0.6546726833318033,0.6824853860719183,556,X_env
CNN,5,0.5278380490466368,0.5631346890788437,708,X_env
CNN,6,0.7552565421177146,0.7642888492740365,583,X_env
CNN,7,0.6158483561402388,0.6430050198281152,600,X_env
CNN,8,0.5893944918704411,0.6298131132433459,574,X_env
CNN,9,0.6841636815525134,0.6808623954661691,591,X_env
CNN,10,0.3136371664708915,0.4020995451916505,509,X_env
CNN,11,0.711500999000999,0.7497439220836444,518,X_env
CNN,12,0.7186200572913111,0.7041396103896105,507,X_env
CNN,13,0.7400978135014377,0.7459267711513007,752,X_env
CNN,14,0.6897222961787561,0.7043858726626143,775,X_env
CNN,15,0.7716157038120158,0.785175192749608,610,X_env
CNN,16,0.772167394292179,0.8079288766788767,681,X_env
CNN,17,0.7779278189342337,0.7754619364375462,703,X_env
CNN,18,0.677591756441248,0.6870384702506797,640,X_env
CNN,19,0.7569876585716799,0.7735159079717796,716,X_env
CNN,20,0.7156439326098113,0.7390451203856598,599,X_env
CNN,21,0.7409335478040064,0.773988011279158,607,X_env
CNN,22,0.6992637892813447,0.7080968109189643,722,X_env
CNN,23,0.6539149663982895,0.7017762392458206,704,X_env
CNN,24,0.6493149146116346,0.7134139471027023,653,X_env
CNN,25,0.5985335959344539,0.6491592239201232,616,X_env
CNN,26,0.5988780129174703,0.654653064602859,789,X_env
CNN,27,0.7904195348966052,0.7908797507988248,694,X_env
CNN,28,0.689015225498949,0.6789598157499593,700,X_env
CNN,29,0.7335516628689066,0.7316233092291641,736,X_env
CNN,30,0.7392046660547491,0.7483046402219334,654,X_env
CNN,31,0.6473754843603959,0.6788047210568375,758,X_env
CNN,32,0.7123178841672734,0.7264429857812505,686,X_env
CNN,33,0.763513176262237,0.773741249675914,692,X_env
CNN,34,0.8057624129414914,0.8145150762227968,632,X_env
CNN,35,0.49547023424195363,0.5583685491205798,852,X_env
CNN,36,0.5780959921245544,0.6129200439040865,734,X_env
CNN,37,0.7976447754849032,0.7956191856031721,680,X_env
CNN,38,0.49864989822466677,0.6380768917866648,671,X_env
CNN,39,0.6749531555601472,0.6978481240981241,693,X_env
CNN,40,0.7193501024132531,0.7553169183940601,648,X_env
