model,subject,f1_macro,bal_acc,n_windows,xkey,norm_mode,aug_mode
CNN,1,0.6111132983858213,0.6151644220634513,690,X_env,per_subject,chandrop
CNN,2,0.8305000299483069,0.8224625998864386,520,X_env,per_subject,chandrop
CNN,3,0.8328699827662298,0.8572563193963266,594,X_env,per_subject,chandrop
CNN,4,0.8075296437406718,0.786455378757396,556,X_env,per_subject,chandrop
CNN,5,0.5805460481510107,0.6142190510858229,708,X_env,per_subject,chandrop
CNN,6,0.6825010285409584,0.701693196505343,583,X_env,per_subject,chandrop
CNN,7,0.6588110060817697,0.6639818890860948,600,X_env,per_subject,chandrop
CNN,8,0.6906762850136043,0.7166227183669045,574,X_env,per_subject,chandrop
CNN,9,0.730858021675745,0.736601040035653,591,X_env,per_subject,chandrop
CNN,10,0.7140827326811999,0.71282993322467,509,X_env,per_subject,chandrop
CNN,11,0.8103322353812743,0.8301462362268707,518,X_env,per_subject,chandrop
CNN,12,0.8368995951198974,0.8476211288711288,507,X_env,per_subject,chandrop
CNN,13,0.8743122154418468,0.8830635156367674,752,X_env,per_subject,chandrop
CNN,14,0.7672337529477979,0.7642339573969434,775,X_env,per_subject,chandrop
CNN,15,0.8253050515376097,0.8435707726541841,610,X_env,per_subject,chandrop
CNN,16,0.8099268013997001,0.8481594794094793,681,X_env,per_subject,chandrop
CNN,17,0.7948054589428734,0.796850913314328,703,X_env,per_subject,chandrop
CNN,18,0.7538465549637235,0.7626706868712683,640,X_env,per_subject,chandrop
CNN,19,0.7998023778652736,0.8142904598168259,716,X_env,per_subject,chandrop
CNN,20,0.7109893693901834,0.7229988632460976,599,X_env,per_subject,chandrop
CNN,21,0.8667288506566222,0.8722172851684546,607,X_env,per_subject,chandrop
CNN,22,0.7466244735738579,0.7456375097290648,722,X_env,per_subject,chandrop
CNN,23,0.7291659842465821,0.7366840024682588,704,X_env,per_subject,chandrop
CNN,24,0.7464716207371974,0.769891270494752,653,X_env,per_subject,chandrop
CNN,25,0.7311613567196886,0.7799296768871441,616,X_env,per_subject,chandrop
CNN,26,0.679070876173622,0.7125594817732338,789,X_env,per_subject,chandrop
CNN,27,0.7904428215056758,0.7950177159770282,694,X_env,per_subject,chandrop
CNN,28,0.7590509575512141,0.7554733533437841,700,X_env,per_subject,chandrop
CNN,29,0.7122030718001688,0.7018116814402988,736,X_env,per_subject,chandrop
CNN,30,0.800725354676866,0.8050905861056237,654,X_env,per_subject,chandrop
CNN,31,0.6784354614535593,0.6972185163627702,758,X_env,per_subject,chandrop
CNN,32,0.7225069249766386,0.7353854540018714,686,X_env,per_subject,chandrop
CNN,33,0.8886639772204759,0.9048561057816956,692,X_env,per_subject,chandrop
CNN,34,0.8364987210833034,0.860473571159233,632,X_env,per_subject,chandrop
CNN,35,0.6286210651096608,0.651126731716796,852,X_env,per_subject,chandrop
CNN,36,0.7020106445890005,0.698639570159196,734,X_env,per_subject,chandrop
CNN,37,0.8417228652674427,0.827816458289889,680,X_env,per_subject,chandrop
CNN,38,0.7889649769721117,0.7740699417732995,671,X_env,per_subject,chandrop
CNN,39,0.7429860824611307,0.7388221500721501,693,X_env,per_subject,chandrop
CNN,40,0.754510454696316,0.7513326294933858,648,X_env,per_subject,chandrop
