model,subject,f1_macro,bal_acc,n_windows,xkey,norm_mode,aug_mode
CNN,1,0.6075097701310022,0.5970161590972637,690,X_env,global,chandrop
CNN,2,0.6868341831809999,0.7147806438898758,520,X_env,global,chandrop
CNN,3,0.7670849060832032,0.7345792044058608,594,X_env,global,chandrop
CNN,4,0.7002082955486171,0.7276088264222824,556,X_env,global,chandrop
CNN,5,0.5637833917623571,0.584291916399239,708,X_env,global,chandrop
CNN,6,0.6901210325246592,0.693208047800022,583,X_env,global,chandrop
CNN,7,0.6671948618404344,0.6963031306322074,600,X_env,global,chandrop
CNN,8,0.5968451496803218,0.6067961108658783,574,X_env,global,chandrop
CNN,9,0.7170232419446111,0.7187045717240903,591,X_env,global,chandrop
CNN,10,0.4740084440839417,0.5371651374940848,509,X_env,global,chandrop
CNN,11,0.7661346371709532,0.8064218332889845,518,X_env,global,chandrop
CNN,12,0.6877942687393908,0.6709852647352648,507,X_env,global,chandrop
CNN,13,0.7544598182348595,0.7664735523413144,752,X_env,global,chandrop
CNN,14,0.6390400508737404,0.6593613756801844,775,X_env,global,chandrop
CNN,15,0.7515315233127146,0.76904758069712,610,X_env,global,chandrop
CNN,16,0.7924832775596355,0.7928619991119991,681,X_env,global,chandrop
CNN,17,0.6714985885549399,0.669535951853025,703,X_env,global,chandrop
CNN,18,0.6951721213182083,0.6904633157540133,640,X_env,global,chandrop
CNN,19,0.7365507831912927,0.7471709042619414,716,X_env,global,chandrop
CNN,20,0.7738908574400221,0.7837857960255434,599,X_env,global,chandrop
CNN,21,0.716656753304707,0.7381789228050084,607,X_env,global,chandrop
CNN,22,0.7134415971808701,0.7242293027831097,722,X_env,global,chandrop
CNN,23,0.7209213777258573,0.7354296612763271,704,X_env,global,chandrop
CNN,24,0.5774039298671634,0.6151944444781291,653,X_env,global,chandrop
CNN,25,0.6573430317833497,0.7000933814311663,616,X_env,global,chandrop
CNN,26,0.5845305599655162,0.643659697675679,789,X_env,global,chandrop
CNN,27,0.7759270915743293,0.7693383805134957,694,X_env,global,chandrop
CNN,28,0.640651986428769,0.6413046990723231,700,X_env,global,chandrop
CNN,29,0.7068557988265222,0.7017652942280006,736,X_env,global,chandrop
CNN,30,0.6089085198239708,0.633631719158035,654,X_env,global,chandrop
CNN,31,0.5970498871988938,0.6097398390616476,758,X_env,global,chandrop
CNN,32,0.6198701473592523,0.6432222724843952,686,X_env,global,chandrop
CNN,33,0.7928513772612059,0.7842111744879441,692,X_env,global,chandrop
CNN,34,0.6958062661174002,0.7216308985132515,632,X_env,global,chandrop
CNN,35,0.5696685985595761,0.605590110829517,852,X_env,global,chandrop
CNN,36,0.618526496237711,0.6223866077979248,734,X_env,global,chandrop
CNN,37,0.7958031005294687,0.7766843789521298,680,X_env,global,chandrop
CNN,38,0.5673310725770431,0.6766625408226119,671,X_env,global,chandrop
CNN,39,0.7619478501057448,0.7402308802308801,693,X_env,global,chandrop
CNN,40,0.7741097679980714,0.7798510181935809,648,X_env,global,chandrop
