model,subject,f1_macro,bal_acc,n_windows,xkey,norm_mode,aug_mode
CNN,1,0.5684515958068977,0.564705129910034,690,X_env,per_subject,combined
CNN,2,0.7952035850805552,0.7880129671221991,520,X_env,per_subject,combined
CNN,3,0.7706714800800948,0.8067474582130063,594,X_env,per_subject,combined
CNN,4,0.8133903133903133,0.7915055277596381,556,X_env,per_subject,combined
CNN,5,0.5653671696241663,0.5915704209742007,708,X_env,per_subject,combined
CNN,6,0.6841759991759921,0.6990635647382214,583,X_env,per_subject,combined
CNN,7,0.6604625372015398,0.669565538475054,600,X_env,per_subject,combined
CNN,8,0.7385545584793135,0.7622045590068846,574,X_env,per_subject,combined
CNN,9,0.7076978495347207,0.7132418750193636,591,X_env,per_subject,combined
CNN,10,0.7722382100148981,0.7636853278300646,509,X_env,per_subject,combined
CNN,11,0.8339282908765092,0.8436212278578439,518,X_env,per_subject,combined
CNN,12,0.8231105796908906,0.8352897102897103,507,X_env,per_subject,combined
CNN,13,0.8127766798418973,0.825945640952902,752,X_env,per_subject,combined
CNN,14,0.775810851989283,0.7768970110952181,775,X_env,per_subject,combined
CNN,15,0.8153264713209198,0.8214853462495835,610,X_env,per_subject,combined
CNN,16,0.7631028390462797,0.7978854478854479,681,X_env,per_subject,combined
CNN,17,0.7681339300493764,0.7606834899517826,703,X_env,per_subject,combined
CNN,18,0.7411276416108427,0.7459903468624399,640,X_env,per_subject,combined
CNN,19,0.7897362661979597,0.8003453092123844,716,X_env,per_subject,combined
CNN,20,0.7462980647389676,0.7510877100048283,599,X_env,per_subject,combined
CNN,21,0.8038806185295515,0.7997505452495595,607,X_env,per_subject,combined
CNN,22,0.7783310852500518,0.7838118060858187,722,X_env,per_subject,combined
CNN,23,0.7020736925748798,0.7099062589909735,704,X_env,per_subject,combined
CNN,24,0.7287685520496174,0.7605820793548392,653,X_env,per_subject,combined
CNN,25,0.7308807295528997,0.7690881020887115,616,X_env,per_subject,combined
CNN,26,0.6877343620054432,0.723756066673988,789,X_env,per_subject,combined
CNN,27,0.7666448250002655,0.7810899340066474,694,X_env,per_subject,combined
CNN,28,0.7502693784317278,0.7483196651767148,700,X_env,per_subject,combined
CNN,29,0.7298595786935319,0.7197449594199886,736,X_env,per_subject,combined
CNN,30,0.7896081480086707,0.7931388786651945,654,X_env,per_subject,combined
CNN,31,0.6405455687758134,0.6777937417878794,758,X_env,per_subject,combined
CNN,32,0.7208069606467776,0.7292718052052143,686,X_env,per_subject,combined
CNN,33,0.8647210125908478,0.8714471523636678,692,X_env,per_subject,combined
CNN,34,0.8595641891891892,0.8628769527041585,632,X_env,per_subject,combined
CNN,35,0.6225061922692103,0.648389930889039,852,X_env,per_subject,combined
CNN,36,0.6522510866384383,0.6481992555520619,734,X_env,per_subject,combined
CNN,37,0.8708413108469734,0.8563453114965676,680,X_env,per_subject,combined
CNN,38,0.7765545225182271,0.7626066327301465,671,X_env,per_subject,combined
CNN,39,0.7448775314813674,0.7498575036075037,693,X_env,per_subject,combined
CNN,40,0.8025475813638733,0.7991631850802857,648,X_env,per_subject,combined
