model,subject,f1_macro,bal_acc,n_windows,xkey,norm_mode,aug_mode
CNN,1,0.619288643650128,0.6356215916091356,690,X_env,per_subject,gaussian
CNN,2,0.8118351041092232,0.810217981305668,520,X_env,per_subject,gaussian
CNN,3,0.7869615023992904,0.8242915541912822,594,X_env,per_subject,gaussian
CNN,4,0.7832162338000943,0.7785500901855675,556,X_env,per_subject,gaussian
CNN,5,0.5668302379613122,0.588194008361757,708,X_env,per_subject,gaussian
CNN,6,0.7204993074558291,0.7367408697027604,583,X_env,per_subject,gaussian
CNN,7,0.6574579296915344,0.6687892838955074,600,X_env,per_subject,gaussian
CNN,8,0.709260771703542,0.7366135802182313,574,X_env,per_subject,gaussian
CNN,9,0.7512594042015212,0.7723673013172037,591,X_env,per_subject,gaussian
CNN,10,0.716143210779081,0.7181552000630949,509,X_env,per_subject,gaussian
CNN,11,0.831301458232411,0.8564866395996601,518,X_env,per_subject,gaussian
CNN,12,0.7854480095883728,0.8041021478521478,507,X_env,per_subject,gaussian
CNN,13,0.8509238101027795,0.8610302733152115,752,X_env,per_subject,gaussian
CNN,14,0.7550597970951953,0.7537184675791313,775,X_env,per_subject,gaussian
CNN,15,0.8539936352196269,0.8659081989507106,610,X_env,per_subject,gaussian
CNN,16,0.8497374760506364,0.8833048895548895,681,X_env,per_subject,gaussian
CNN,17,0.834429255369066,0.8314609509731461,703,X_env,per_subject,gaussian
CNN,18,0.6681073491504765,0.6700762899890806,640,X_env,per_subject,gaussian
CNN,19,0.8323028200869347,0.8430829607490041,716,X_env,per_subject,gaussian
CNN,20,0.7590854448091529,0.7679371084883961,599,X_env,per_subject,gaussian
CNN,21,0.7898477504575971,0.8059732082128085,607,X_env,per_subject,gaussian
CNN,22,0.7522307563166288,0.7554255538087664,722,X_env,per_subject,gaussian
CNN,23,0.7201517572991971,0.7363617757261725,704,X_env,per_subject,gaussian
CNN,24,0.6801272743478157,0.7283405127113746,653,X_env,per_subject,gaussian
CNN,25,0.7788181611066124,0.8283098694157561,616,X_env,per_subject,gaussian
CNN,26,0.7035843891206024,0.7305727433515505,789,X_env,per_subject,gaussian
CNN,27,0.8250330917022572,0.8281449873419076,694,X_env,per_subject,gaussian
CNN,28,0.7746779901219956,0.774472218744412,700,X_env,per_subject,gaussian
CNN,29,0.7343622454681233,0.7290124908809466,736,X_env,per_subject,gaussian
CNN,30,0.8229605205379976,0.8263572267331666,654,X_env,per_subject,gaussian
CNN,31,0.7102846707514915,0.7155385086020761,758,X_env,per_subject,gaussian
CNN,32,0.7322263939462748,0.7377386380984765,686,X_env,per_subject,gaussian
CNN,33,0.8677802511645841,0.8850522858871317,692,X_env,per_subject,gaussian
CNN,34,0.8369676086482278,0.8469490007541478,632,X_env,per_subject,gaussian
CNN,35,0.6862993810375979,0.703005114472425,852,X_env,per_subject,gaussian
CNN,36,0.6530157321857164,0.6706158144965005,734,X_env,per_subject,gaussian
CNN,37,0.8351350469460459,0.8270687114253967,680,X_env,per_subject,gaussian
CNN,38,0.8030658091935328,0.8147170600746139,671,X_env,per_subject,gaussian
CNN,39,0.795797474764172,0.8004563492063492,693,X_env,per_subject,gaussian
CNN,40,0.7517283584903177,0.7664059708383641,648,X_env,per_subject,gaussian
