model,subject,f1_macro,bal_acc,n_windows,xkey,norm_mode,aug_mode
CNN,1,0.5974171503177307,0.6295333729629218,690,X_env,global,gaussian
CNN,2,0.7958342436541439,0.7916182977864896,520,X_env,global,gaussian
CNN,3,0.7760590255155473,0.7580147915197857,594,X_env,global,gaussian
CNN,4,0.5747706853077852,0.6363081126150589,556,X_env,global,gaussian
CNN,5,0.534045547466744,0.557812598077568,708,X_env,global,gaussian
CNN,6,0.6718502672200903,0.6708902618712745,583,X_env,global,gaussian
CNN,7,0.6525272430785919,0.6793547249114975,600,X_env,global,gaussian
CNN,8,0.6249895312452232,0.6390510652138559,574,X_env,global,gaussian
CNN,9,0.6915212358443598,0.7168199980457626,591,X_env,global,gaussian
CNN,10,0.3100271342375864,0.4100291156212209,509,X_env,global,gaussian
CNN,11,0.7099865592676489,0.7505892653281946,518,X_env,global,gaussian
CNN,12,0.7046338848919944,0.6940559440559442,507,X_env,global,gaussian
CNN,13,0.7807442932099683,0.8102513055893976,752,X_env,global,gaussian
CNN,14,0.6484816244366426,0.665200501141765,775,X_env,global,gaussian
CNN,15,0.6874260879761089,0.70545287931093,610,X_env,global,gaussian
CNN,16,0.7754471466135977,0.7909659784659785,681,X_env,global,gaussian
CNN,17,0.6997884562101121,0.7044161123429415,703,X_env,global,gaussian
CNN,18,0.6535480344415774,0.6606045117673025,640,X_env,global,gaussian
CNN,19,0.7658456349419158,0.7832818581353382,716,X_env,global,gaussian
CNN,20,0.7573999431167441,0.7762117137610586,599,X_env,global,gaussian
CNN,21,0.684414051409793,0.7105140984266818,607,X_env,global,gaussian
CNN,22,0.6891702550954608,0.6973337630821882,722,X_env,global,gaussian
CNN,23,0.6065944439064068,0.65012810775081,704,X_env,global,gaussian
CNN,24,0.5151518734395105,0.6410804375312762,653,X_env,global,gaussian
CNN,25,0.6376854409323309,0.6862257787037921,616,X_env,global,gaussian
CNN,26,0.5296323562618883,0.5779677197831475,789,X_env,global,gaussian
CNN,27,0.79549133082349,0.8018707482993197,694,X_env,global,gaussian
CNN,28,0.7302572092666854,0.7338369401848515,700,X_env,global,gaussian
CNN,29,0.7150351852835781,0.7091861574688264,736,X_env,global,gaussian
CNN,30,0.681011145717028,0.6909878968149645,654,X_env,global,gaussian
CNN,31,0.6316023353719012,0.6328803460424303,758,X_env,global,gaussian
CNN,32,0.6873862493693199,0.6997183884665517,686,X_env,global,gaussian
CNN,33,0.7320910674259699,0.7471828277590528,692,X_env,global,gaussian
CNN,34,0.7438158772136063,0.7612498585972851,632,X_env,global,gaussian
CNN,35,0.5967519571724822,0.6503821215637149,852,X_env,global,gaussian
CNN,36,0.6469818240321731,0.6800059174440136,734,X_env,global,gaussian
CNN,37,0.8333535666134178,0.8198879216167174,680,X_env,global,gaussian
CNN,38,0.5315907181847703,0.6536253675487838,671,X_env,global,gaussian
CNN,39,0.7961789531524699,0.7809379509379508,693,X_env,global,gaussian
CNN,40,0.7188643274686577,0.7496890903397615,648,X_env,global,gaussian
