model,subject,f1_macro,bal_acc,n_windows,xkey,norm_mode,aug_mode
CNN,1,0.5794099543025226,0.5763972176694923,690,X_env,per_subject,timemask
CNN,2,0.7524482468853235,0.7533273192951172,520,X_env,per_subject,timemask
CNN,3,0.7822027790282132,0.8247201586149759,594,X_env,per_subject,timemask
CNN,4,0.7275301700606931,0.7387049882952985,556,X_env,per_subject,timemask
CNN,5,0.5273477706128417,0.5714038017130598,708,X_env,per_subject,timemask
CNN,6,0.7160026977966494,0.7359032043855637,583,X_env,per_subject,timemask
CNN,7,0.6148154796206264,0.6227912275861311,600,X_env,per_subject,timemask
CNN,8,0.7113935279388054,0.7392973305764003,574,X_env,per_subject,timemask
CNN,9,0.7227458755282512,0.7412786551986291,591,X_env,per_subject,timemask
CNN,10,0.7253382009235885,0.7234213155265787,509,X_env,per_subject,timemask
CNN,11,0.8423379849424457,0.8682815312028795,518,X_env,per_subject,timemask
CNN,12,0.82776160832188,0.8487762237762239,507,X_env,per_subject,timemask
CNN,13,0.9085788949880078,0.9140517124059697,752,X_env,per_subject,timemask
CNN,14,0.7604193127915595,0.7774675163495736,775,X_env,per_subject,timemask
CNN,15,0.8553980074956848,0.8663429030941777,610,X_env,per_subject,timemask
CNN,16,0.7881031348456418,0.8331390831390831,681,X_env,per_subject,timemask
CNN,17,0.800214438345042,0.7998222644564108,703,X_env,per_subject,timemask
CNN,18,0.7056362203711928,0.7114498873219803,640,X_env,per_subject,timemask
CNN,19,0.8006734410385807,0.8201501348765062,716,X_env,per_subject,timemask
CNN,20,0.7158325927465906,0.7219476193433187,599,X_env,per_subject,timemask
CNN,21,0.7629247004664228,0.7794327338239159,607,X_env,per_subject,timemask
CNN,22,0.7629546084279513,0.766652989827816,722,X_env,per_subject,timemask
CNN,23,0.741254079257149,0.7565723013083745,704,X_env,per_subject,timemask
CNN,24,0.6641138732009655,0.7168837482406507,653,X_env,per_subject,timemask
CNN,25,0.7638890994362031,0.8102079741439826,616,X_env,per_subject,timemask
CNN,26,0.6801216532429846,0.7067468778285687,789,X_env,per_subject,timemask
CNN,27,0.8583165120393323,0.8609516583974266,694,X_env,per_subject,timemask
CNN,28,0.7169710838867027,0.7188013520422136,700,X_env,per_subject,timemask
CNN,29,0.779100053383001,0.7740060336187279,736,X_env,per_subject,timemask
CNN,30,0.8306480593092417,0.8329702878575058,654,X_env,per_subject,timemask
CNN,31,0.6631945528761872,0.6794277136496009,758,X_env,per_subject,timemask
CNN,32,0.702994086730066,0.7186516201093411,686,X_env,per_subject,timemask
CNN,33,0.8953138542044388,0.9058281479560972,692,X_env,per_subject,timemask
CNN,34,0.8577242816369848,0.8643693640917905,632,X_env,per_subject,timemask
CNN,35,0.6717693298455784,0.6791008289121623,852,X_env,per_subject,timemask
CNN,36,0.648072445315926,0.6453738398024899,734,X_env,per_subject,timemask
CNN,37,0.8658830992403632,0.8623975234443327,680,X_env,per_subject,timemask
CNN,38,0.7610785882968572,0.7662766000720571,671,X_env,per_subject,timemask
CNN,39,0.7633675345711841,0.7779112554112554,693,X_env,per_subject,timemask
CNN,40,0.7794270669874812,0.7873502518214268,648,X_env,per_subject,timemask
